Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL,My ret (%),Joachim ret (%),slippage,cum slippage,joachim ent,joachim ext
6e49c6f6d9_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,07/07/1999,09/07/1999,4671.5,4698.5,0,0,0,,,,,,
6e49c6f6d9_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,20/07/1999,26/07/1999,4762,4617.5,0,0,-1070740,,,,,,
6e49c6f6d9_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,20/08/1999,25/08/1999,4595.5,4721.5,69851600,760,1950860,,,,,,
6e49c6f6d9_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,27/08/1999,02/09/1999,4735.5,4720,70748370,747,-249770,,,,,,
6e49c6f6d9_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,24/09/1999,28/09/1999,4709,4727.5,59992660,637,243460,,,,,,
6e49c6f6d9_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,28/10/1999,29/10/1999,4754.5,4836.5,67989350,715,1115200,,,,,,
6e49c6f6d9_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,08/12/1999,14/12/1999,5491.5,5520.5,63371910,577,327430,,,,,,
6e49c6f6d9_NQ1Ind_8,NASDAQ 100 E-MINI,NQ1 Index,27/01/2000,02/02/2000,5890,5955,26033800,221,250400,,,,,,
6e49c6f6d9_NQ1Ind_9,NASDAQ 100 E-MINI,NQ1 Index,21/02/2000,24/02/2000,6203.5,6425,34739600,280,1372720,,,,,,
6e49c6f6d9_NQ1Ind_10,NASDAQ 100 E-MINI,NQ1 Index,16/03/2000,17/03/2000,6337.5,6590.5,31941000,252,1173920,,,,,,
6e49c6f6d9_NQ1Ind_11,NASDAQ 100 E-MINI,NQ1 Index,30/03/2000,10/04/2000,6643.5,6515.5,29630010,223,-525310,,,,,,
6e49c6f6d9_NQ1Ind_12,NASDAQ 100 E-MINI,NQ1 Index,17/04/2000,19/04/2000,5392.5,5909.5,19952250,185,1707030,,,,,,
6e49c6f6d9_NQ1Ind_13,NASDAQ 100 E-MINI,NQ1 Index,24/04/2000,26/04/2000,5710,5825,19528200,171,396900,,,,,,
6e49c6f6d9_NQ1Ind_14,NASDAQ 100 E-MINI,NQ1 Index,11/05/2000,15/05/2000,5427.5,5585,19213350,177,570000,,,,,,
6e49c6f6d9_NQ1Ind_15,NASDAQ 100 E-MINI,NQ1 Index,24/05/2000,30/05/2000,5187.5,5334.5,22410000,216,667270,,,,,,
6e49c6f6d9_NQ1Ind_16,NASDAQ 100 E-MINI,NQ1 Index,01/06/2000,02/06/2000,5500,5745,25080000,228,1068200,,,,,,
6e49c6f6d9_NQ1Ind_17,NASDAQ 100 E-MINI,NQ1 Index,27/06/2000,03/07/2000,5947.5,5921.5,31521750,265,-148280,,,,,,
6e49c6f6d9_NQ1Ind_18,NASDAQ 100 E-MINI,NQ1 Index,06/07/2000,10/07/2000,5829.5,5989,41506040,356,1104080,,,,,,
6e49c6f6d9_NQ1Ind_19,NASDAQ 100 E-MINI,NQ1 Index,12/07/2000,13/07/2000,5901.5,6055,41192470,349,1043800,,,,,,
6e49c6f6d9_NQ1Ind_20,NASDAQ 100 E-MINI,NQ1 Index,24/07/2000,04/08/2000,6059,5783.5,40474120,334,-674720,,,,,,
6e49c6f6d9_NQ1Ind_21,NASDAQ 100 E-MINI,NQ1 Index,11/08/2000,15/08/2000,5750.5,5863.5,36228150,315,723380,,,,,,
6e49c6f6d9_NQ1Ind_22,NASDAQ 100 E-MINI,NQ1 Index,05/09/2000,11/09/2000,6244,5921,88290160,707,-3715000,,,,,,
6e49c6f6d9_NQ1Ind_23,NASDAQ 100 E-MINI,NQ1 Index,13/09/2000,19/09/2000,5778,5713.5,49806360,431,-545230,,,,,,
6e49c6f6d9_NQ1Ind_24,NASDAQ 100 E-MINI,NQ1 Index,26/09/2000,29/09/2000,5730,5785,42402000,370,414840,,,,,,
