,eq-em,comm-prec,eq-divf,comm-soft,fx-dm,eq-eu,comm-enrgy,eq-vol,fx-em,fi-as,fi-us,fi-eu,stir,eq-us,crypto,eq-as,comm-base,Total,,,,,,
Total PnL,5339583.200699989,15276314.999999918,27902799.81400001,8069698.00732998,36066966.72320013,-6482729.969551002,11266091.940208,18436259.764000077,81753698.33196594,-6526299.770000016,-17786696.36399991,-28041060.54799997,-553146.6041251579,-14954067.5,-1286137.5,433554.7339999983,3712359.499999972,132627188.75972795,,,,Settings: ,Settings: ,27102024_2030
Average Ann. PnL,114283.5881243755,326960.3686087973,597206.1791343641,172716.4852936262,771944.5909840693,-138750.46308194773,241129.19729339358,394592.95570987085,1749781.8905771545,-139682.99151010736,-380690.29078715626,-600165.3862829958,-11839.047412904689,-320063.275862069,-27527.31866825208,9279.411667062985,79455.97027348336,2838631.8640607647,,,,byac,True,
Average Ann. Vol,791310.7331756989,1678763.5926404097,748460.8136036112,845323.7560283397,2056046.0273151384,1927173.8569064038,1075173.400083499,1014276.0225541973,1306087.273898096,681878.272590721,2778236.694099619,2308545.4526546197,1800601.5870106716,1147131.6757619693,283209.21640500217,602031.0092851829,501210.22602600144,8062509.475926232,,,,byassets,False,
Sharpe Ratio (ann.),0.14442314925482067,0.19476260388429337,0.7979124201025275,0.20431992365282095,0.3754510262555277,-0.0719968582931469,0.2242700547415582,0.38903902580304367,1.339712839674814,-0.20485033344646295,-0.13702586665695585,-0.2599755554272755,-0.0065750510819884795,-0.2790118018922898,-0.09719782081133531,0.01541351113804059,0.15852823056599288,0.35207795693594013,,,,totalsys,True,
Sortino Ratio (ann.),0.10571849961605469,0.14043001488401338,0.46457793989325263,0.24290024389852696,0.3579538992107961,-0.04666656652112869,0.1854402344580693,0.1799307392945791,1.2309200891999406,-0.09038397864568472,-0.08250266544978845,-0.15376167454273715,-0.00471571145806067,-0.12361123793162387,-0.021536799894667957,0.009845345179256958,0.08809173547774918,0.4205773274709002,,,,filter_assets,[],
Max drawdown,5516154.716440001,18604350.00000003,1927182.113499999,5733981.173940006,9292372.500000004,22504947.275588997,5538721.650528004,7264058.90700002,2567011.0509510487,10945130.130000088,33652905.61449991,34129984.195500016,17551365.126005217,15443110.000000002,2905837.5,6076885.221000005,3011900.000000003,41353835.5268624,,,,filter_ac,[],
Average drawdown,2296029.791303411,7497236.893387328,440607.15550678305,1759493.999737347,2421414.643831772,7871057.585079772,1800765.3487053565,1839501.732310945,569742.7856145187,4897976.075315706,12063545.718313953,8865224.26678185,7940310.883344607,6239684.290492957,1120105.099761763,2004573.8487292875,1146440.8391862705,9793281.147847733,,,,start_date,,
Max drawdown Duration,4958.0,7480.0,538.0,3591.0,1454.0,5635.0,2247.0,1616.0,572.0,9047.0,9111.0,4522.0,7492.0,5821.0,1492.0,4070.0,3361.0,2276.0,,,,end_date,,
Avg Drawdown Duration,209.57142857142858,236.48936170212767,62.36538461538461,102.35714285714286,113.9080459770115,339.75,167.63492063492063,68.6086956521739,37.76646706586826,1265.125,574.25,733.2666666666667,816.9166666666666,2366.6666666666665,335.8,250.77777777777777,209.5,59.87234042553192,,,,,,
Total Number of Drawdowns,35.0,47.0,52.0,112.0,87.0,28.0,63.0,69.0,167.0,8.0,20.0,15.0,12.0,3.0,5.0,36.0,42.0,188.0,,,,,,
Drawdowns per year,0.7491082045184304,1.0059453032104637,1.112960760998811,2.3971462544589777,1.8620689655172413,0.5992865636147444,1.3483947681331747,1.4768133174791915,3.5743162901307968,0.17122473246135553,0.4280618311533888,0.3210463733650416,0.2568370986920333,0.06420927467300833,0.1070154577883472,0.7705112960760999,0.8989298454221165,4.023781212841855,,,,,,
HWM PnL,7135607.506039992,17568504.999999914,29364904.311500005,12645985.177439982,36073941.72320013,10970516.703449994,16139201.675824003,22981793.12100009,81932273.66216594,2866369.0399999977,8360194.5419999985,4158910.2570000337,4774495.308881687,489042.50000000116,1171425.0,6446756.275000002,4912928.499999968,154444234.7197977,,,,,,
Exposure Time,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,11774.0,,,,,,
Daily PnL Skew,4.0967732718235235,-0.012510687767524734,15.103042257628621,-0.07316435040974636,-0.1712821725477909,1.8404282983588665,0.25437238630683945,-0.6214673404138541,4.771048218904258,1.911783914636693,-0.6685530250805076,0.4298426377720203,1.1608643775629406,0.8581977419756543,4.556181940375549,1.93626120471626,1.2575638637324442,0.520859794787548,,,,,,
Weekly PnL Skew,2.3272037599813586,0.22134130371502392,10.838870761109694,0.15294172729439848,0.6101833482668905,1.5309035260364585,0.31040434947444656,0.06530174492759971,2.6748188309229257,0.42272547820565304,-0.38202802258872876,0.4744113619424129,1.1955985552022679,0.5944268042344316,1.047768004825353,1.0037271996631165,0.47518762347364757,1.0521451962970352,,,,,,
Monthly PnL Skew,1.8697398862802508,0.3125017951118864,9.038529837426356,0.3714446828512616,1.2208528878011329,1.4590392123805873,0.9859036121736653,0.7528315329773704,3.1226163461160694,0.668573460931895,-0.045474533975834376,0.4455019842318133,1.6869550871996806,0.40871679637053226,0.6969853864411417,0.9847446181783813,0.7980758421247889,1.478982027616493,,,,,,
Quarterly PnL Skew,1.578994079936806,0.3396483054992778,6.941959891071182,0.4999834789919057,1.8413232228897447,0.8347699239436341,1.447776680043004,1.2140603632633016,2.6235521372404302,0.5259606737614057,0.41657494507587595,0.513510497124249,1.934567271356143,-0.037119053998923894,0.10741080763912912,0.6914045333444224,1.256178707085238,1.2776643177326108,,,,,,
Yearly PnL Skew,1.4384409711131931,0.20820312891022857,4.650608545723964,0.42753616689824564,1.470727780131174,0.5887066059193594,1.6687001340703398,1.527146594840176,1.3288641864614954,0.3074278999217532,-0.23439428419515643,-0.26371943444038587,2.6554070605077333,-0.8317973186696986,-3.5005646549266003,0.3237726902738657,0.7261006364859826,0.5919357595804251,,,,,,
Daily Left Tail,80.60927191802415,61.711154096289576,5.868135497627079,3.683616417089626,30.345383715877485,-165.23225546947432,51.82961967168791,32.65469278643101,6.447138425328649,-66.38806132034192,-91.58061863638798,-44.255215732273584,-1774.9582340023,-43.83560340146649,-36.018584002900695,813.0042124966587,79.61140764014813,3.8311467857465757,,,,,,
Daily Right Tail,-85.80720234768691,-65.14530867168133,-10.075694603902619,3.35172954761792,-31.326649604064066,163.3529024972917,-54.6001750181667,-31.518817631186334,-10.561470937517566,58.13163414475157,91.72236931252557,40.94321939469363,1957.5319662452753,39.71752355895284,27.16620456758564,-855.0077929697544,-86.72236782858188,4.109675289394051,,,,,,
Weekly Left Tail,36.829724656361805,24.477762849266526,3.664861244656922,1.5925288433668936,2.813992456066423,-76.23779689687393,11.78219469717902,15.009107249604789,2.991969573182453,-31.093094101790175,-39.22425491844213,-22.163291076713833,-756.2466490436236,-21.100548457455574,-50.344595468797124,318.8721900136349,32.651709919453616,2.314923640244002,,,,,,
Weekly Right Tail,-45.24205317911056,-28.908832386987235,-8.697747889898832,1.7726048867212811,4.300881632990301,88.37224503860978,17.941538189654935,-13.789386529497383,-5.524712382301059,27.086767053976907,39.659330594619334,20.40206683604029,839.3453527916466,19.622007358525163,37.95939205538857,-334.62360335843954,-35.06723759087544,3.2733172132148263,,,,,,
Monthly Left Tail,15.547547284571271,2.0388839622050092,1.6408319615249338,1.085598740103751,1.66488188635953,4.439453581755754,1.9883844261141805,7.169086797744837,1.4187698957347565,-11.86353460452364,4.788573852848625,5.138125625227561,3.5591240788110015,-9.104712449805673,-37.42637056278259,29.953720436374592,13.662301736851289,1.668948201083557,,,,,,
Monthly Right Tail,-25.40763287929206,2.8291989477566637,-6.302106257242274,1.4781470056848307,4.556489713869616,43.726812890230434,5.4827652604878265,-7.564285675801589,-7.457413339006079,12.169184881937168,9.520021368180693,10.396368176355391,436.1080822754422,9.61870432892595,41.77522004037522,-163.03357276508638,-17.420146241900923,3.272124927517414,,,,,,
Quarterly Left Tail,2.1052095853550794,1.1692945547534925,0.7749723798287697,1.023629416156,1.1372236830452591,1.9616656632574965,1.225147240641147,3.103673860545277,0.8187716613085293,3.946650156422331,2.176173947802854,2.695861833777762,1.6889987215846818,38.125369099689706,-22.94127379815723,1.9738583031257113,2.3892000128291344,1.0453903169070662,,,,,,
Quarterly Right Tail,-13.186178579984098,1.632782333494432,-6.5991906382819865,1.7179469089392116,4.822123357751001,17.534701512522613,7.278980374322217,-4.204495458845635,-9.742447061823118,6.952950592893611,3.337138534936572,4.361082630471222,48.5801878111224,5.138951189208771,26.956305381769077,9.023607662396861,-43.64903640405303,3.439298251603562,,,,,,
Yearly Left Tail,1.5811812623595642,0.8653259818182018,0.39043157722769845,0.6577126569777448,0.7926807629331222,1.306301896422469,0.7491964561243443,1.8031271703333027,0.4215399815262424,1.2301268215767471,1.7722714484214521,2.4578568704190045,0.9653665435852063,3.455233221826804,-10.801652186899506,1.2791938526241775,1.4171736199948064,1.2065217647728208,,,,,,
Yearly Right Tail,-47.239992686905566,1.0285619374120185,-4.2688725966953385,1.1228397089390012,4.528892989355743,4.022602560713087,9.46617145547243,-2.7251697013273524,2.7087853618879114,2.9021331689735246,1.4463363515621892,1.7304594119236327,16.771809259518616,1.8942906085679525,5.378209761115587,2.086934424273936,2.664361206484188,2.435917191843808,,,,,,
Num_Trades,,,,,,,,,,,,,,,,,,38248.0,,,,,,
Hit Rate (%),,,,,,,,,,,,,,,,,,43.586592763020285,,,,,,
Average Win,,,,,,,,,,,,,,,,,,114022.34042473507,,,,,,
Average Loss,,,,,,,,,,,,,,,,,,-94739.7328541039,,,,,,
W/L ratio,,,,,,,,,,,,,,,,,,1.2035324249892678,,,,,,
Total Wins,,,,,,,,,,,,,,,,,,16671.0,,,,,,
Total Losses,,,,,,,,,,,,,,,,,,21464.0,,,,,,
Total PnL Winners,,,,,,,,,,,,,,,,,,1900866437.2207584,,,,,,
Total PnL Losers,,,,,,,,,,,,,,,,,,-2033493625.9804862,,,,,,
Profit Factor,,,,,,,,,,,,,,,,,,0.9347786552830826,,,,,,
PnL Skew,,,,,,,,,,,,,,,,,,0.05384742711487168,,,,,,
Trade EV,,,,,,,,,,,,,,,,,,-3467.5587941782037,,,,,,
Best Trade,,,,,,,,,,,,,,,,,,1517509.9999999993,,,,,,
Worst Trade,,,,,,,,,,,,,,,,,,-1678167.6479999996,,,,,,
25p Trade,,,,,,,,,,,,,,,,,,-72608.75000000026,,,,,,
50p Trade,,,,,,,,,,,,,,,,,,-13284.671875000004,,,,,,
75p Trade,,,,,,,,,,,,,,,,,,61668.00724000001,,,,,,
Pareto Number (%),,,,,,,,,,,,,,,,,,0.06013386320853378,,,,,,
