,eq-em,comm-prec,eq-divf,comm-soft,fx-dm,eq-eu,comm-enrgy,eq-vol,fx-em,fi-as,fi-us,fi-eu,stir,eq-us,crypto,eq-as,comm-base,Total,,,,,,
Total PnL,3806890.5016199877,7372444.9999999525,28817901.999500014,4797619.70317,32252177.841600195,-11846016.667964008,7187466.886192016,16829505.362500086,69704107.58679603,-670818.9599999771,-20683887.31499991,-22790934.50899987,-2065684.8733741967,-17291284.999999996,-742075.0,-2450744.9825,2743954.9999999716,94970622.5735403,,,,Settings: ,Settings: ,27102024_2056
Average Ann. PnL,81479.22595619474,157793.11533888124,616792.194995244,102683.89376582639,690296.3152780066,-253541.37933811196,153834.011832885,360203.44414387824,1491883.3966258366,-14357.599619500104,-442699.1339714606,-487796.45798097225,-44212.04247412074,-370086.95600475615,-15882.69916765755,-52453.519244946496,58729.12009512425,2032664.9302303514,,,,byac,True,
Average Ann. Vol,777226.1327726407,1615866.3364036207,748874.6908245154,831703.8691394231,1996638.276990047,2027155.5308333738,1044194.7589623295,970190.412601941,1275258.3452901908,682892.1748832992,2833881.2989041847,2248146.2829360883,1819373.2987645774,1211162.5221501088,261432.55891667126,594289.3591363379,501434.2870815607,7943340.805966214,,,,byassets,False,
Sharpe Ratio (ann.),0.10483335868485212,0.09765233162173308,0.823625370909721,0.12346208497511861,0.3457292806780382,-0.12507248481022068,0.14732310281441927,0.3712708757632982,1.1698675818399384,-0.021024694889722095,-0.15621654094779663,-0.21697718768723007,-0.024300698764867207,-0.30556341468340814,-0.06075256744405729,-0.08826259201607708,0.1171222662832621,0.2558954701658557,,,,totalsys,True,
Sortino Ratio (ann.),0.07758919258659536,0.07033987487076536,0.4784304672996594,0.14350192649084675,0.3312110830493818,-0.08229993867572365,0.12282781959872685,0.16942145815331136,1.0378919222475083,-0.009732370761386862,-0.09678136854804598,-0.13111624888309212,-0.018113730244109845,-0.13945892769981774,-0.013983595159358143,-0.05655622323394547,0.06484540945745756,0.3106204945995763,,,,filter_assets,[],
Max drawdown,5026696.707740005,25026555.000000075,1201470.7569999981,5772214.992100014,9500550.000000007,23193839.809614994,6496754.293544005,6720502.314499998,5072825.0,5902959.5000000475,34557918.217999905,33526752.821499933,18671173.153100334,17411849.999999996,1860300.0,8201200.297500007,3356900.0000000033,56914426.39931321,,,,filter_ac,[],
Average drawdown,2080509.386555,10601237.272360329,383342.5808970384,2056301.2730650974,2152707.0951494947,8552582.826055141,1884680.5476109565,1705115.1379293315,752567.258155348,2308197.20329972,11962872.45212742,9288565.485925183,5696456.299688734,7700890.371773289,786489.6337861784,2438119.9728627303,1163085.3896595226,11923578.08974661,,,,start_date,,
Max drawdown Duration,4959.0,9357.0,777.0,3910.0,1574.0,5635.0,2417.0,1616.0,913.0,9047.0,7259.0,4522.0,7259.0,7128.0,1492.0,3715.0,3283.0,2898.0,,,,end_date,,
Avg Drawdown Duration,262.2142857142857,259.2325581395349,77.06521739130434,153.81333333333333,92.04672897196262,502.2631578947368,188.21428571428572,79.27118644067797,46.75714285714286,2021.4,613.0526315789474,323.8787878787879,986.3,7128.0,338.6,268.1470588235294,249.22857142857143,74.6842105263158,,,,,,
Total Number of Drawdowns,28.0,43.0,46.0,75.0,107.0,19.0,56.0,59.0,140.0,5.0,19.0,33.0,10.0,1.0,5.0,34.0,35.0,152.0,,,,,,
