Trade_ID,Descr,AssetClass,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
4671_US1Com_1,US LONG BOND(CBT),fi-us,US1 Comdty,1980-05-05,1980-05-13,-43.84375,-44.03125,-5262031.25,119.0,-25250.0
4671_SB1Com_1,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-05-12,1980-05-20,54.75,52.01,1371720.0,23.0,-71635.20000000006
4671_SB1Com_2,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-05-27,1980-06-04,58.32,53.5,1032192.0,16.0,-89084.8
4671_BO1Com_1,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-06-24,1980-07-02,54.64,56.9,5085240.0,155.0,208931.99999999977
4671_S1Comd_1,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-06-24,1980-07-02,229.0625,284.8125,1021781.25,90.0,255125.0
4671_GC1Com_1,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-06-30,1980-07-09,1824.1,1836.6,16631160.0,91.0,108850.0
4671_SM1Com_1,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-07-01,1980-07-10,-437.6,-424.9,-8216780.0,187.0,190310.00000000055
4671_S1Comd_2,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-07-03,1980-07-14,289.5625,354.5625,825956.25,58.0,149650.0
4671_BO1Com_2,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-07-03,1980-07-14,56.9,59.09,3891959.9999999995,114.0,151518.00000000035
4671_C1Comd_1,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-07-03,1980-07-14,1094.0625,1113.5625,12121893.75,222.0,172025.0
4671_SM1Com_2,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-07-14,1980-07-22,-409.0,-421.4,-3352000.0,80.0,-79049.99999999984
4671_C1Comd_2,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-07-15,1980-07-23,1110.5625,1119.0625,7850615.625,141.0,51962.5
4671_BO1Com_3,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-07-15,1980-07-23,58.89,59.05,3545400.0,100.0,6263.999999999789
4671_S1Comd_3,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-07-15,1980-07-23,349.5625,335.3125,709125.0,40.0,-27462.5
4671_FC1Com_1,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-07-28,1980-08-05,194.25,192.875,4821250.0,50.0,-35650.000000000015
4671_C1Comd_3,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-08-01,1980-08-11,1131.0625,1128.0625,6139765.625,109.0,-19900.0
4671_C1Comd_4,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-08-27,1980-09-05,1141.3125,1149.5625,6348159.375,111.0,47137.5
4671_SM1Com_3,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-09-02,1980-09-10,-391.5,-386.3,-2335810.0,59.0,32809.99999999994
4671_W1Comd_1,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-09-03,1980-09-11,2377.75,2376.5,9510000.0,80.0,-5312.5
4671_W1Comd_2,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-09-22,1980-09-30,2389.5,2388.5,10880187.5,91.0,-8287.5
4671_S1Comd_4,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-09-22,1980-09-30,409.3125,356.8125,813759.375,39.0,-103100.0
4671_SM1Com_4,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-09-22,1980-09-30,-375.1,-390.0,-2511830.0,67.0,-101229.99999999984
4671_GC1Com_2,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-09-23,1980-10-01,1873.5,1838.5,18750000.0,100.0,-383700.0
4671_W1Comd_3,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-10-14,1980-10-22,2407.25,2425.5,9049687.5,75.0,74175.0
4671_SM1Com_5,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-10-23,1980-10-31,-356.2,-352.9,-2181970.0,61.0,19140.000000000065
4671_W1Comd_4,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-10-23,1980-10-31,2420.5,2413.75,9580725.0,79.0,-25200.0
4671_S1Comd_5,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-10-23,1980-10-31,438.0625,444.0625,798412.5,36.0,12150.0
4671_C1Comd_5,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-10-23,1980-10-31,1159.0625,1165.0625,7598409.375,131.0,40850.0
4671_C1Comd_6,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-11-06,1980-11-14,1167.5625,1174.3125,7631406.25,130.0,44537.5
4671_C1Comd_7,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-11-21,1980-12-02,1183.0625,1180.8125,7688281.25,130.0,-16712.5
4671_KC1Com_1,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1981-07-24,1981-08-03,283.02,273.32,1723020.0,16.0,-59317.499999999935
4671_FC1Com_2,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1981-08-28,1981-09-08,173.425,172.975,6243300.0,72.0,-16300.000000000633
4671_FC1Com_3,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1981-09-11,1981-09-21,175.175,173.675,7329000.0,84.0,-65024.99999999997
4671_KC1Com_2,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1981-09-28,1981-10-06,292.98,299.17,2105152.5,19.0,49140.000000000015
4671_KC1Com_3,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1981-10-29,1981-11-06,306.82,312.03,2647357.5,23.0,45509.99999999982
4671_US1Com_2,US LONG BOND(CBT),fi-us,US1 Comdty,1981-11-12,1981-11-20,-63.90625,-63.3125,-9953906.25,155.0,95031.25
4671_SB1Com_3,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1981-12-23,1982-01-05,29.18,28.2,2836624.0,86.0,-92008.0
4671_KC1Com_4,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1982-02-01,1982-02-09,325.53,329.64,3911880.0,32.0,51521.25000000017
4671_RS1Com_1,CANOLA FUTR (WCE),comm-soft,RS1 Comdty,1982-04-06,1982-04-15,494.9,494.8,4525717.2552000005,558.0,2579.5748000003005
4671_RS1Com_2,CANOLA FUTR (WCE),comm-soft,RS1 Comdty,1982-05-13,1982-05-21,504.2,510.7,4522258.5558,551.0,53894.42579999998
4671_FC1Com_4,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1982-08-13,1982-08-23,178.975,179.175,7656150.000000001,86.0,6812.500000000795
4671_TY1Com_1,US 10YR NOTE,fi-us,TY1 Comdty,1982-08-16,1982-08-24,-38.140625,-35.140625,-8446046.875,217.0,605750.0
4671_US1Com_3,US LONG BOND(CBT),fi-us,US1 Comdty,1982-08-17,1982-08-25,-61.34375,-60.3125,-13269375.0,210.0,177687.5
4671_GC1Com_3,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1982-08-20,1982-08-30,1422.8,1445.5,22296960.0,158.0,363170.00000000035
4671_GC1Com_4,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1982-09-07,1982-09-15,1505.9,1479.1,15511600.0,104.0,-264180.00000000163
4671_KC1Com_5,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1982-09-08,1982-09-16,343.72,349.18,4413030.0,34.0,65902.49999999974
4671_KC1Com_6,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1982-09-20,1982-09-28,348.93,355.74,4480222.5,34.0,91575.00000000003
4671_US1Com_4,US LONG BOND(CBT),fi-us,US1 Comdty,1982-09-22,1982-09-30,-58.15625,-57.53125,-9812562.5,169.0,116125.0
4671_US1Com_5,US LONG BOND(CBT),fi-us,US1 Comdty,1982-10-04,1982-10-12,-58.09375,-51.40625,-11136656.25,197.0,1080593.75
4671_TY1Com_2,US 10YR NOTE,fi-us,TY1 Comdty,1982-10-04,1982-10-12,-33.890625,-28.421875,-7330078.125,225.0,1003031.25
4671_SM1Com_6,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1982-11-19,1982-11-30,-513.3,-514.8,-6879559.999999999,134.0,-22500.00000000013
4671_SB1Com_4,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-12-01,1982-12-09,22.05,21.16,2847264.0000000005,114.0,-106780.80000000006
4671_C1Comd_8,CORN FUTURE      ,comm-soft,C 1 Comdty,1983-01-11,1983-01-19,941.3125,946.0625,13786565.625,293.0,73037.5
4671_SM1Com_7,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1983-01-11,1983-01-19,-511.0,-510.6,-9500880.0,186.0,16969.999999999578
4671_GC1Com_5,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1983-01-11,1983-01-19,1500.7,1507.9,23423400.0,156.0,118700.0000000009
4671_C1Comd_9,CORN FUTURE      ,comm-soft,C 1 Comdty,1983-01-28,1983-02-07,954.0625,956.0625,13833165.625,289.0,24587.5
4671_FC1Com_5,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1983-02-11,1983-02-22,177.125,177.8,6269300.0,71.0,26800.000000000466
4671_C1Comd_10,CORN FUTURE      ,comm-soft,C 1 Comdty,1983-02-11,1983-02-22,965.5625,966.5625,10170859.375,211.0,12162.5
4671_FC1Com_6,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1983-02-24,1983-03-04,179.55,177.025,7679800.0,86.0,-100275.00000000023
4671_TY1Com_3,US 10YR NOTE,fi-us,TY1 Comdty,1983-02-28,1983-03-08,-25.671875,-26.640625,-7633171.875,301.0,-304218.75
4671_G1Comd_1,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-03-16,1983-03-24,-0.11,-1.24,108008.75999999998,87.0,-144654.49700000003
4671_C1Comd_11,CORN FUTURE      ,comm-soft,C 1 Comdty,1983-03-18,1983-03-28,977.0625,992.3125,8500443.75,174.0,135750.0
4671_S1Comd_6,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1983-03-24,1983-04-04,-55.6875,-46.9375,-180171.875,65.0,27975.0
4671_W1Comd_5,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1983-03-24,1983-04-04,2056.25,2051.5,9970387.5,97.0,-22337.5
4671_SM1Com_8,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1983-03-24,1983-04-04,-503.4,-502.7,-5230160.0,104.0,5669.999999999887
4671_BO1Com_4,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1983-04-04,1983-04-12,39.94,40.11,4121898.0,173.0,19092.000000000182
4671_G1Comd_2,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-04-12,1983-04-20,1.92,0.73,310266.26399999997,84.0,-168553.58099999998
4671_US1Com_6,US LONG BOND(CBT),fi-us,US1 Comdty,1983-04-15,1983-04-25,-49.09375,-49.875,-12699375.0,260.0,-209531.25
4671_TY1Com_4,US 10YR NOTE,fi-us,TY1 Comdty,1983-04-15,1983-04-25,-24.578125,-25.109375,-8609890.625,353.0,-195906.25
4671_SB1Com_5,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-05-04,1983-05-12,21.4,21.92,3195192.0,133.0,79027.20000000048
4671_US1Com_7,US LONG BOND(CBT),fi-us,US1 Comdty,1983-05-05,1983-05-13,-48.21875,-48.75,-13865625.0,290.0,-157406.25
4671_TY1Com_5,US 10YR NOTE,fi-us,TY1 Comdty,1983-05-05,1983-05-13,-23.859375,-24.046875,-9124062.5,388.0,-83843.75
4671_SB1Com_6,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-05-17,1983-05-25,22.98,24.18,2836198.3999999994,112.0,129203.19999999992
4671_KC1Com_7,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1983-05-17,1983-05-25,350.77,356.21,7122735.0,54.0,109046.24999999997
4671_SB1Com_7,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-05-27,1983-06-07,25.45,23.54,1942046.4000000001,69.0,-111395.19999999995
4671_KC1Com_8,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1983-05-31,1983-06-08,354.01,349.19,6836996.250000001,51.0,-73661.24999999991
4671_G1Comd_3,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-06-14,1983-06-22,3.04,1.35,573180.894,99.0,-260069.82
4671_C1Comd_12,CORN FUTURE      ,comm-soft,C 1 Comdty,1983-07-12,1983-07-20,1006.3125,1020.3125,9365681.25,186.0,129437.5
4671_CL1Com_1,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1983-07-14,1983-07-22,63.87,63.55,21850380.0,342.0,-114590.00000000016
4671_BO1Com_5,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1983-07-18,1983-07-26,41.57,43.57,3123792.0,126.0,148968.0
4671_S1Comd_7,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1983-07-21,1983-07-29,-9.6875,-10.6875,-27362.5,44.0,-5887.5
4671_C1Comd_13,CORN FUTURE      ,comm-soft,C 1 Comdty,1983-07-21,1983-07-29,1018.0625,1016.8125,7346250.0,144.0,-9150.0
4671_SM1Com_9,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1983-07-21,1983-07-29,-497.0,-501.0,-3527990.0,71.0,-34740.00000000002
4671_RS1Com_3,CANOLA FUTR (WCE),comm-soft,RS1 Comdty,1983-07-25,1983-08-03,447.5,464.7,3142615.1028,433.0,98774.96559999997
4671_BO1Com_6,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1983-07-29,1983-08-08,43.82,47.39,3329250.0,125.0,220644.00000000003
4671_C1Comd_14,CORN FUTURE      ,comm-soft,C 1 Comdty,1983-08-02,1983-08-10,1031.0625,1051.5625,6058193.75,118.0,120375.0
4671_W1Comd_6,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1983-08-02,1983-08-10,2043.5,2052.0,11463200.0,112.0,51037.5
4671_S1Comd_8,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1983-08-02,1983-08-10,31.3125,98.0625,30625.0,40.0,130600.0
4671_SM1Com_10,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1983-08-03,1983-08-11,-481.5,-462.0,-3237300.0,66.0,115509.99999999999
4671_RS1Com_4,CANOLA FUTR (WCE),comm-soft,RS1 Comdty,1983-08-04,1983-08-12,466.9,492.2,2411384.0640000002,320.0,122379.67480000007
4671_BO1Com_7,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1983-08-11,1983-08-19,48.56,50.11,2473187.9999999995,86.0,86123.99999999987
4671_C1Comd_15,CORN FUTURE      ,comm-soft,C 1 Comdty,1983-08-11,1983-08-19,1054.0625,1051.5625,5520703.125,105.0,-9475.0
4671_S1Comd_9,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1983-08-11,1983-08-19,122.5625,118.8125,171609.375,35.0,4337.5
4671_SM1Com_11,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1983-08-12,1983-08-22,-456.5,-457.6,-2541000.0,55.0,-6920.000000000095
4671_RS1Com_5,CANOLA FUTR (WCE),comm-soft,RS1 Comdty,1983-08-15,1983-08-23,502.2,504.3,2251804.1716,283.0,-1318.9279999999053
4671_W1Comd_7,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1983-08-16,1983-08-24,2055.75,2055.0,9696100.0,94.0,14425.0
4671_BO1Com_8,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1983-08-25,1983-09-02,54.34,53.26,2103156.0,66.0,-32964.000000000204
4671_RS1Com_6,CANOLA FUTR (WCE),comm-soft,RS1 Comdty,1983-08-26,1983-09-06,521.7,525.3,1866255.1110000003,223.0,6193.80759999968
4671_RS1Com_7,CANOLA FUTR (WCE),comm-soft,RS1 Comdty,1983-09-08,1983-09-16,538.5,539.9,1814226.8760000002,210.0,7675.979599999941
4671_G1Comd_4,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-09-20,1983-09-28,2.39,1.79,374971.41,99.0,-105626.65600000002
4671_KC1Com_9,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1983-09-29,1983-10-07,359.16,364.79,9568226.25,71.0,158433.74999999968
4671_KC1Com_10,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1983-11-09,1983-11-17,371.04,370.43,6255393.75,45.0,-13350.00000000022
4671_G1Comd_5,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-11-14,1983-11-22,4.92,4.92,759873.2400000001,93.0,-8442.762000000024
4671_KC1Com_11,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1983-12-02,1983-12-12,374.93,376.93,7865340.000000001,56.0,44538.749999999985
4671_FC1Com_7,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1984-01-13,1984-01-23,175.3,174.475,7191400.000000001,82.0,-31800.000000000753
4671_CL1Com_2,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1984-02-28,1984-03-07,63.83,64.08,13283190.0,207.0,48480.00000000001
4671_KC1Com_12,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1984-03-01,1984-03-09,380.28,378.41,7686292.5,54.0,-43863.74999999897
4671_KC1Com_13,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1984-03-27,1984-04-04,382.98,385.33,7632596.25,53.0,45326.249999999294
4671_W1Comd_8,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1984-04-02,1984-04-10,1998.5,1995.5,10611925.0,106.0,-17562.5
4671_C1Comd_16,CORN FUTURE      ,comm-soft,C 1 Comdty,1984-04-05,1984-04-13,1050.3125,1046.3125,11486556.25,218.0,-43025.0
4671_BO1Com_9,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1984-04-05,1984-04-13,50.14,49.48,2559312.0000000005,84.0,-32166.000000000182
4671_BO1Com_10,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1984-04-25,1984-05-03,51.92,52.84,2826642.0000000005,91.0,43428.00000000007
4671_RS1Com_8,CANOLA FUTR (WCE),comm-soft,RS1 Comdty,1984-04-25,1984-05-03,512.8,505.3,4247474.096399999,529.0,-64466.60259999956
4671_BO1Com_11,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1984-05-08,1984-05-16,54.99,58.09,2753490.0000000005,85.0,157566.0000000001
4671_RS1Com_9,CANOLA FUTR (WCE),comm-soft,RS1 Comdty,1984-05-08,1984-05-16,529.8,540.3,3100332.5455999994,386.0,31376.614400000042
4671_S1Comd_10,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1984-05-09,1984-05-17,39.8125,74.0625,94350.0,48.0,87662.5
4671_CL1Com_3,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1984-05-17,1984-05-25,64.63,64.52,18809400.0,290.0,-31889.99999999979
4671_BO1Com_12,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1984-05-17,1984-05-25,57.99,57.89,2962590.0000000005,85.0,-6768.00000000008
4671_RS1Com_10,CANOLA FUTR (WCE),comm-soft,RS1 Comdty,1984-05-17,1984-05-28,540.3,563.0,2320942.9368,278.0,100389.75760000022
4671_S1Comd_11,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1984-05-21,1984-05-30,97.0625,69.8125,208587.5,44.0,-66450.0
4671_KC1Com_14,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1984-05-21,1984-05-30,398.06,385.85,7277051.249999999,49.0,-199057.49999999968
4671_W1Comd_9,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1984-05-22,1984-05-31,2015.75,2004.0,11495475.0,114.0,-63775.0
4671_TY1Com_6,US 10YR NOTE,fi-us,TY1 Comdty,1984-07-27,1984-08-06,-31.796875,-31.109375,-8005078.125,253.0,174687.5
4671_US1Com_8,US LONG BOND(CBT),fi-us,US1 Comdty,1984-08-06,1984-08-14,-59.375,-58.96875,-12773437.5,218.0,82375.0
4671_G1Comd_6,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1984-08-13,1984-08-21,1.76,2.57,283368.75,85.0,87058.775
4671_KC1Com_15,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1984-08-28,1984-09-06,393.65,389.12,6196522.500000001,42.0,-72959.99999999955
4671_TY1Com_7,US 10YR NOTE,fi-us,TY1 Comdty,1984-09-20,1984-09-28,-28.640625,-29.703125,-10368312.5,364.0,-353125.0
4671_US1Com_9,US LONG BOND(CBT),fi-us,US1 Comdty,1984-09-20,1984-09-28,-55.3125,-56.59375,-16851250.0,305.0,-357343.75
4671_TY1Com_8,US 10YR NOTE,fi-us,TY1 Comdty,1984-10-19,1984-10-29,-27.421875,-27.578125,-8990843.75,322.0,-62562.5
4671_US1Com_10,US LONG BOND(CBT),fi-us,US1 Comdty,1984-10-19,1984-10-29,-53.53125,-53.84375,-13593750.0,250.0,-93562.5
4671_BO1Com_13,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1984-11-02,1984-11-12,50.35,51.83,2613540.0,86.0,80789.99999999983
4671_G1Comd_7,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1984-11-05,1984-11-13,6.79,6.76,915544.35,123.0,-11274.075000000026
4671_BO1Com_14,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1984-11-13,1984-11-21,52.01,50.69,2705526.0,87.0,-73536.0
4671_TY1Com_9,US 10YR NOTE,fi-us,TY1 Comdty,1984-11-26,1984-12-04,-24.515625,-25.796875,-6707421.875,275.0,-370687.5
4671_US1Com_11,US LONG BOND(CBT),fi-us,US1 Comdty,1984-11-26,1984-12-04,-50.65625,-51.65625,-11658281.25,231.0,-244468.75
4671_KC1Com_16,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1985-01-16,1985-01-24,392.1,398.2,9413760.0,64.0,148916.24999999913
4671_TY1Com_10,US 10YR NOTE,fi-us,TY1 Comdty,1985-01-25,1985-02-04,-23.453125,-24.609375,-6279578.125,271.0,-343093.75
4671_US1Com_12,US LONG BOND(CBT),fi-us,US1 Comdty,1985-01-25,1985-02-04,-49.65625,-50.59375,-11412843.75,231.0,-246843.75
4671_FC1Com_8,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1985-01-29,1985-02-06,169.2,168.075,10424250.0,123.0,-72837.50000000003
4671_BO1Com_15,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1985-02-04,1985-02-12,52.65,52.01,2933880.0,92.0,-35874.00000000003
4671_KC1Com_17,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1985-02-05,1985-02-13,399.3,392.26,8406930.0,56.0,-138558.7500000004
4671_BO1Com_16,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1985-03-11,1985-03-19,54.16,54.97,2976384.0,92.0,46578.00000000012
4671_CL1Com_4,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1985-03-19,1985-03-27,62.2,62.17,9339000.0,150.0,-4730.000000000167
4671_GC1Com_6,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1985-03-20,1985-03-28,1261.3,1263.6,22017960.0,174.0,49409.999999999156
4671_W1Comd_10,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1985-03-25,1985-04-02,1988.0,1985.75,15880000.0,160.0,-20675.0
4671_BO1Com_17,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1985-03-26,1985-04-03,56.02,56.77,3033576.0,91.0,45750.000000000015
4671_W1Comd_11,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1985-04-08,1985-04-16,1998.5,1990.5,14541600.0,146.0,-56200.0
4671_BO1Com_18,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1985-04-09,1985-04-17,58.14,57.8,3412752.0,98.0,-19716.000000000204
4671_G1Comd_8,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1985-04-16,1985-04-24,5.07,4.42,1121036.95,170.0,-146704.84700000007
4671_BO1Com_19,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1985-04-26,1985-05-06,58.89,58.3,3141072.0,88.0,-32226.00000000016
4671_US1Com_13,US LONG BOND(CBT),fi-us,US1 Comdty,1985-05-13,1985-05-21,-49.15625,-46.75,-12609062.5,257.0,640062.5
4671_TY1Com_11,US 10YR NOTE,fi-us,TY1 Comdty,1985-05-13,1985-05-21,-22.359375,-20.140625,-6689062.5,300.0,679062.5
4671_TY1Com_12,US 10YR NOTE,fi-us,TY1 Comdty,1985-05-29,1985-06-06,-19.171875,-16.359375,-5061375.0,264.0,782281.25
4671_US1Com_14,US LONG BOND(CBT),fi-us,US1 Comdty,1985-05-29,1985-06-06,-45.625,-42.4375,-10258593.75,225.0,756343.75
4671_CL1Com_5,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1985-07-10,1985-07-18,63.47,63.29,13256870.0,209.0,-37119.99999999995
4671_G1Comd_9,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1985-07-16,1985-07-24,6.7,6.73,1894901.58,198.0,27463.816000000093
4671_CL1Com_6,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1985-07-24,1985-08-01,63.93,63.78,15172500.0,238.0,-41439.99999999964
4671_SB1Com_8,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1985-07-26,1985-08-05,12.15,12.3,1832140.7999999998,142.0,12129.600000000042
4671_G1Comd_10,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1985-07-30,1985-08-07,7.79,6.35,1857196.572,163.0,-314388.89
4671_CL1Com_7,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1985-08-13,1985-08-21,64.26,65.02,19029840.0,296.0,233679.99999999712
4671_GC1Com_7,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1985-08-19,1985-08-27,1266.1,1264.3,46585120.0,368.0,-74719.99999999837
4671_SB1Com_9,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1985-09-04,1985-09-12,12.62,12.56,1375382.4,97.0,-6003.1999999998625
4671_CL1Com_8,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1985-09-23,1985-10-01,65.88,66.86,17236980.000000004,262.0,268510.0000000012
