Trade_ID,Descr,AssetClass,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
e844_GC1Com_1,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-01-17,1980-01-18,1931.855,2041.1,10925040.0,56.0,589922.9999999994
e844_SM1Com_1,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-01-18,1980-01-21,-416.294,-419.3,-2313920.0,56.0,-17134.200000000164
e844_SB1Com_1,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-01-22,1980-01-23,40.70375,42.56,2486332.8000000003,54.0,108108.00000000016
e844_SB1Com_2,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-02-05,1980-02-06,44.607749999999996,44.17,1373803.2,27.0,-11276.439999999848
e844_BO1Com_1,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-02-05,1980-02-06,57.6017,57.64,4720560.0,136.0,3194.219999999963
e844_SB1Com_3,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-02-14,1980-02-15,50.4501,47.7,1099112.0,19.0,-46201.679999999935
e844_SB1Com_4,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-03-04,1980-03-05,48.0892,47.72,930865.6,17.0,-7029.567999999987
e844_C1Comd_1,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-04-10,1980-04-11,1084.09875,1081.0625,9835653.125,181.0,-25200.875000000906
e844_US1Com_1,US LONG BOND(CBT),fi-us,US1 Comdty,1980-04-18,1980-04-21,-48.72828125,-47.75,-5344500.0,112.0,113480.62500000023
e844_FC1Com_1,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-05-13,1980-05-14,187.162,186.85,4139300.0,44.0,-6864.00000000026
e844_BO1Com_2,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-06-17,1980-06-18,53.91045,54.01,5227025.999999999,161.0,9616.530000000066
e844_BO1Com_3,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-07-01,1980-07-02,55.67415,56.9,4531140.0,135.0,101500.38000000009
e844_BO1Com_4,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-07-08,1980-07-09,56.89040000000001,56.89,4123440.0000000005,120.0,-29.280000000451878
e844_BO1Com_5,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-07-15,1980-07-16,58.562850000000005,59.64,3545400.0,100.0,64628.99999999977
e844_BO1Com_6,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-09-04,1980-09-05,58.054849999999995,58.79,3223680.0,92.0,41903.55000000025
e844_BO1Com_7,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-09-09,1980-09-10,58.81395,58.83,3442530.0,97.0,934.109999999994
e844_BO1Com_8,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-10-14,1980-10-15,57.3956,57.18,3015594.0000000005,87.0,-11254.320000000105
e844_BO1Com_9,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-11-06,1980-11-07,58.2794,58.2,2855250.0,81.0,-3715.9199999999855
e844_BO1Com_10,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-02-09,1981-02-10,53.17145,52.85,3083904.0,96.0,-17358.29999999993
e844_BO1Com_11,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-10-06,1981-10-07,47.33175,47.92,4106592.0,144.0,49765.950000000186
e844_SB1Com_5,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1981-12-23,1981-12-28,29.20625,29.27,2836624.0,86.0,5997.599999999893
e844_RS1Com_1,CANOLA FUTR (WCE),comm-soft,RS1 Comdty,1982-01-28,1982-01-29,492.1605,485.5,5258269.38,637.0,-59884.928488000114
e844_BO1Com_12,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1982-03-23,1982-03-24,42.722500000000004,42.86,4612830.0,179.0,14932.499999999536
e844_BO1Com_13,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1982-04-07,1982-04-08,43.445,43.67,4948776.000000001,189.0,25245.00000000016
e844_SB1Com_6,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-07-01,1982-07-02,23.096700000000002,23.55,2398771.2,92.0,47215.727999999865
e844_SB1Com_7,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-07-07,1982-07-08,23.5386,23.41,2582372.8000000003,97.0,-13683.039999999863
e844_TY1Com_1,US 10YR NOTE,fi-us,TY1 Comdty,1982-07-13,1982-07-14,-41.63375,-42.171875,-11372062.5,276.0,-138836.25000000023
e844_SB1Com_8,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-07-14,1982-07-15,24.638550000000002,24.52,1953728.0,70.0,-8497.664000000186
e844_TY1Com_2,US 10YR NOTE,fi-us,TY1 Comdty,1982-08-03,1982-08-04,-40.0478125,-40.140625,-8219250.0,208.0,-19212.18750000018
e844_TY1Com_3,US 10YR NOTE,fi-us,TY1 Comdty,1982-08-19,1982-08-20,-36.47328125,-34.921875,-6801406.25,190.0,302524.2187499999
e844_BO1Com_14,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1982-10-14,1982-10-15,39.8232,39.44,4608000.0,192.0,-43684.80000000025
e844_BO1Com_15,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1982-11-08,1982-11-09,39.62645,39.4,4752120.0,199.0,-25543.55999999998
e844_SB1Com_9,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-12-01,1982-12-02,22.1401,21.75,2847264.0000000005,114.0,-48060.32000000004
e844_TY1Com_4,US 10YR NOTE,fi-us,TY1 Comdty,1983-01-04,1983-01-05,-27.20515625,-27.078125,-6538437.5,244.0,31376.718750000422
e844_BO1Com_16,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1983-01-18,1983-01-19,38.727,38.59,6716736.0,288.0,-24413.399999998815
e844_SB1Com_10,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-01-26,1983-01-27,20.53,20.57,2822982.4,122.0,5644.799999999879
e844_G1Comd_1,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-02-14,1983-02-15,-3.9818500000000006,-2.49,-396293.625,75.0,177018.44545000003
e844_FC1Com_2,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1983-02-25,1983-02-28,178.96825,178.65,7630875.000000001,85.0,-13843.875000000267
