Trade_ID,Descr,AssetClass,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
4671_BO1Com_1,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-03-28,1980-04-08,54.25,53.1,-3219480.0,-99.0,-67355.99999999991
4671_S1Comd_1,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-03-28,1980-04-08,203.0625,195.5625,-446187.5,-44.0,-17487.5
4671_SM1Com_1,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-03-28,1980-04-08,-446.3,-447.0,4026600.0,-90.0,-7009.999999999916
4671_FC1Com_1,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-03-28,1980-04-08,188.075,184.05,-2843625.0,-30.0,-57374.99999999966
4671_C1Comd_1,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-03-28,1980-04-08,1070.5625,1083.5625,-6043028.125,-113.0,68212.5
4671_W1Comd_1,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-03-31,1980-04-09,2319.75,2350.5,-4871475.0,-42.0,55212.5
4671_BO1Com_2,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-04-30,1980-05-08,52.26,53.13,-2419032.0,-77.0,42300.000000000204
4671_FC1Com_2,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-05-01,1980-05-09,182.425,186.85,-2184899.9999999995,-24.0,52699.99999999979
4671_KC1Com_1,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-06-19,1980-06-27,357.39,355.06,-1877295.0,-14.0,-12926.249999999907
4671_KC1Com_2,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-07-03,1980-07-14,336.27,345.54,-1540215.0,-12.0,33435.00000000014
4671_KC1Com_3,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-07-28,1980-08-05,318.64,315.26,-1218412.5000000002,-10.0,-6543.749999999996
4671_KC1Com_4,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-08-26,1980-09-04,300.71,298.43,-1014052.5,-9.0,-7226.249999999909
4671_KC1Com_5,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-09-26,1980-10-06,286.71,288.58,-977636.2500000001,-9.0,7856.250000000015
4671_KC1Com_6,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-11-07,1980-11-17,280.67,272.4,-1480237.5,-14.0,-41381.25000000018
4671_FC1Com_3,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-11-11,1980-11-19,187.35,188.55,-3649912.5000000005,-39.0,24387.500000000327
4671_SB1Com_1,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-12-02,1980-12-10,47.43,44.83,-420492.8,-8.0,-23161.600000000017
4671_FC1Com_4,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-12-10,1980-12-18,185.5,185.55,-3712000.0,-40.0,-362.4999999997999
4671_SM1Com_2,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-12-10,1980-12-18,-408.9,-410.1,926669.9999999999,-23.0,-2600.000000000091
4671_GC1Com_1,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-12-10,1980-12-18,1736.7,1707.7,-10569470.0,-61.0,-166150.0
4671_W1Comd_2,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-12-10,1980-12-18,2340.5,2349.0,-3635912.5,-31.0,6350.0
4671_S1Comd_2,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-12-10,1980-12-18,303.0625,292.0625,-234796.875,-15.0,-7950.0
4671_BO1Com_3,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-12-10,1980-12-18,54.74,54.54,-1321680.0,-40.0,-6816.000000000057
4671_SB1Com_2,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-12-12,1980-12-22,39.83,47.76,-374169.6,-8.0,69574.4
4671_US1Com_1,US LONG BOND(CBT),fi-us,US1 Comdty,1980-12-12,1980-12-22,-60.1875,-52.9375,3776062.5,-63.0,421687.5
4671_FC1Com_5,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1981-01-09,1981-01-19,182.6,182.925,-2921600.0,-32.0,5550.0000000002965
4671_SM1Com_3,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1981-01-23,1981-02-02,-427.1,-430.9,1069500.0,-25.0,-9389.999999999882
4671_S1Comd_3,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1981-01-23,1981-02-02,232.0625,219.5625,-185650.0,-16.0,-10200.0
4671_BO1Com_4,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-01-23,1981-02-02,52.57,52.4,-1546440.0,-49.0,-5574.000000000049
4671_FC1Com_6,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1981-01-26,1981-02-03,179.95,178.425,-3157000.0,-35.0,-26924.999999999585
4671_GC1Com_2,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1981-01-27,1981-02-04,1652.0,1609.0,-8920800.0,-54.0,-239290.0
4671_GC1Com_3,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1981-03-03,1981-03-11,1587.0,1587.0,-9444000.0,-60.0,2950.0
4671_W1Comd_3,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1981-03-03,1981-03-11,2293.75,2279.0,-4010562.5,-35.0,-27187.5
4671_C1Comd_2,CORN FUTURE      ,comm-soft,C 1 Comdty,1981-03-03,1981-03-11,1129.3125,1121.5625,-3438303.125,-61.0,-24500.0
4671_SM1Com_4,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1981-03-03,1981-03-11,-446.3,-446.9,1345800.0,-30.0,-1209.9999999999
4671_FC1Com_7,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1981-03-03,1981-03-11,176.6,178.2,-2999649.9999999995,-34.0,25499.999999999935
4671_FC1Com_8,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1981-03-19,1981-03-27,173.25,175.15,-2347650.0,-27.0,21462.500000000076
4671_US1Com_2,US LONG BOND(CBT),fi-us,US1 Comdty,1981-04-07,1981-04-15,-61.90625,-62.25,4539687.5,-73.0,-27093.75
4671_SB1Com_3,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1981-04-16,1981-04-27,33.89,33.86,-763168.0,-20.0,862.3999999999614
4671_US1Com_3,US LONG BOND(CBT),fi-us,US1 Comdty,1981-05-05,1981-05-13,-66.09375,-65.34375,5184375.0,-79.0,64375.0
4671_BO1Com_5,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-05-05,1981-05-13,51.5,51.22,-2291928.0,-74.0,-14292.000000000064
4671_FC1Com_9,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1981-05-05,1981-05-13,170.075,167.925,-2297362.5,-27.0,-29187.499999999687
4671_C1Comd_3,CORN FUTURE      ,comm-soft,C 1 Comdty,1981-05-13,1981-05-21,1108.3125,1103.8125,-3931846.875,-71.0,-17325.0
4671_W1Comd_4,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1981-05-13,1981-05-21,2262.75,2252.5,-5315700.0,-47.0,-27837.5
4671_KC1Com_7,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1981-05-20,1981-05-29,266.65,268.53,-1705695.0000000002,-17.0,19522.500000000036
4671_C1Comd_4,CORN FUTURE      ,comm-soft,C 1 Comdty,1981-05-22,1981-06-02,1105.8125,1103.8125,-3587390.625,-65.0,-6887.5
4671_W1Comd_5,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1981-05-22,1981-06-02,2253.75,2249.5,-5969125.0,-53.0,-11537.5
4671_SM1Com_5,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1981-06-04,1981-06-12,-453.9,-452.8,2086560.0000000002,-46.0,6289.999999999828
4671_S1Comd_4,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1981-06-04,1981-06-12,162.0625,175.0625,-224521.875,-27.0,19187.5
4671_BO1Com_6,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-06-04,1981-06-12,49.66,50.48,-2886911.9999999995,-96.0,50154.000000000015
