Trade_ID,Descr,AssetClass,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
e844_US1Com_1,US LONG BOND(CBT),fi-us,US1 Comdty,1980-01-22,1980-01-23,-46.6446875,-46.4375,4725000.0,-100.0,18025.3125000003
e844_US1Com_2,US LONG BOND(CBT),fi-us,US1 Comdty,1980-02-07,1980-02-08,-52.7434375,-52.5,4719000.0,-88.0,19231.56249999991
e844_GC1Com_1,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-02-20,1980-02-21,1865.445,1862.6,-4443839.999999999,-24.0,-6828.0000000000655
e844_US1Com_3,US LONG BOND(CBT),fi-us,US1 Comdty,1980-02-22,1980-02-25,-58.37421875,-58.46875,4109812.5,-69.0,-5293.750000000159
e844_C1Comd_1,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-02-25,1980-02-26,1093.4925,1092.5625,-5733328.125,-105.0,-4975.50000000034
e844_SB1Com_1,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-03-11,1980-03-12,42.947449999999996,42.14,-373900.8,-8.0,-6330.407999999967
e844_BO1Com_1,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-03-14,1980-03-17,55.24605,55.11,-2807040.0,-85.0,-6938.549999999865
e844_BO1Com_2,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-04-03,1980-04-07,53.23465,52.96,-3148200.0,-99.0,-15984.630000000068
e844_SB1Com_2,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-07-10,1980-07-11,48.07885,45.15,-476582.39999999997,-9.0,-29522.80800000004
e844_SB1Com_3,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-08-20,1980-08-21,51.16515,51.36,-563360.0,-10.0,2182.320000000027
e844_SB1Com_4,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-08-26,1980-08-27,49.33755,49.67,-542192.0,-10.0,3351.096000000015
e844_BO1Com_3,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-09-29,1980-09-30,56.76405,56.37,-1487640.0,-44.0,-10639.35
e844_BO1Com_4,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-12-12,1980-12-15,53.83285,55.02,-1215696.0,-38.0,24217.86000000005
e844_BO1Com_5,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-01-30,1981-02-02,52.33445,52.4,-1654872.0,-53.0,2123.8200000000575
e844_BO1Com_6,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-04-30,1981-05-01,52.29615,52.12,-2345400.0,-75.0,-7926.749999999991
e844_BO1Com_7,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-06-30,1981-07-01,49.147349999999996,49.41,-2760216.0,-94.0,14498.280000000039
e844_BO1Com_8,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-07-31,1981-08-03,50.0302,49.17,-1580460.0000000002,-53.0,-27870.47999999997
e844_SB1Com_5,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1981-09-02,1981-09-03,28.96405,28.38,-927304.0,-29.0,-18315.80800000004
e844_SB1Com_6,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1981-10-21,1981-10-22,27.44955,27.3,-1220800.0,-40.0,-6699.839999999904
e844_BO1Com_9,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-11-11,1981-11-12,46.07605,46.1,-2284325.9999999995,-83.0,1192.7099999999627
e844_BO1Com_10,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-12-09,1981-12-10,45.1219,45.0,-2317356.0,-86.0,-6290.039999999823
e844_SB1Com_7,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-02-25,1982-02-26,27.5781,27.65,-1565087.9999999998,-51.0,3784.815999999969
e844_BO1Com_11,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1982-03-04,1982-03-05,42.475,42.33,-2283120.0,-90.0,-7743.000000000167
e844_BO1Com_12,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1982-03-09,1982-03-10,42.2772,42.36,-2348622.0,-93.0,4620.239999999937
e844_SB1Com_8,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-03-29,1982-03-30,26.1042,26.14,-1510163.2,-52.0,2044.8960000001046
