Trade_ID,Descr,AssetClass,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
08ed_GC1Com_1,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-01-18,1980-01-30,2050.9,1877.1,10804860.0,54.0,-726100.000000001
08ed_SB1Com_1,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-01-18,1980-01-30,41.11,43.32,2273600.0,50.0,66259.20000000003
08ed_FC1Com_1,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-02-04,1980-02-14,201.1,203.25,5831900.0,58.0,58675.000000000146
08ed_KC1Com_1,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-02-26,1980-03-07,362.59,373.77,3940773.75,29.0,129427.50000000007
08ed_KC1Com_2,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-04-14,1980-04-24,371.04,368.44,4448040.0,32.0,-38482.50000000032
08ed_US1Com_1,US LONG BOND(CBT),fi-us,US1 Comdty,1980-04-18,1980-04-30,-48.40625,-47.34375,-5344500.0,112.0,130468.75
08ed_US1Com_2,US LONG BOND(CBT),fi-us,US1 Comdty,1980-05-06,1980-05-16,-43.53125,-46.125,-5392781.25,123.0,-339281.25
08ed_SB1Com_2,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-05-08,1980-05-20,52.02,52.01,1307320.0,23.0,67.19999999986612
08ed_W1Comd_1,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-05-08,1980-05-20,2349.0,2335.75,6809200.0,58.0,-41787.5
08ed_KC1Com_3,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-05-09,1980-05-21,374.44,376.25,4766715.0,34.0,20433.750000000022
08ed_GC1Com_2,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-06-09,1980-06-19,1810.1,1783.1,17325170.0,97.0,-264950.0
08ed_US1Com_3,US LONG BOND(CBT),fi-us,US1 Comdty,1980-06-12,1980-06-24,-40.53125,-40.5,-5027625.0,123.0,-23250.0
