Trade_ID,Descr,AssetClass,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
147c_GC1Com_1,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-01-18,1980-01-29,2050.9,1905.3,10804860.0,54.0,-635860.0000000009
147c_SB1Com_1,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-01-18,1980-01-23,41.11,42.56,2273600.0,50.0,86352.00000000017
147c_SB1Com_2,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-01-25,1980-01-30,42.54,43.32,2738097.6,57.0,-8467.199999999983
147c_FC1Com_1,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-02-04,1980-02-08,201.1,204.625,5831900.0,58.0,99025.00000000016
147c_FC1Com_2,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-02-12,1980-02-25,204.2,200.25,5934850.0,58.0,-109787.4999999997
147c_KC1Com_1,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-02-26,1980-02-29,362.59,365.55,3940773.75,29.0,34245.00000000042
147c_KC1Com_2,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-03-04,1980-03-10,369.29,374.49,4292879.999999999,31.0,56189.99999999984
147c_KC1Com_3,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-04-14,1980-04-22,371.04,370.54,4448040.0,32.0,-5658.74999999997
147c_US1Com_1,US LONG BOND(CBT),fi-us,US1 Comdty,1980-04-18,1980-04-28,-48.40625,-47.03125,-5344500.0,112.0,167343.75
147c_US1Com_2,US LONG BOND(CBT),fi-us,US1 Comdty,1980-05-06,1980-05-14,-43.53125,-43.65625,-5392781.25,123.0,-13968.75
147c_W1Comd_1,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-05-08,1980-05-15,2349.0,2340.75,6809200.0,58.0,-26962.5
147c_SB1Com_3,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-05-08,1980-05-14,52.02,55.47,1307320.0,23.0,88591.99999999988
147c_KC1Com_4,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-05-09,1980-05-14,374.44,379.4,4766715.0,34.0,61781.24999999972
147c_GC1Com_2,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-06-09,1980-06-13,1810.1,1783.1,17325170.0,97.0,-268350.0
147c_US1Com_3,US LONG BOND(CBT),fi-us,US1 Comdty,1980-06-12,1980-06-24,-40.53125,-40.5,-5027625.0,123.0,-23250.0
147c_C1Comd_1,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-06-17,1980-06-23,1079.0625,1080.0625,13383475.0,248.0,14750.0
147c_S1Comd_1,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-07-01,1980-07-07,250.5625,297.5625,1100821.875,87.0,191900.0
147c_BO1Com_1,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-07-01,1980-07-07,55.87,57.27,4531140.0,135.0,111258.00000000041
147c_SM1Com_1,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-07-01,1980-07-07,-439.8,-425.4,-8216780.0,187.0,238040.0000000004
147c_GC1Com_3,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-07-02,1980-07-15,1844.6,1790.6,16799510.0,91.0,-526650.0
147c_BO1Com_2,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-07-09,1980-07-14,56.97,59.09,4186307.9999999995,122.0,147552.00000000035
147c_SM1Com_2,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-07-09,1980-07-14,-426.1,-409.0,-4732000.0,112.0,139760.0000000002
147c_S1Comd_2,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-07-09,1980-07-14,299.5625,354.5625,954993.75,62.0,128750.0
147c_BO1Com_3,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-07-21,1980-07-28,59.32,58.5,3662820.0,102.0,-43506.00000000004
147c_FC1Com_3,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-07-25,1980-08-06,191.75,192.3,4879425.0,51.0,11612.500000000295
147c_SM1Com_3,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-08-27,1980-09-02,-404.2,-391.5,-2505420.0,62.0,80069.99999999994
147c_W1Comd_2,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-09-04,1980-09-16,2376.5,2374.5,9748775.0,82.0,-9250.0
147c_SM1Com_4,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-09-04,1980-09-16,-392.2,-382.9,-2391810.0,61.0,60010.00000000009
147c_S1Comd_3,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-09-04,1980-09-11,376.8125,393.5625,659421.875,35.0,30487.5
147c_GC1Com_4,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-09-09,1980-09-16,1841.6,1842.0,19673020.0,107.0,-10519.999999998981
147c_SM1Com_5,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-09-24,1980-10-06,-374.2,-384.7,-2652560.0,71.0,-73900.0
147c_W1Comd_3,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-09-24,1980-09-30,2398.0,2388.5,11260025.0,94.0,-47962.5
147c_SB1Com_4,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-10-09,1980-10-16,59.63,60.29,1451049.5999999999,22.0,13070.399999999914
147c_C1Comd_2,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-10-14,1980-10-17,1152.5625,1151.3125,7164487.5,124.0,-7900.0
147c_S1Comd_4,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-10-14,1980-10-17,408.8125,405.0625,680956.25,34.0,-6062.5
147c_SM1Com_6,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-10-14,1980-10-17,-371.6,-370.2,-2170940.0,58.0,8280.000000000206
147c_KC1Com_5,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-10-16,1980-10-24,298.81,291.06,2575338.75,23.0,-69015.0
147c_BO1Com_4,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-11-21,1980-12-04,59.34,56.92,3109554.0,87.0,-121878.00000000012
147c_US1Com_4,US LONG BOND(CBT),fi-us,US1 Comdty,1980-12-23,1981-01-02,-52.78125,-53.125,-5611375.0,106.0,-39875.0
147c_S1Comd_5,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-12-23,1980-12-31,314.0625,304.5625,449590.625,29.0,-12487.5
147c_SB1Com_5,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-12-23,1980-12-31,48.08,45.91,855859.2,16.0,-40028.800000000025
147c_S1Comd_6,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1981-03-20,1981-03-30,219.3125,230.3125,495171.875,43.0,24000.0
147c_BO1Com_5,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-03-20,1981-03-30,53.48,53.41,4134144.0,128.0,-5244.0000000000255
147c_GC1Com_5,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1981-03-23,1981-03-26,1650.0,1656.4,18593020.0,113.0,77160.0000000011
147c_KC1Com_6,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1981-04-24,1981-05-01,281.65,282.33,5795212.500000001,55.0,14752.50000000014
147c_US1Com_5,US LONG BOND(CBT),fi-us,US1 Comdty,1981-06-17,1981-06-22,-58.90625,-60.25,-11168437.5,190.0,-260656.25
147c_BO1Com_6,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-07-10,1981-07-16,51.1,51.33,3638544.0,119.0,13181.999999999836
147c_KC1Com_7,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1981-07-24,1981-08-05,288.59,270.4,1723020.0,16.0,-106968.75
147c_FC1Com_4,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1981-08-03,1981-08-10,168.45,170.075,4985500.0,59.0,51574.999999999985
147c_FC1Com_5,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1981-08-18,1981-08-25,171.425,171.225,6698250.0,78.0,-8175.000000000709
147c_GC1Com_6,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1981-09-04,1981-09-14,1530.7,1546.5,24060250.0,157.0,245009.9999999992
147c_KC1Com_8,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1981-09-14,1981-09-17,281.5,280.72,2203031.25,21.0,-6434.999999999774
147c_BO1Com_7,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-10-07,1981-10-12,47.98,48.01,4054032.0,141.0,2892.0000000000946
147c_US1Com_6,US LONG BOND(CBT),fi-us,US1 Comdty,1981-10-09,1981-10-21,-68.96875,-71.25,-11634000.0,168.0,-395593.75
147c_W1Comd_4,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1981-10-13,1981-10-23,2234.5,2235.75,15196300.0,136.0,10012.5
147c_KC1Com_9,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1981-10-30,1981-11-04,307.0,313.71,2761380.0,24.0,60389.99999999981
147c_US1Com_7,US LONG BOND(CBT),fi-us,US1 Comdty,1981-11-05,1981-11-11,-67.28125,-64.21875,-10222000.0,152.0,482375.0
147c_SM1Com_7,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1981-11-06,1981-11-12,-485.7,-488.5,-9904200.0,204.0,-62330.00000000032
147c_US1Com_8,US LONG BOND(CBT),fi-us,US1 Comdty,1981-11-13,1981-11-18,-64.4375,-63.09375,-10225000.0,160.0,216968.75
147c_KC1Com_10,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1981-11-18,1981-12-01,318.85,305.1,3466623.75,29.0,-146501.25
147c_SB1Com_6,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1981-11-30,1981-12-04,28.5,28.38,2344059.2,73.0,-8758.400000000092
147c_S1Comd_7,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1981-12-07,1981-12-11,57.5625,33.8125,262075.0,88.0,-94000.0
147c_SM1Com_8,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1981-12-07,1981-12-11,-483.9,-490.1,-7921200.0,164.0,-99260.00000000064
147c_FC1Com_6,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1982-01-13,1982-01-21,165.5,167.875,4468500.0,54.0,67187.50000000001
147c_SB1Com_7,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-01-14,1982-01-21,28.59,29.02,2925104.0,91.0,49660.79999999996
147c_BO1Com_8,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1982-01-27,1982-02-01,44.76,44.84,5831658.0,217.0,10422.000000000728
147c_SB1Com_8,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-01-28,1982-02-09,29.24,28.76,3818348.8000000003,116.0,-61902.39999999959
147c_FC1Com_7,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1982-02-04,1982-02-09,171.45,170.625,5392012.500000001,63.0,-26737.499999999673
147c_US1Com_9,US LONG BOND(CBT),fi-us,US1 Comdty,1982-02-22,1982-03-01,-66.4375,-65.96875,-11236125.0,166.0,74218.75
147c_W1Comd_5,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1982-03-24,1982-03-29,2131.5,2124.0,12787500.0,120.0,-46525.0
147c_C1Comd_3,CORN FUTURE      ,comm-soft,C 1 Comdty,1982-04-02,1982-04-13,990.5625,996.3125,17231437.5,348.0,97100.0
147c_FC1Com_8,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1982-04-06,1982-04-12,174.0,172.925,7388625.0,85.0,-48637.499999999534
147c_S1Comd_8,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1982-04-07,1982-04-20,20.3125,20.3125,102971.875,83.0,2675.0
147c_W1Comd_6,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1982-04-21,1982-05-03,2143.5,2123.75,13822350.0,129.0,-128750.0
147c_FC1Com_9,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1982-05-10,1982-05-17,175.7,175.85,7809750.0,89.0,12875.000000000218
147c_TY1Com_1,US 10YR NOTE,fi-us,TY1 Comdty,1982-05-12,1982-05-20,-39.734375,-39.921875,-11553609.375,291.0,-49375.0
147c_KC1Com_11,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1982-06-01,1982-06-07,331.02,337.71,3394406.25,27.0,61934.99999999997
147c_US1Com_10,US LONG BOND(CBT),fi-us,US1 Comdty,1982-07-02,1982-07-08,-68.21875,-67.0,-18479000.0,272.0,336281.25
147c_C1Comd_4,CORN FUTURE      ,comm-soft,C 1 Comdty,1982-07-19,1982-07-29,971.8125,953.5625,17642934.375,363.0,-311150.0
147c_KC1Com_12,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1982-08-06,1982-08-16,336.11,337.57,4168518.7500000005,33.0,19263.749999999753
147c_FC1Com_10,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1982-08-11,1982-08-16,176.15,179.5,8550550.000000002,97.0,157087.4999999998
147c_TY1Com_2,US 10YR NOTE,fi-us,TY1 Comdty,1982-08-18,1982-08-24,-34.703125,-35.140625,-6786093.75,186.0,-87687.5
147c_FC1Com_11,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1982-08-18,1982-08-30,179.7,177.95,8086499.999999999,90.0,-84250.00000000003
147c_US1Com_11,US LONG BOND(CBT),fi-us,US1 Comdty,1982-08-18,1982-08-24,-59.59375,-59.75,-10796500.0,176.0,-30406.25
147c_GC1Com_7,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1982-08-20,1982-08-26,1427.6,1463.3,22296960.0,158.0,572210.0000000007
147c_RS1Com_1,CANOLA FUTR (WCE),comm-soft,RS1 Comdty,1982-08-26,1982-08-31,486.2,478.0,3345830.2416,426.0,-45189.29759999993
147c_US1Com_12,US LONG BOND(CBT),fi-us,US1 Comdty,1982-09-09,1982-09-14,-60.03125,-60.59375,-11586031.25,193.0,-136437.5
147c_GC1Com_8,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1982-09-09,1982-09-21,1520.6,1471.6,16278980.000000002,107.0,-448550.0
147c_TY1Com_3,US 10YR NOTE,fi-us,TY1 Comdty,1982-09-22,1982-09-28,-33.890625,-33.796875,-6818859.375,199.0,21937.5
147c_US1Com_13,US LONG BOND(CBT),fi-us,US1 Comdty,1982-09-22,1982-09-28,-57.6875,-57.5625,-9812562.5,169.0,27718.75
