Trade_ID,Descr,AssetClass,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
ced4_GC1Com_1,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-01-18,1980-01-29,2050.9,1905.3,10804860.0,54.0,-635860.0000000009
ced4_SB1Com_1,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-01-18,1980-01-22,41.11,41.96,2273600.0,50.0,51408.00000000009
ced4_SB1Com_2,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-01-24,1980-01-29,42.51,42.5,2574028.8000000003,54.0,-37833.59999999989
ced4_FC1Com_1,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-02-04,1980-02-06,201.1,203.75,5831900.0,58.0,74375.00000000016
ced4_FC1Com_2,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-02-08,1980-02-13,203.8,204.625,5700800.0,56.0,22624.999999999673
ced4_KC1Com_1,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-02-26,1980-02-29,362.59,365.55,3940773.75,29.0,34245.00000000042
ced4_KC1Com_2,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-03-04,1980-03-10,369.29,374.49,4292879.999999999,31.0,56189.99999999984
ced4_KC1Com_3,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-04-14,1980-04-22,371.04,370.54,4448040.0,32.0,-5658.74999999997
ced4_US1Com_1,US LONG BOND(CBT),fi-us,US1 Comdty,1980-04-18,1980-04-28,-48.40625,-47.03125,-5344500.0,112.0,167343.75
ced4_US1Com_2,US LONG BOND(CBT),fi-us,US1 Comdty,1980-05-06,1980-05-14,-43.53125,-43.65625,-5392781.25,123.0,-13968.75
ced4_W1Comd_1,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-05-08,1980-05-15,2349.0,2340.75,6809200.0,58.0,-26962.5
ced4_SB1Com_3,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-05-08,1980-05-12,52.02,54.75,1307320.0,23.0,71702.3999999999
