,fi-us,eq-us,Total,,,,,,
Total PnL,21550039.0625,44063245.0,65613284.0625,,,,Settings: ,Settings: ,28102024_1011
Average Ann. PnL,1457881.8372483223,2980922.8832214763,4438804.720469799,,,,byac,True,
Average Ann. Vol,1975790.5903091684,2567528.7878322983,3236141.111211016,,,,byassets,False,
Sharpe Ratio (ann.),0.7378726492569213,1.161008553184791,1.3716350949877854,,,,totalsys,True,
Sortino Ratio (ann.),0.40025972378873975,0.6294749654502275,1.0163672065513356,,,,filter_assets,[],
Max drawdown,3434296.875,7158075.0,3917961.5625,,,,filter_ac,[],
Average drawdown,1163403.4215287706,1328433.9959016393,1029062.9511924962,,,,start_date,01012000,
Max drawdown Duration,722.0,761.0,295.0,,,,end_date,,
Avg Drawdown Duration,68.2439024390244,35.78666666666667,24.785046728971963,,,,,,
Total Number of Drawdowns,41.0,75.0,107.0,,,,,,
Drawdowns per year,2.7736912751677854,5.073825503355705,7.238657718120805,,,,,,
HWM PnL,23010781.25,44184105.0,66167385.625,,,,,,
Exposure Time,3725.0,3725.0,3725.0,,,,,,
Daily PnL Skew,0.496242694014168,-0.6346193497996305,-0.32393910968852224,,,,,,
Weekly PnL Skew,-0.058425394910271974,-0.9835452992247792,-0.5261597953316254,,,,,,
Monthly PnL Skew,-0.21190708563830962,-0.7369459855772587,-0.35939319904335587,,,,,,
Quarterly PnL Skew,-0.10618336498563916,-0.6101378515974163,-0.18332399866726554,,,,,,
Yearly PnL Skew,0.28472499284446845,-0.7629830428953253,-0.1506280712933402,,,,,,
Daily Left Tail,18.511111394427854,9.906327262345059,8.620316810517117,,,,,,
Daily Right Tail,-20.34875734301611,-11.925993989691738,-8.537718208444467,,,,,,
Weekly Left Tail,7.105506167021998,4.688086198648861,3.390115689613662,,,,,,
Weekly Right Tail,-5.418054186828042,-4.322843130139294,1.2608192498756094,,,,,,
Monthly Left Tail,1.7674255199624727,1.8917686729217036,1.454109443017329,,,,,,
Monthly Right Tail,1.2025687715584725,0.9767181869469947,0.946026175794604,,,,,,
Quarterly Left Tail,1.1790584697770887,1.7078965940757092,1.3946915811131755,,,,,,
Quarterly Right Tail,1.027390181291841,0.8883265459576657,1.0161833418558694,,,,,,
Yearly Left Tail,0.8561337815648203,1.9630095682032473,1.2470939229331015,,,,,,
Yearly Right Tail,1.2231529020723084,0.710828988067939,1.1033331149872847,,,,,,
Num_Trades,,,712.0,,,,,,
Hit Rate (%),,,64.04494382022472,,,,,,
Average Win,,,311174.9067982456,,,,,,
Average Loss,,,-319811.43353174604,,,,,,
W/L ratio,,,0.9729949406807461,,,,,,
Total Wins,,,456.0,,,,,,
Total Losses,,,252.0,,,,,,
Total PnL Winners,,,141895757.5,,,,,,
Total PnL Losers,,,-80592481.25,,,,,,
Profit Factor,,,1.7606575117080168,,,,,,
PnL Skew,,,-0.8968228295152725,,,,,,
Trade EV,,,86100.10709269663,,,,,,
Best Trade,,,1126125.0,,,,,,
Worst Trade,,,-1733640.0,,,,,,
25p Trade,,,-117242.1875,,,,,,
50p Trade,,,127859.375,,,,,,
75p Trade,,,346510.0,,,,,,
Pareto Number (%),,,9.97191011235955,,,,,,
