Year,1,2,3,4,5,6,7,8,9,10,11,12,Annual_PnL,Sharpe_Ratio,Annual_Vol,Hit_Rate,Profit_Factor,Worst_Drawdown
1999,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2010,137579.375,345159.6875,414506.875,911584.375,-505764.0625,-467936.875,1332993.4375,-416555.0,1186670.3125,-459065.625,790608.75,1256100.625,4525881.875,1.5153772994638415,2974832.0866552335,0.6285714285714286,1.604400732417661,-1728760.9375
2011,1039119.0625,924154.375,471020.0,-284409.0625,864900.0,1342216.875,1056245.0,-1707248.75,381609.0625,767425.0,-45825.0,-235571.5625,4573635.0,1.3971674825344307,3273505.186152435,0.5975609756097561,1.547163841595001,-2387175.0
2012,160234.375,1200224.0625,1577470.0,1566225.625,-1314895.0,502412.8125,818904.6875,300309.375,-633663.125,-399190.625,-207413.75,-1717739.375,1852879.0625,0.5327384779404515,3464280.329396801,0.5222222222222223,1.164761139664854,-3892856.875
2013,709515.0,518255.0,-406700.0,1086077.1875,-41093.75,702868.4375,977831.875,830870.0,432891.5625,654758.125,834680.0,38286.25,6338239.6875,2.641617710808052,2399378.10136849,0.7205882352941176,2.3729902729440653,-839900.0
2014,1590540.0,45468.75,63238.4375,-65954.0625,-341586.875,969891.875,1902400.625,1384461.25,1217316.25,-547702.5,441132.8125,201074.0625,6860280.625,2.261343741111268,3033718.625028111,0.618421052631579,2.0217391334701524,-1602680.0
2015,-1649256.875,-868204.6875,467535.9375,404729.0625,842852.5,1080746.875,-497757.8125,288127.8125,661610.625,508771.25,120777.1875,846027.8125,2205959.6875,0.7127976842185911,3082558.38633616,0.5542168674698795,1.2296879883240672,-2327954.375
2016,-334695.0,1027974.375,843557.5,394570.3125,25522.8125,344997.5,203359.375,701108.75,677635.0,-75595.3125,164261.5625,-233559.375,3739137.5,1.1155046956811072,3351969.305442457,0.5303030303030303,1.4844074338228308,-1577276.5625
2017,1302108.75,794962.8125,344090.3125,601270.625,743362.8125,622045.0,216835.9375,2188921.875,1454683.4375,759023.4375,-33983.125,484770.0,9478091.875,3.137532659372751,3032909.687420926,0.6901408450704225,2.765225266636957,-1026676.5625
2018,-340958.75,371482.1875,330942.8125,810704.375,-67713.125,127978.75,541373.4375,1551155.3125,137929.6875,-1804489.375,-144660.3125,-21430.3125,1492314.6875,0.37068706853231126,4025807.248708816,0.5517241379310345,1.1204027376669128,-3133187.8125
2019,617581.25,115482.8125,1549696.875,211836.875,-1727294.0625,553403.75,31842.5,-1733640.0,-794023.75,210025.625,1467615.9375,132109.375,634637.1875,0.1890991001252999,3356108.9771420374,0.5571428571428572,1.068258728012208,-3917961.5625
2020,75189.6875,-656800.625,582195.0,90234.375,617531.5625,1485820.0,771963.4375,-2331367.1875,990685.625,-383745.0,-345146.25,21214.375,917775.0,0.25402213573600235,3598692.012337405,0.6351351351351351,1.0871707130529185,-2795815.625
2021,401691.5625,1739628.4375,614783.125,-63984.375,406460.0,1174436.25,1679660.3125,-1058901.875,509633.75,-181585.625,800326.25,994315.9375,7016463.75,2.1541449829424515,3244317.697759303,0.6375,1.9323697091229672,-1213308.125
2022,-334355.3125,464000.0,859402.1875,152423.125,225605.0,-1062627.8125,1707060.9375,-25416.25,675389.375,619920.3125,617021.25,80880.0,3979302.8125,1.2270628643097676,3255869.544070217,0.5638297872340425,1.4074038465968397,-1871071.875
2023,1141194.0625,-897420.0,494487.5,-243505.9375,781073.75,124015.625,107079.0625,157385.0,507022.5,769078.4375,1482460.9375,1611612.1875,6034483.125,2.172441962792355,2788808.628356131,0.5942028985507246,1.9921967767901432,-1312773.4375
2024,759021.25,1371117.5,716968.75,104207.8125,1378261.875,1244284.375,-112374.6875,866908.75,-83099.6875,-281093.75,,,5964202.1875,2.1973336075510255,3352947.341886676,0.6129032258064516,2.0125601201780174,-1136093.75
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Settings: ,byac,byassets,totalsys,filter_assets,filter_ac,start_date,end_date,,,,,,,,,,
,Settings: ,False,False,True,[],[],,,,,,,,,,,,
,28102024_1010,,,,,,,,,,,,,,,,,
