Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
39b2d95391_WN1Com_1,US ULTRA BOND CBT,WN1 Comdty,2010-01-28,2010-01-29,98.25833333333334,98.375,0.0,0.0,0.0
39b2d95391_WN1Com_2,US ULTRA BOND CBT,WN1 Comdty,2010-02-11,2010-02-12,96.93645833333333,96.84375,0.0,0.0,-27905.20833333362
39b2d95391_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,2010-02-26,2010-03-01,3468.5833333333335,3479.75,52913280.0,762.0,171296.66666666433
39b2d95391_WN1Com_3,US ULTRA BOND CBT,WN1 Comdty,2010-03-04,2010-03-05,98.33958333333334,98.90625,36028125.0,366.0,172266.66666666552
39b2d95391_WN1Com_4,US ULTRA BOND CBT,WN1 Comdty,2010-03-11,2010-03-12,96.46875,96.96875,39281625.0,407.0,171000.0
39b2d95391_WN1Com_5,US ULTRA BOND CBT,WN1 Comdty,2010-03-25,2010-03-26,95.975,95.625,44063700.0,458.0,-129149.9999999979
39b2d95391_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,2010-05-07,2010-05-11,3535.7,3601.0,39871090.0,562.0,712551.000000002
39b2d95391_WN1Com_6,US ULTRA BOND CBT,WN1 Comdty,2010-05-12,2010-05-13,102.3875,101.5,23543137.5,229.0,-166850.00000000052
39b2d95391_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,2010-05-19,2010-05-25,3543.525,3471.0,30097640.0,424.0,-620797.5000000008
39b2d95391_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,2010-06-09,2010-06-14,3446.85,3511.25,27069560.0,392.0,587882.0000000008
39b2d95391_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,2010-06-24,2010-06-30,3532.425,3427.0,35650440.0,504.0,-1171652.5000000019
39b2d95391_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,2010-07-01,2010-07-08,3395.4583333333335,3451.5,34544160.0,504.0,690474.166666665
39b2d95391_WN1Com_7,US ULTRA BOND CBT,WN1 Comdty,2010-07-12,2010-07-13,111.06979166666666,111.25,33499087.5,301.0,51179.16666666855
39b2d95391_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,2010-07-19,2010-07-21,3460.991666666667,3502.75,42550200.0,614.0,512792.33333333186
39b2d95391_WN1Com_8,US ULTRA BOND CBT,WN1 Comdty,2010-07-28,2010-07-29,110.34895833333333,110.84375,37128000.0,336.0,142500.00000000137
39b2d95391_NQ1Ind_8,NASDAQ 100 E-MINI,NQ1 Index,2010-08-13,2010-08-18,3486.0416666666665,3503.0,45582665.0,653.0,247938.3333333353
39b2d95391_NQ1Ind_9,NASDAQ 100 E-MINI,NQ1 Index,2010-08-23,2010-08-27,3485.4083333333333,3429.0,58327720.0,836.0,-949948.8333333328
39b2d95391_WN1Com_9,US ULTRA BOND CBT,WN1 Comdty,2010-09-13,2010-09-14,115.91770833333334,116.75,22441387.5,193.0,133166.66666666605
39b2d95391_NQ1Ind_10,NASDAQ 100 E-MINI,NQ1 Index,2010-09-22,2010-09-27,3647.858333333333,3684.25,55422180.0,759.0,648553.66666667
39b2d95391_WN1Com_10,US ULTRA BOND CBT,WN1 Comdty,2010-10-12,2010-10-13,119.33125,117.8125,39987675.0,335.0,-416137.49999999924
39b2d95391_WN1Com_11,US ULTRA BOND CBT,WN1 Comdty,2010-10-14,2010-10-15,117.59791666666666,115.96875,39726375.0,337.0,-470829.1666666656
39b2d95391_NQ1Ind_11,NASDAQ 100 E-MINI,NQ1 Index,2010-10-21,2010-10-26,3745.6,3774.75,66811635.0,891.0,519927.00000000163
39b2d95391_WN1Com_12,US ULTRA BOND CBT,WN1 Comdty,2010-11-10,2010-11-11,109.37604166666667,109.65625,31966650.0,292.0,67810.41666666689
39b2d95391_WN1Com_13,US ULTRA BOND CBT,WN1 Comdty,2011-01-07,2011-01-10,103.946875,104.90625,25497450.0,245.0,193793.74999999886
39b2d95391_WN1Com_14,US ULTRA BOND CBT,WN1 Comdty,2011-01-13,2011-01-14,104.48541666666667,105.0625,25612200.0,245.0,130420.83333333355
