Year,1,2,3,4,5,6,7,8,9,10,11,12,Annual_PnL,Sharpe_Ratio,Annual_Vol,Hit_Rate,Profit_Factor,Worst_Drawdown
1999,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2010,-297655.0,1007855.0,399585.0,457600.0,-133225.0,-701140.0,1023970.0,-416555.0,568975.0,429450.0,552640.0,586960.0,3478460.0,1.4436235732219,2400010.0930136982,0.6666666666666666,1.8232564028831464,-1589425.0
2011,588455.0,652045.0,569770.0,-178120.0,307400.0,1303545.0,-33130.0,-1782405.0,242820.0,290550.0,-45825.0,377280.0,2292385.0,0.8161338631249797,2808834.5595935076,0.5714285714285714,1.3821976173347195,-2561175.0
2012,0.0,1018935.0,1679345.0,937085.0,-1314895.0,362530.0,-77775.0,109450.0,613290.0,349950.0,-28820.0,-1102505.0,2546590.0,0.9250303968812483,2742098.46014725,0.576271186440678,1.4038056124855802,-1816365.0
2013,457015.0,518255.0,305800.0,470960.0,0.0,850095.0,227285.0,830870.0,582540.0,640305.0,177805.0,-101245.0,4959685.0,2.6483379706439134,1872753.8006767728,0.7441860465116279,3.166420963201265,-647830.0
2014,1590540.0,0.0,279215.0,752835.0,19585.0,1054970.0,887010.0,604930.0,655910.0,105735.0,0.0,69160.0,6019890.0,2.513808388919589,2394729.0599134695,0.6530612244897959,2.9913958219619907,-1041360.0
2015,-1776210.0,462225.0,233200.0,258440.0,505040.0,235200.0,-796000.0,351370.0,188095.0,399240.0,-81840.0,183645.0,162405.0,0.06005589052895367,2693542.3249775083,0.5087719298245614,1.021668734739623,-1386260.0
2016,-334695.0,-507260.0,512620.0,0.0,-326860.0,-1129690.0,0.0,298765.0,677635.0,260850.0,796410.0,184800.0,432575.0,0.1792044717789035,2413862.7552424953,0.5,1.0843886589601803,-1986885.0
2017,521015.0,643205.0,285770.0,-169120.0,539105.0,622045.0,0.0,1426500.0,51285.0,0.0,685470.0,596020.0,5201295.0,2.483410488348658,2102760.4237546045,0.6764705882352942,3.513079253414763,-834500.0
2018,888260.0,-136135.0,441060.0,694220.0,107365.0,381260.0,7350.0,580335.0,0.0,-2051755.0,367410.0,-869985.0,409385.0,0.129888343187361,3151822.480401274,0.5555555555555556,1.0580094683309693,-3701225.0
2019,548050.0,305600.0,395400.0,-101210.0,-1679130.0,-24565.0,351530.0,-1733640.0,-725430.0,194010.0,1334530.0,0.0,-1134855.0,-0.3759398347345574,3018714.419559437,0.5641025641025641,0.8395775331788274,-4059485.0
2020,-933990.0,-1104535.0,149070.0,0.0,378430.0,1850820.0,214190.0,0.0,679670.0,-1121245.0,278760.0,277230.0,668400.0,0.23109872345029012,2880838.5127666215,0.6511627906976745,1.1142342468597972,-3061135.0
2021,343840.0,578730.0,765330.0,0.0,406460.0,608655.0,681340.0,397895.0,682290.0,748805.0,237670.0,1215605.0,6666620.0,2.6653613334162642,2491320.647624594,0.7333333333333333,3.535873027948686,-664040.0
2022,-666660.0,-53500.0,558660.0,432970.0,225605.0,-736495.0,1052100.0,37865.0,-143595.0,1473475.0,509365.0,-291620.0,2398170.0,0.9313303448402163,2585252.886358466,0.5441176470588235,1.3851343538616698,-1219085.0
2023,466155.0,248830.0,317300.0,-354795.0,532480.0,83625.0,350790.0,964885.0,324210.0,288805.0,0.0,590245.0,3812530.0,2.1388225596531822,1789638.5772041227,0.5384615384615384,2.654557211425794,-925595.0
2024,550115.0,1398305.0,384000.0,-142550.0,1390215.0,1505300.0,644930.0,515815.0,-96420.0,0.0,,,6149710.0,2.7898679085080986,2722960.6695958893,0.6410256410256411,3.611935195469034,-882275.0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Settings: ,byac,byassets,totalsys,filter_assets,filter_ac,start_date,end_date,,,,,,,,,,
,Settings: ,False,False,True,['NQ1 Index'],[],,,,,,,,,,,,
,28102024_1010,,,,,,,,,,,,,,,,,
