Trade_ID,Descr,AssetClass,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
3c09_WN1Com_1,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-01-14,2010-01-15,95.0625,96.75,0.0,0.0,232875.0
3c09_NQ1Ind_1,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-01-25,2010-01-29,3453.25,3436.25,53571875.0,775.0,-297655.0
3c09_WN1Com_2,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-01-28,2010-01-29,98.0625,98.375,42916093.75,436.0,115312.5
3c09_NQ1Ind_2,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-02-01,2010-02-03,3398.5,3427.5,52024825.0,757.0,436740.0
3c09_WN1Com_3,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-02-04,2010-02-05,97.34375,98.5625,39201601.5625,404.0,358312.5
3c09_NQ1Ind_3,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-02-09,2010-02-12,3392.5,3431.75,48044880.0,708.0,571115.0
3c09_WN1Com_4,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-02-11,2010-02-12,98.03125,96.84375,35681953.125,368.0,-357437.5
3c09_WN1Com_5,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-02-16,2010-02-17,97.15625,96.4375,37526953.125,388.0,-230718.75
3c09_WN1Com_6,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-02-19,2010-02-22,96.4375,95.46875,37594218.75,396.0,-300312.5
3c09_NQ1Ind_4,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-02-26,2010-03-01,3471.5,3479.75,59648960.0,859.0,146355.0
3c09_WN1Com_7,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-03-04,2010-03-05,98.34375,98.90625,40482421.875,411.0,190125.0
3c09_WN1Com_8,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-03-10,2010-03-11,96.46875,96.40625,40233164.0625,416.0,-21625.0
3c09_NQ1Ind_5,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-03-16,2010-03-17,3578.25,3589.75,76717680.0,1072.0,253230.0
3c09_WN1Com_9,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-03-25,2010-03-26,96.09375,95.625,40252343.75,419.0,-156562.5
3c09_WN1Com_10,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-04-06,2010-04-07,94.375,94.15625,42092968.75,448.0,-80937.5
3c09_NQ1Ind_6,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-04-14,2010-04-15,3671.0,3687.25,112805000.0,1540.0,457600.0
3c09_WN1Com_11,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-04-27,2010-04-28,97.875,99.25,46053984.375,472.0,444125.0
3c09_NQ1Ind_7,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-05-07,2010-05-11,3545.25,3601.0,38239355.0,539.0,598160.0
3c09_WN1Com_12,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-05-12,2010-05-13,103.09375,101.5,23625312.5,230.0,-298031.25
3c09_NQ1Ind_8,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-05-19,2010-05-25,3547.5,3471.0,32724085.0,461.0,-731385.0
3c09_NQ1Ind_9,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-06-09,2010-06-14,3455.75,3511.25,29900815.0,433.0,491640.0
3c09_WN1Com_13,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-06-17,2010-06-18,108.375,109.3125,26660390.625,248.0,186562.5
3c09_NQ1Ind_10,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-06-24,2010-06-30,3533.0,3427.0,37560285.0,531.0,-1192780.0
3c09_NQ1Ind_11,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-07-01,2010-07-08,3399.25,3451.5,34681240.0,506.0,580445.0
3c09_WN1Com_14,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-07-12,2010-07-13,111.28125,111.25,34338789.0625,309.0,-7968.75
3c09_WN1Com_15,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-07-14,2010-07-15,110.0,111.78125,35321875.0,318.0,447093.75
3c09_NQ1Ind_12,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-07-19,2010-07-21,3463.5,3502.75,37907100.0,547.0,443525.0
3c09_WN1Com_16,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-07-27,2010-07-28,111.28125,110.5625,37747265.625,338.0,-191906.25
3c09_NQ1Ind_13,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-08-02,2010-08-03,3531.75,3556.75,44700170.0,634.0,312000.0
3c09_NQ1Ind_14,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-08-13,2010-08-18,3493.0,3503.0,43837540.0,628.0,137230.0
3c09_NQ1Ind_15,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-08-23,2010-08-27,3487.75,3429.0,50583250.0,725.0,-865785.0
3c09_WN1Com_17,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-09-07,2010-09-08,118.40625,120.9375,26001250.0,220.0,432843.75
3c09_WN1Com_18,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-09-13,2010-09-14,116.4375,116.75,24973593.75,215.0,55312.5
3c09_WN1Com_19,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-09-20,2010-09-21,116.375,116.40625,27164531.25,235.0,6000.0
3c09_NQ1Ind_16,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-09-22,2010-09-27,3651.0,3684.25,59219220.0,811.0,568975.0
3c09_WN1Com_20,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-10-12,2010-10-13,119.65625,117.8125,36279140.625,304.0,-453562.5
3c09_WN1Com_21,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-10-14,2010-10-15,117.84375,115.96875,37110937.5,315.0,-466875.0
3c09_WN1Com_22,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-10-18,2010-10-19,114.59375,115.03125,34935585.9375,301.0,102375.0
3c09_NQ1Ind_17,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-10-21,2010-10-26,3750.5,3774.75,64787040.0,864.0,429450.0
3c09_WN1Com_23,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-10-25,2010-10-26,115.71875,116.125,37362773.4375,324.0,107250.0
3c09_WN1Com_24,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-10-29,2010-11-01,113.09375,113.875,37692890.625,334.0,204687.5
