Year,1,2,3,4,5,6,7,8,9,10,11,12,Annual_PnL,Sharpe_Ratio,Annual_Vol,Hit_Rate,Profit_Factor,Worst_Drawdown
2010,435234.375,-662695.3125,14921.875,453984.375,-372539.0625,233203.125,309023.4375,0.0,617695.3125,-888515.625,237968.75,669140.625,1047421.875,0.6053774683861698,1772396.2420675263,0.5517241379310345,1.321002729492889,-1196835.9375
2011,450664.0625,272109.375,-98750.0,-106289.0625,557500.0,38671.875,1089375.0,75156.25,138789.0625,476875.0,0.0,-612851.5625,2281250.0,1.3475223285554945,1692921.85491682,0.6296296296296297,1.9662635053525042,-612851.5625
2012,160234.375,181289.0625,-101875.0,629140.625,0.0,139882.8125,896679.6875,190859.375,-1246953.125,-749140.625,-178593.75,-615234.375,-693710.9375,-0.32688407556189086,2113804.399458266,0.41935483870967744,0.8595549158547388,-2789921.875
2013,252500.0,0.0,-712500.0,615117.1875,-41093.75,-147226.5625,750546.875,0.0,-149648.4375,14453.125,656875.0,139531.25,1378554.6875,0.908145860572371,1517988.1859849559,0.68,1.5924091855234002,-761914.0625
2014,0.0,45468.75,-215976.5625,-818789.0625,-361171.875,-85078.125,1015390.625,779531.25,561406.25,-653437.5,441132.8125,131914.0625,840390.625,0.44862915560549144,1873241.2160457305,0.5555555555555556,1.2276637848019556,-2068398.4375
2015,126953.125,-1330429.6875,234335.9375,146289.0625,337812.5,845546.875,298242.1875,-63242.1875,473515.625,109531.25,202617.1875,662382.8125,2043554.6875,1.357099675835257,1499873.1725378092,0.6538461538461539,1.9688501213030354,-1472187.5
2016,0.0,1535234.375,330937.5,394570.3125,352382.8125,1474687.5,203359.375,402343.75,0.0,-336445.3125,-632148.4375,-418359.375,3306562.5,1.423047749977863,2323578.038791346,0.6190476190476191,2.2751841641433543,-1386953.125
2017,781093.75,151757.8125,58320.3125,770390.625,204257.8125,0.0,216835.9375,762421.875,1403398.4375,759023.4375,-719453.125,-111250.0,4276796.875,1.9288434390848779,2226119.455507324,0.7027027027027027,2.2961371358217613,-1010078.125
2018,-1229218.75,507617.1875,-110117.1875,116484.375,-175078.125,-253281.25,534023.4375,970820.3125,137929.6875,247265.625,-512070.3125,848554.6875,1082929.6875,0.43225055153552017,2505328.642503792,0.5454545454545454,1.202904172552349,-1356601.5625
2019,69531.25,-190117.1875,1154296.875,313046.875,-48164.0625,577968.75,-319687.5,0.0,-68593.75,16015.625,133085.9375,132109.375,1769492.1875,1.2110637995106448,1461105.6727275637,0.5483870967741935,1.7958642257282407,-676835.9375
2020,1009179.6875,447734.375,433125.0,90234.375,239101.5625,-365000.0,557773.4375,-2331367.1875,311015.625,737500.0,-623906.25,-256015.625,249375.0,0.11515472070324996,2157005.1713583893,0.6129032258064516,1.053315516953399,-2331367.1875
2021,57851.5625,1160898.4375,-150546.875,-63984.375,0.0,565781.25,998320.3125,-1456796.875,-172656.25,-930390.625,562656.25,-221289.0625,349843.75,0.16731759704830082,2082631.9199340036,0.5142857142857142,1.0714479457518946,-2559843.75
2022,332304.6875,517500.0,300742.1875,-280546.875,0.0,-326132.8125,654960.9375,-63281.25,818984.375,-853554.6875,107656.25,372500.0,1581132.8125,0.8079825469423331,1964686.1834103952,0.6071428571428571,1.4465688437775817,-878398.4375
2023,675039.0625,-1146250.0,177187.5,111289.0625,248593.75,40390.625,-243710.9375,-807500.0,182812.5,480273.4375,1482460.9375,1021367.1875,2221953.125,1.0353213594459032,2154698.6426343583,0.6451612903225806,1.5878304363102742,-1786523.4375
2024,208906.25,-27187.5,332968.75,246757.8125,-11953.125,-261015.625,-757304.6875,351093.75,13320.3125,-281093.75,,,-185507.8125,-0.11716274953180125,1955883.6786825662,0.56,0.9478939226034386,-2042734.375
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Settings: ,byac,byassets,totalsys,filter_assets,filter_ac,start_date,end_date,,,,,,,,,,
,Settings: ,False,False,True,['WN1 Comdty'],[],,,,,,,,,,,,
,28102024_1010,,,,,,,,,,,,,,,,,
