Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
3c7e65a962_US1Com_1,US LONG BOND(CBT),US1 Comdty,1999-06-24,1999-06-25,29.64375,29.84375,18915000.0,624.0,103999.99999999964
3c7e65a962_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,1999-07-20,1999-07-26,4738.4,4617.5,0.0,0.0,-535340.0
3c7e65a962_US1Com_2,US LONG BOND(CBT),US1 Comdty,1999-07-30,1999-08-02,31.10625,31.21875,0.0,0.0,0.0
3c7e65a962_US1Com_3,US LONG BOND(CBT),US1 Comdty,1999-09-02,1999-09-03,29.9875,29.84375,19107675.0,625.0,-72737.50000000036
3c7e65a962_US1Com_4,US LONG BOND(CBT),US1 Comdty,1999-10-13,1999-10-14,28.4625,28.375,17798400.0,614.0,-44974.99999999927
3c7e65a962_US1Com_5,US LONG BOND(CBT),US1 Comdty,1999-11-22,1999-11-23,30.19375,30.28125,24230250.0,792.0,56962.499999999076
3c7e65a962_US1Com_6,US LONG BOND(CBT),US1 Comdty,1999-12-16,1999-12-17,28.14375,27.84375,0.0,0.0,0.0
3c7e65a962_US1Com_7,US LONG BOND(CBT),US1 Comdty,1999-12-20,1999-12-21,27.3,27.25,0.0,0.0,0.0
3c7e65a962_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,2000-02-22,2000-02-24,6133.2,6425.0,17365600.0,140.0,904140.0000000006
3c7e65a962_US1Com_8,US LONG BOND(CBT),US1 Comdty,2000-02-25,2000-02-28,31.06875,31.0,0.0,0.0,0.0
3c7e65a962_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,2000-03-30,2000-04-05,6541.8,6250.5,14881440.0,112.0,-621444.0000000005
3c7e65a962_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,2000-04-24,2000-04-26,5600.7,5825.0,9821200.0,86.0,389782.0000000003
3c7e65a962_US1Com_9,US LONG BOND(CBT),US1 Comdty,2000-05-02,2000-05-03,32.3125,32.25,0.0,0.0,0.0
3c7e65a962_US1Com_10,US LONG BOND(CBT),US1 Comdty,2000-05-18,2000-05-19,29.86875,29.59375,0.0,0.0,0.0
3c7e65a962_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,2000-07-24,2000-07-28,5970.6,5825.0,20237060.0,167.0,-505408.0000000012
3c7e65a962_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,2000-08-11,2000-08-15,5686.6,5863.5,18056570.0,157.0,566169.9999999988
3c7e65a962_US1Com_11,US LONG BOND(CBT),US1 Comdty,2000-08-29,2000-08-30,36.1625,36.21875,44019000.0,1206.0,55124.99999999861
3c7e65a962_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,2000-09-05,2000-09-11,6192.2,5921.0,44082640.0,353.0,-1549833.9999999988
3c7e65a962_US1Com_12,US LONG BOND(CBT),US1 Comdty,2000-09-18,2000-09-19,34.30625,34.5,0.0,0.0,0.0
