Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
523d44291c_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,2010-01-25,2010-01-29,3456.25,3436.25,57581125.0,833.0,-358925.0
523d44291c_WN1Com_1,US ULTRA BOND CBT,WN1 Comdty,2010-01-28,2010-01-29,98.375,98.375,0.0,0.0,0.0
523d44291c_WN1Com_2,US ULTRA BOND CBT,WN1 Comdty,2010-02-11,2010-02-12,97.09375,96.84375,0.0,0.0,-75250.0
523d44291c_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,2010-02-26,2010-03-01,3472.0,3479.75,52913280.0,762.0,118885.0
523d44291c_WN1Com_3,US ULTRA BOND CBT,WN1 Comdty,2010-03-04,2010-03-05,98.4375,98.90625,36028125.0,366.0,142500.0
523d44291c_WN1Com_4,US ULTRA BOND CBT,WN1 Comdty,2010-03-11,2010-03-12,96.5625,96.96875,39281625.0,407.0,138937.5
523d44291c_WN1Com_5,US ULTRA BOND CBT,WN1 Comdty,2010-03-25,2010-03-26,96.125,95.625,44063700.0,458.0,-184500.0
523d44291c_WN1Com_6,US ULTRA BOND CBT,WN1 Comdty,2010-04-06,2010-04-07,94.0625,94.15625,44472750.0,473.0,37406.25
523d44291c_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,2010-05-07,2010-05-11,3547.25,3601.0,39871090.0,562.0,586425.0
523d44291c_WN1Com_7,US ULTRA BOND CBT,WN1 Comdty,2010-05-12,2010-05-13,102.71875,101.5,23543137.5,229.0,-229125.0
523d44291c_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,2010-05-19,2010-05-25,3549.25,3471.0,30097640.0,424.0,-669460.0
523d44291c_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,2010-06-09,2010-06-14,3452.75,3511.25,27069560.0,392.0,533130.0
523d44291c_WN1Com_8,US ULTRA BOND CBT,WN1 Comdty,2010-06-17,2010-06-18,107.71875,109.3125,26111025.0,242.0,323531.25
523d44291c_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,2010-06-25,2010-07-01,3512.5,3399.25,34773750.0,495.0,-1256590.0
523d44291c_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,2010-07-02,2010-07-08,3391.0,3451.5,37051825.0,545.0,737450.0
523d44291c_WN1Com_9,US ULTRA BOND CBT,WN1 Comdty,2010-07-12,2010-07-13,111.21875,111.25,33499087.5,301.0,8875.0
523d44291c_NQ1Ind_8,NASDAQ 100 E-MINI,NQ1 Index,2010-07-19,2010-07-21,3465.0,3502.75,42550200.0,614.0,463570.0
523d44291c_WN1Com_10,US ULTRA BOND CBT,WN1 Comdty,2010-07-28,2010-07-29,110.5,110.84375,37128000.0,336.0,99000.0
523d44291c_NQ1Ind_9,NASDAQ 100 E-MINI,NQ1 Index,2010-08-13,2010-08-18,3490.25,3503.0,45582665.0,653.0,193230.0
523d44291c_NQ1Ind_10,NASDAQ 100 E-MINI,NQ1 Index,2010-08-23,2010-08-27,3488.5,3429.0,58327720.0,836.0,-1002940.0
