Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
5ad0cf7f56_WN1Com_1,US ULTRA BOND CBT,WN1 Comdty,2010-02-04,2010-02-05,98.39583333333333,98.5625,0.0,0.0,0.0
5ad0cf7f56_WN1Com_2,US ULTRA BOND CBT,WN1 Comdty,2010-02-19,2010-02-22,96.09375,95.46875,37342800.0,394.0,-205625.0
5ad0cf7f56_WN1Com_3,US ULTRA BOND CBT,WN1 Comdty,2010-04-07,2010-04-08,95.35416666666667,95.8125,45007200.0,479.0,158583.33333333168
5ad0cf7f56_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,2010-04-14,2010-04-15,3679.6666666666665,3687.25,132729000.0,1812.0,245245.0000000049
5ad0cf7f56_WN1Com_4,US ULTRA BOND CBT,WN1 Comdty,2010-04-27,2010-04-28,98.47916666666667,99.25,44679675.0,458.0,257458.33333333174
5ad0cf7f56_WN1Com_5,US ULTRA BOND CBT,WN1 Comdty,2010-07-14,2010-07-15,111.38541666666667,111.78125,39600000.0,360.0,119541.66666666523
5ad0cf7f56_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,2010-08-17,2010-08-18,3513.9166666666665,3503.0,50085540.0,719.0,-154361.66666666453
5ad0cf7f56_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,2010-09-24,2010-09-27,3675.4166666666665,3684.25,64843660.0,889.0,149460.00000000256
5ad0cf7f56_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,2010-11-24,2010-11-26,3819.0,3822.0,62141490.0,821.0,45180.0
5ad0cf7f56_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,2010-12-01,2010-12-02,3818.9166666666665,3824.5,54089750.0,715.0,73923.33333333534
5ad0cf7f56_WN1Com_6,US ULTRA BOND CBT,WN1 Comdty,2010-12-17,2010-12-20,105.625,106.125,24487650.0,238.0,88500.0
5ad0cf7f56_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,2011-01-03,2011-01-04,3898.0,3917.0,122866030.0,1582.0,555180.0
5ad0cf7f56_WN1Com_7,US ULTRA BOND CBT,WN1 Comdty,2011-04-26,2011-04-27,107.85416666666667,108.21875,60202012.5,563.0,163333.33333333122
5ad0cf7f56_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,2011-06-27,2011-06-29,3923.3333333333335,3956.0,47422765.0,611.0,376799.99999999825
5ad0cf7f56_WN1Com_8,US ULTRA BOND CBT,WN1 Comdty,2011-07-19,2011-07-20,113.8125,114.25,44964750.0,401.0,133875.0
5ad0cf7f56_WN1Com_9,US ULTRA BOND CBT,WN1 Comdty,2011-09-19,2011-09-20,136.85416666666666,137.875,24999562.5,186.0,155166.6666666681
5ad0cf7f56_WN1Com_10,US ULTRA BOND CBT,WN1 Comdty,2011-10-25,2011-10-26,137.86458333333334,139.21875,24255337.5,179.0,199062.4999999986
5ad0cf7f56_NQ1Ind_8,NASDAQ 100 E-MINI,NQ1 Index,2011-12-20,2011-12-21,3937.0833333333335,3952.0,35678200.0,458.0,129476.66666666535
5ad0cf7f56_WN1Com_11,US ULTRA BOND CBT,WN1 Comdty,2012-01-25,2012-01-26,142.86458333333334,141.1875,34785675.0,247.0,-345479.1666666686
5ad0cf7f56_NQ1Ind_9,NASDAQ 100 E-MINI,NQ1 Index,2012-03-26,2012-03-27,4443.5,4464.0,80831100.0,915.0,332510.0
5ad0cf7f56_WN1Com_12,US ULTRA BOND CBT,WN1 Comdty,2012-04-27,2012-04-30,144.69791666666666,143.40625,44738662.5,313.0,-338416.6666666642
5ad0cf7f56_NQ1Ind_10,NASDAQ 100 E-MINI,NQ1 Index,2012-05-21,2012-05-22,4209.583333333333,4233.0,46054020.0,554.0,216838.33333333614
5ad0cf7f56_WN1Com_13,US ULTRA BOND CBT,WN1 Comdty,2012-07-20,2012-07-23,160.07291666666666,160.71875,44550675.0,281.0,144666.66666666878
5ad0cf7f56_NQ1Ind_11,NASDAQ 100 E-MINI,NQ1 Index,2012-11-01,2012-11-02,4375.75,4387.0,55831690.0,643.0,132975.0
5ad0cf7f56_WN1Com_14,US ULTRA BOND CBT,WN1 Comdty,2012-11-26,2012-11-27,155.95833333333334,155.65625,51438900.0,332.0,-87000.00000000274
5ad0cf7f56_NQ1Ind_12,NASDAQ 100 E-MINI,NQ1 Index,2012-12-31,2013-01-02,4335.75,4393.0,60098500.0,700.0,664100.0
5ad0cf7f56_WN1Com_15,US ULTRA BOND CBT,WN1 Comdty,2013-04-12,2013-04-15,152.8125,153.625,47783812.5,316.0,202312.5
5ad0cf7f56_NQ1Ind_13,NASDAQ 100 E-MINI,NQ1 Index,2013-04-16,2013-04-22,4537.5,4485.5,59353800.0,660.0,-647060.0
5ad0cf7f56_WN1Com_16,US ULTRA BOND CBT,WN1 Comdty,2013-05-16,2013-05-17,149.79166666666666,149.9375,49707000.0,336.0,37770.83333333579
5ad0cf7f56_NQ1Ind_14,NASDAQ 100 E-MINI,NQ1 Index,2013-07-01,2013-07-08,4660.0,4680.0,49154140.0,532.0,214435.0
5ad0cf7f56_NQ1Ind_15,NASDAQ 100 E-MINI,NQ1 Index,2013-09-16,2013-09-19,4920.0,4950.25,60432065.0,617.0,414615.0
5ad0cf7f56_NQ1Ind_16,NASDAQ 100 E-MINI,NQ1 Index,2013-09-26,2013-09-27,4956.333333333333,4955.5,68073865.0,691.0,-14899.99999999458
5ad0cf7f56_NQ1Ind_17,NASDAQ 100 E-MINI,NQ1 Index,2013-10-10,2013-10-11,4910.333333333333,4919.25,64323230.0,662.0,102185.00000000348
