Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
5e587345f6_WN1Com_1,US ULTRA BOND CBT,WN1 Comdty,2010-01-28,2010-01-29,97.675,98.375,0.0,0.0,0.0
5e587345f6_WN1Com_2,US ULTRA BOND CBT,WN1 Comdty,2010-02-11,2010-02-12,96.15,96.84375,0.0,0.0,208818.74999999828
5e587345f6_WN1Com_3,US ULTRA BOND CBT,WN1 Comdty,2010-03-25,2010-03-26,95.225,95.625,44063700.0,458.0,147600.0000000021
5e587345f6_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,2010-06-24,2010-06-30,3510.8,3427.0,35650440.0,504.0,-957565.0000000019
5e587345f6_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,2010-07-01,2010-07-08,3367.75,3451.5,34544160.0,504.0,992495.0
5e587345f6_WN1Com_4,US ULTRA BOND CBT,WN1 Comdty,2010-07-13,2010-07-14,110.45,110.0,37914000.0,341.0,-135000.00000000084
5e587345f6_WN1Com_5,US ULTRA BOND CBT,WN1 Comdty,2010-07-27,2010-07-28,110.9125,110.5625,39055837.5,349.0,-97999.99999999841
5e587345f6_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,2010-08-24,2010-08-30,3452.6,3453.75,59518650.0,857.0,13791.000000001513
5e587345f6_WN1Com_6,US ULTRA BOND CBT,WN1 Comdty,2010-10-12,2010-10-13,118.8,117.8125,39987675.0,335.0,-270574.99999999924
5e587345f6_WN1Com_7,US ULTRA BOND CBT,WN1 Comdty,2010-10-14,2010-10-15,116.8375,115.96875,39726375.0,337.0,-251068.75000000163
5e587345f6_WN1Com_8,US ULTRA BOND CBT,WN1 Comdty,2010-11-10,2010-11-11,108.13125,109.65625,31966650.0,292.0,369050.0000000014
5e587345f6_WN1Com_9,US ULTRA BOND CBT,WN1 Comdty,2011-02-04,2011-02-07,101.30625,101.09375,35081475.0,343.0,-64600.00000000173
5e587345f6_WN1Com_10,US ULTRA BOND CBT,WN1 Comdty,2011-03-24,2011-03-25,106.2625,106.03125,47338087.5,443.0,-84175.00000000103
5e587345f6_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,2011-04-04,2011-04-08,3995.65,3998.5,52665120.0,657.0,41184.9999999988
