Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
6aedfd1700_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,2010-01-25,2010-01-29,3463.8125,3436.25,57581125.0,833.0,-487487.5
6aedfd1700_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,2010-02-01,2010-02-03,3405.35,3427.5,53193150.0,774.0,334465.0000000014
6aedfd1700_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,2010-02-09,2010-02-12,3399.0375,3431.75,46619820.0,687.0,446375.0000000012
6aedfd1700_WN1Com_1,US ULTRA BOND CBT,WN1 Comdty,2010-02-11,2010-02-12,97.3296875,96.84375,0.0,0.0,-146267.18750000172
6aedfd1700_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,2010-02-26,2010-03-01,3477.125,3479.75,52913280.0,762.0,40267.5
6aedfd1700_WN1Com_2,US ULTRA BOND CBT,WN1 Comdty,2010-03-04,2010-03-05,98.584375,98.90625,33025781.250000004,336.0,97850.00000000173
6aedfd1700_WN1Com_3,US ULTRA BOND CBT,WN1 Comdty,2010-03-11,2010-03-12,96.703125,96.96875,36008156.25,373.0,90843.75
6aedfd1700_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,2010-03-16,2010-03-17,3580.95,3589.75,108921930.0,1522.0,266640.00000000553
6aedfd1700_WN1Com_4,US ULTRA BOND CBT,WN1 Comdty,2010-03-26,2010-03-29,95.303125,95.15625,38573184.375,406.0,-55665.624999997846
6aedfd1700_WN1Com_5,US ULTRA BOND CBT,WN1 Comdty,2010-04-06,2010-04-07,94.28125,94.15625,40766687.5,433.0,-49875.0
6aedfd1700_WN1Com_6,US ULTRA BOND CBT,WN1 Comdty,2010-05-13,2010-05-14,102.1125,101.5,21041900.0,207.0,-116987.49999999946
6aedfd1700_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,2010-05-21,2010-05-27,3470.775,3449.5,27763235.0,401.0,-171369.50000000073
6aedfd1700_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,2010-06-09,2010-06-14,3461.6,3511.25,27069560.0,392.0,451002.0000000008
6aedfd1700_WN1Com_7,US ULTRA BOND CBT,WN1 Comdty,2010-06-17,2010-06-18,107.990625,109.3125,23935106.250000004,222.0,268340.62500000116
6aedfd1700_NQ1Ind_8,NASDAQ 100 E-MINI,NQ1 Index,2010-06-28,2010-07-02,3507.225,3391.75,35162590.0,502.0,-1291938.499999999
6aedfd1700_WN1Com_8,US ULTRA BOND CBT,WN1 Comdty,2010-07-12,2010-07-13,111.4421875,111.25,30707496.875000004,276.0,-54581.25000000081
6aedfd1700_WN1Com_9,US ULTRA BOND CBT,WN1 Comdty,2010-07-14,2010-07-15,110.2078125,111.78125,36712500.0,330.0,475178.1249999992
6aedfd1700_NQ1Ind_9,NASDAQ 100 E-MINI,NQ1 Index,2010-07-19,2010-07-21,3471.0125,3502.75,42550200.0,614.0,389736.5000000022
6aedfd1700_WN1Com_10,US ULTRA BOND CBT,WN1 Comdty,2010-07-28,2010-07-29,110.7265625,110.84375,34034000.0,308.0,33750.0
6aedfd1700_NQ1Ind_10,NASDAQ 100 E-MINI,NQ1 Index,2010-08-13,2010-08-18,3496.5625,3503.0,45582665.0,653.0,111167.5
6aedfd1700_NQ1Ind_11,NASDAQ 100 E-MINI,NQ1 Index,2010-08-23,2010-08-27,3493.1375,3429.0,58327720.0,836.0,-1082426.7499999967
6aedfd1700_WN1Com_11,US ULTRA BOND CBT,WN1 Comdty,2010-09-07,2010-09-08,118.7140625,120.9375,22231068.75,188.0,371314.06250000047
6aedfd1700_WN1Com_12,US ULTRA BOND CBT,WN1 Comdty,2010-09-13,2010-09-14,116.5140625,116.75,20571271.875,177.0,37750.00000000091
6aedfd1700_WN1Com_13,US ULTRA BOND CBT,WN1 Comdty,2010-09-20,2010-09-21,115.921875,116.40625,21743184.375,188.0,84765.625
6aedfd1700_NQ1Ind_12,NASDAQ 100 E-MINI,NQ1 Index,2010-09-22,2010-09-27,3655.7125,3684.25,55422180.0,759.0,526656.9999999986
6aedfd1700_WN1Com_14,US ULTRA BOND CBT,WN1 Comdty,2010-10-12,2010-10-13,119.596875,117.8125,36655368.75,307.0,-488918.74999999924
6aedfd1700_WN1Com_15,US ULTRA BOND CBT,WN1 Comdty,2010-10-14,2010-10-15,117.978125,115.96875,36415843.75,309.0,-580709.3750000016
6aedfd1700_NQ1Ind_13,NASDAQ 100 E-MINI,NQ1 Index,2010-10-21,2010-10-26,3754.725,3774.75,66811635.0,891.0,356772.00000000163
6aedfd1700_WN1Com_16,US ULTRA BOND CBT,WN1 Comdty,2010-10-29,2010-11-01,113.1859375,113.875,39629768.75,351.0,208096.87500000172
6aedfd1700_WN1Com_17,US ULTRA BOND CBT,WN1 Comdty,2010-11-08,2010-11-09,112.7734375,112.65625,31618400.000000004,282.0,-30117.1875
6aedfd1700_WN1Com_18,US ULTRA BOND CBT,WN1 Comdty,2010-11-10,2010-11-11,109.9984375,109.65625,30113015.625000004,267.0,-82809.37499999862
6aedfd1700_NQ1Ind_14,NASDAQ 100 E-MINI,NQ1 Index,2010-11-24,2010-11-26,3789.675,3822.0,62141490.0,821.0,486814.49999999726
6aedfd1700_NQ1Ind_15,NASDAQ 100 E-MINI,NQ1 Index,2010-12-01,2010-12-02,3787.9625,3824.5,54089750.0,715.0,483756.4999999988
6aedfd1700_WN1Com_19,US ULTRA BOND CBT,WN1 Comdty,2011-01-06,2011-01-07,104.1578125,104.65625,20897456.25,201.0,101681.24999999884
6aedfd1700_WN1Com_20,US ULTRA BOND CBT,WN1 Comdty,2011-01-13,2011-01-14,104.834375,105.0625,23477850.000000004,224.0,51556.25000000129
6aedfd1700_WN1Com_21,US ULTRA BOND CBT,WN1 Comdty,2011-02-03,2011-02-04,102.9671875,102.21875,32202328.125000004,314.0,-214053.12499999837
6aedfd1700_WN1Com_22,US ULTRA BOND CBT,WN1 Comdty,2011-02-07,2011-02-08,101.1,101.34375,34181950.0,334.0,73856.25000000172
6aedfd1700_WN1Com_23,US ULTRA BOND CBT,WN1 Comdty,2011-02-09,2011-02-10,100.584375,101.3125,34335262.5,339.0,213340.62500000166
6aedfd1700_NQ1Ind_16,NASDAQ 100 E-MINI,NQ1 Index,2011-02-16,2011-02-17,4051.725,4059.25,61379050.0,758.0,114079.00000000138
6aedfd1700_NQ1Ind_17,NASDAQ 100 E-MINI,NQ1 Index,2011-02-25,2011-02-28,3984.0,4012.5,51045420.0,642.0,350550.0
6aedfd1700_NQ1Ind_18,NASDAQ 100 E-MINI,NQ1 Index,2011-03-17,2011-03-22,3887.3125,3925.75,42347760.0,546.0,414720.0
6aedfd1700_WN1Com_24,US ULTRA BOND CBT,WN1 Comdty,2011-03-23,2011-03-24,107.19375,106.9375,40018000.0,374.0,-94556.2499999979
6aedfd1700_WN1Com_25,US ULTRA BOND CBT,WN1 Comdty,2011-03-25,2011-03-28,106.578125,105.75,42817775.0,400.0,-309718.75
