Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
78d68c8f23_WN1Com_1,US ULTRA BOND CBT,WN1 Comdty,2010-01-28,2010-01-29,98.08333333333333,98.375,0.0,0.0,0.0
78d68c8f23_WN1Com_2,US ULTRA BOND CBT,WN1 Comdty,2010-02-11,2010-02-12,96.70052083333333,96.84375,0.0,0.0,43111.97916666809
78d68c8f23_WN1Com_3,US ULTRA BOND CBT,WN1 Comdty,2010-03-04,2010-03-05,98.19270833333333,98.90625,36028125.0,366.0,216916.6666666681
78d68c8f23_WN1Com_4,US ULTRA BOND CBT,WN1 Comdty,2010-03-10,2010-03-11,96.328125,96.40625,39087787.5,404.0,26484.375
78d68c8f23_WN1Com_5,US ULTRA BOND CBT,WN1 Comdty,2010-03-25,2010-03-26,95.75,95.625,44063700.0,458.0,-46125.0
78d68c8f23_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,2010-05-07,2010-05-11,3518.375,3601.0,39871090.0,562.0,901740.0
78d68c8f23_WN1Com_6,US ULTRA BOND CBT,WN1 Comdty,2010-05-12,2010-05-13,101.890625,101.5,23543137.5,229.0,-73437.5
78d68c8f23_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,2010-05-19,2010-05-25,3534.9375,3471.0,30097640.0,424.0,-547803.75
78d68c8f23_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,2010-06-24,2010-06-30,3525.9375,3427.0,35650440.0,504.0,-1107426.25
78d68c8f23_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,2010-07-01,2010-07-08,3387.1458333333335,3451.5,34544160.0,504.0,781080.416666665
78d68c8f23_WN1Com_7,US ULTRA BOND CBT,WN1 Comdty,2010-07-13,2010-07-14,110.91666666666667,110.0,37914000.0,341.0,-275000.0000000014
78d68c8f23_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,2010-07-19,2010-07-21,3454.9791666666665,3502.75,42550200.0,614.0,586625.8333333352
78d68c8f23_WN1Com_8,US ULTRA BOND CBT,WN1 Comdty,2010-07-28,2010-07-29,110.12239583333333,110.84375,37128000.0,336.0,207750.00000000137
