Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
7ae6d3e62e_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,2010-02-01,2010-02-03,3407.883333333333,3427.5,52597170.0,774.0,296211.6666666685
7ae6d3e62e_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,2010-02-09,2010-02-12,3401.05,3431.75,46619820.0,687.0,419004.99999999756
7ae6d3e62e_WN1Com_1,US ULTRA BOND CBT,WN1 Comdty,2010-02-11,2010-02-12,97.40833333333333,96.84375,0.0,0.0,-169939.58333333276
7ae6d3e62e_WN1Com_2,US ULTRA BOND CBT,WN1 Comdty,2010-03-04,2010-03-05,98.63333333333334,98.90625,36028125.0,366.0,82966.66666666465
7ae6d3e62e_WN1Com_3,US ULTRA BOND CBT,WN1 Comdty,2010-03-11,2010-03-12,96.75,96.96875,39281625.0,407.0,74812.5
7ae6d3e62e_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,2010-03-16,2010-03-17,3581.85,3589.75,108921930.0,1522.0,239370.00000000276
7ae6d3e62e_WN1Com_4,US ULTRA BOND CBT,WN1 Comdty,2010-03-26,2010-03-29,95.39375,95.15625,42079837.5,443.0,-90012.49999999892
7ae6d3e62e_WN1Com_5,US ULTRA BOND CBT,WN1 Comdty,2010-04-06,2010-04-07,94.35416666666667,94.15625,44472750.0,473.0,-78968.75000000189
7ae6d3e62e_WN1Com_6,US ULTRA BOND CBT,WN1 Comdty,2010-05-13,2010-05-14,102.23333333333333,101.5,22954800.0,226.0,-140066.66666666686
7ae6d3e62e_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,2010-05-21,2010-05-27,3473.7833333333333,3449.5,27763235.0,401.0,-195375.99999999977
7ae6d3e62e_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,2010-06-09,2010-06-14,3464.55,3511.25,27069560.0,392.0,423625.9999999983
7ae6d3e62e_WN1Com_7,US ULTRA BOND CBT,WN1 Comdty,2010-06-17,2010-06-18,108.08125,109.3125,26111025.0,242.0,249943.75000000055
7ae6d3e62e_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,2010-06-28,2010-07-02,3508.883333333333,3391.75,35162590.0,502.0,-1311274.666666665
