Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
96646b9768_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,1999-08-20,1999-08-25,4705.166666666667,4721.5,34925800.0,380.0,119079.99999999764
96646b9768_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,2001-01-03,2001-01-04,4544.666666666667,4545.5,9950780.0,119.0,1683.333333332721
96646b9768_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,2001-04-18,2001-04-19,3907.8333333333335,3869.0,14938920.0,204.0,-151450.00000000058
96646b9768_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,2002-05-08,2002-05-09,3190.0,3222.5,35638500.0,575.0,260000.0
96646b9768_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,2003-03-13,2003-03-14,2950.3333333333335,2961.5,60809760.0,1047.0,183579.9999999975
96646b9768_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,2003-05-27,2003-05-28,3091.1666666666665,3100.5,59496120.0,972.0,165760.00000000268
96646b9768_US1Com_1,US LONG BOND(CBT),US1 Comdty,2004-10-08,2004-10-11,65.59375,64.28125,43625062.5,678.0,-668062.5
96646b9768_US1Com_2,US LONG BOND(CBT),US1 Comdty,2004-12-03,2004-12-06,65.82291666666667,65.71875,0.0,0.0,0.0
96646b9768_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,2007-10-05,2007-10-08,3861.5833333333335,3870.0,68265385.0,893.0,132814.9999999976
96646b9768_US1Com_3,US LONG BOND(CBT),US1 Comdty,2008-09-15,2008-09-16,80.82291666666667,82.125,51770700.0,662.0,524739.5833333314
96646b9768_US1Com_4,US LONG BOND(CBT),US1 Comdty,2008-12-01,2008-12-02,91.60416666666667,91.5625,28295325.0,320.0,-10791.666666667894
96646b9768_US1Com_5,US LONG BOND(CBT),US1 Comdty,2009-03-18,2009-03-19,90.64583333333333,91.625,0.0,0.0,182125.00000000087
96646b9768_NQ1Ind_8,NASDAQ 100 E-MINI,NQ1 Index,2011-01-03,2011-01-04,3912.75,3917.0,122866030.0,1582.0,124185.0
96646b9768_US1Com_6,US LONG BOND(CBT),US1 Comdty,2016-06-24,2016-06-27,147.65625,150.1875,65842875.0,454.0,693562.5
96646b9768_NQ1Ind_9,NASDAQ 100 E-MINI,NQ1 Index,2016-11-07,2016-11-08,6573.75,6583.0,69286040.0,536.0,71780.0
96646b9768_US1Com_7,US LONG BOND(CBT),US1 Comdty,2017-09-05,2017-09-06,142.60416666666666,142.8125,91922400.0,653.0,101041.66666667126
96646b9768_NQ1Ind_10,NASDAQ 100 E-MINI,NQ1 Index,2018-01-02,2018-01-03,8283.916666666666,8286.25,67744890.0,414.0,17406.66666667119
96646b9768_US1Com_8,US LONG BOND(CBT),US1 Comdty,2020-04-15,2020-04-16,174.33333333333334,174.40625,22020600.0,128.0,8020.833333332292
96646b9768_NQ1Ind_11,NASDAQ 100 E-MINI,NQ1 Index,2022-11-30,2022-12-01,13473.0,13614.5,16716800.0,64.0,166970.0
