Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
b066708b3f_US1Com_1,US LONG BOND(CBT),US1 Comdty,1999-06-25,1999-06-28,30.16875,30.1875,18642000.0,624.0,9693.750000000367
b066708b3f_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,1999-07-21,1999-07-27,4679.15,4561.5,0.0,0.0,-1081743.9999999967
b066708b3f_US1Com_2,US LONG BOND(CBT),US1 Comdty,1999-08-02,1999-08-03,31.465625,31.3125,0.0,0.0,0.0
b066708b3f_US1Com_3,US LONG BOND(CBT),US1 Comdty,1999-08-11,1999-08-12,30.175,30.28125,25489350.0,853.0,74162.4999999995
b066708b3f_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,1999-08-20,1999-08-25,4611.95,4721.5,34925800.0,380.0,846170.0000000014
b066708b3f_US1Com_4,US LONG BOND(CBT),US1 Comdty,1999-08-24,1999-08-25,31.546875,31.875,24836062.5,791.0,212296.875
b066708b3f_US1Com_5,US LONG BOND(CBT),US1 Comdty,1999-09-03,1999-09-07,30.109375,31.125,18121125.0,607.0,473281.25
b066708b3f_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,1999-09-27,1999-09-28,4730.65,4727.5,30942450.0,329.0,-20915.999999997584
b066708b3f_US1Com_6,US LONG BOND(CBT),US1 Comdty,1999-09-30,1999-10-01,30.153125,30.6875,17960850.0,601.0,257568.75000000032
b066708b3f_US1Com_7,US LONG BOND(CBT),US1 Comdty,1999-10-08,1999-10-11,29.6125,29.34375,17254125.0,588.0,-133300.00000000035
b066708b3f_US1Com_8,US LONG BOND(CBT),US1 Comdty,1999-10-15,1999-10-18,28.284375,28.75,17323312.5,618.0,234209.37499999965
b066708b3f_US1Com_9,US LONG BOND(CBT),US1 Comdty,1999-10-21,1999-10-22,28.153125,27.6875,17011650.0,610.0,-237468.74999999965
b066708b3f_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,1999-10-28,1999-10-29,4772.3,4836.5,34042220.0,358.0,436559.9999999988
b066708b3f_US1Com_10,US LONG BOND(CBT),US1 Comdty,1999-12-21,1999-12-22,27.525,27.09375,0.0,0.0,0.0
b066708b3f_US1Com_11,US LONG BOND(CBT),US1 Comdty,1999-12-23,1999-12-27,27.325,26.9375,0.0,0.0,0.0
b066708b3f_US1Com_12,US LONG BOND(CBT),US1 Comdty,2000-01-04,2000-01-05,26.11875,26.65625,18040050.0,697.0,318737.5000000008
b066708b3f_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,2000-01-31,2000-02-02,5774.3,5955.0,12448890.0,109.0,386777.9999999996
b066708b3f_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,2000-02-22,2000-02-24,6236.4,6425.0,17365600.0,140.0,584220.0000000012
b066708b3f_US1Com_13,US LONG BOND(CBT),US1 Comdty,2000-02-29,2000-03-01,30.76875,31.125,0.0,0.0,0.0
b066708b3f_US1Com_14,US LONG BOND(CBT),US1 Comdty,2000-03-02,2000-03-03,31.178125,31.25,0.0,0.0,0.0
b066708b3f_US1Com_15,US LONG BOND(CBT),US1 Comdty,2000-03-13,2000-03-14,30.853125,30.84375,0.0,0.0,0.0
b066708b3f_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,2000-03-16,2000-03-17,6409.55,6590.5,15970500.0,126.0,419803.9999999996
b066708b3f_NQ1Ind_8,NASDAQ 100 E-MINI,NQ1 Index,2000-03-30,2000-04-05,6694.35,6250.5,14881440.0,112.0,-954003.0000000008
b066708b3f_NQ1Ind_9,NASDAQ 100 E-MINI,NQ1 Index,2000-04-06,2000-04-10,6352.05,6515.5,13001040.0,104.0,336636.99999999965
b066708b3f_NQ1Ind_10,NASDAQ 100 E-MINI,NQ1 Index,2000-04-17,2000-04-19,5509.35,5909.5,9922200.0,92.0,664868.9999999994
b066708b3f_NQ1Ind_11,NASDAQ 100 E-MINI,NQ1 Index,2000-04-25,2000-04-26,5660.2,5825.0,9730080.0,87.0,270272.0000000003
b066708b3f_US1Com_16,US LONG BOND(CBT),US1 Comdty,2000-05-09,2000-05-10,29.646875,29.84375,0.0,0.0,0.0
b066708b3f_NQ1Ind_12,NASDAQ 100 E-MINI,NQ1 Index,2000-05-11,2000-05-15,5487.6,5585.0,9552400.0,88.0,177267.99999999933
b066708b3f_US1Com_17,US LONG BOND(CBT),US1 Comdty,2000-05-16,2000-05-17,30.853125,30.78125,0.0,0.0,0.0
b066708b3f_NQ1Ind_13,NASDAQ 100 E-MINI,NQ1 Index,2000-05-24,2000-05-30,5269.35,5334.5,11205000.0,108.0,150245.99999999919
b066708b3f_NQ1Ind_14,NASDAQ 100 E-MINI,NQ1 Index,2000-06-01,2000-06-02,5551.25,5745.0,12540000.0,114.0,422375.0
b066708b3f_NQ1Ind_15,NASDAQ 100 E-MINI,NQ1 Index,2000-06-28,2000-07-04,5926.35,5974.0,15425250.0,131.0,146113.99999999892
b066708b3f_NQ1Ind_16,NASDAQ 100 E-MINI,NQ1 Index,2000-07-06,2000-07-10,5860.45,5989.0,20753020.0,178.0,444953.00000000064
b066708b3f_NQ1Ind_17,NASDAQ 100 E-MINI,NQ1 Index,2000-07-24,2000-07-28,6103.2,5825.0,20237060.0,167.0,-953595.9999999993
b066708b3f_NQ1Ind_18,NASDAQ 100 E-MINI,NQ1 Index,2000-07-31,2000-08-04,5683.75,5783.5,17475000.0,150.0,293950.0
b066708b3f_US1Com_18,US LONG BOND(CBT),US1 Comdty,2000-08-17,2000-08-18,36.259375,36.4375,31634025.0,877.0,130031.25000000103
b066708b3f_US1Com_19,US LONG BOND(CBT),US1 Comdty,2000-08-30,2000-08-31,36.365625,36.40625,42556500.0,1176.0,40828.124999998574
b066708b3f_NQ1Ind_19,NASDAQ 100 E-MINI,NQ1 Index,2000-09-07,2000-09-13,6007.45,5784.0,30119040.0,252.0,-1011796.9999999991
b066708b3f_US1Com_20,US LONG BOND(CBT),US1 Comdty,2000-09-21,2000-09-22,34.4125,35.0625,0.0,0.0,0.0
b066708b3f_NQ1Ind_20,NASDAQ 100 E-MINI,NQ1 Index,2000-09-26,2000-09-29,5777.15,5785.0,21201000.0,185.0,34488.00000000134
b066708b3f_NQ1Ind_21,NASDAQ 100 E-MINI,NQ1 Index,2000-10-04,2000-10-10,5506.4,5401.5,18754880.0,172.0,-376839.9999999988
b066708b3f_NQ1Ind_22,NASDAQ 100 E-MINI,NQ1 Index,2000-10-11,2000-10-16,5277.3,5329.0,18797220.0,174.0,208849.99999999942
b066708b3f_NQ1Ind_23,NASDAQ 100 E-MINI,NQ1 Index,2000-10-26,2000-11-01,5265.65,5354.5,12703860.0,122.0,223310.00000000087
b066708b3f_NQ1Ind_24,NASDAQ 100 E-MINI,NQ1 Index,2000-11-13,2000-11-15,5016.25,5100.0,11382700.0,115.0,211875.0
b066708b3f_NQ1Ind_25,NASDAQ 100 E-MINI,NQ1 Index,2000-11-24,2000-11-27,4824.95,4903.0,12933000.0,135.0,209174.0000000005
b066708b3f_NQ1Ind_26,NASDAQ 100 E-MINI,NQ1 Index,2000-12-01,2000-12-06,4637.0,4893.5,13113100.0,143.0,747490.0
b066708b3f_NQ1Ind_27,NASDAQ 100 E-MINI,NQ1 Index,2000-12-18,2000-12-22,4670.1,4303.5,12278560.0,133.0,-963456.0000000009
b066708b3f_US1Com_21,US LONG BOND(CBT),US1 Comdty,2000-12-29,2001-01-02,41.65625,41.15625,35973750.0,869.0,-357500.0
b066708b3f_NQ1Ind_28,NASDAQ 100 E-MINI,NQ1 Index,2001-01-03,2001-01-04,4235.55,4545.5,9950780.0,119.0,626098.9999999997
b066708b3f_US1Com_22,US LONG BOND(CBT),US1 Comdty,2001-01-23,2001-01-24,40.075,39.09375,0.0,0.0,0.0
b066708b3f_US1Com_23,US LONG BOND(CBT),US1 Comdty,2001-01-25,2001-01-26,39.30625,39.96875,0.0,0.0,0.0
b066708b3f_NQ1Ind_29,NASDAQ 100 E-MINI,NQ1 Index,2001-02-06,2001-02-12,4526.0,4290.0,21933160.0,244.0,-1163160.0
b066708b3f_NQ1Ind_30,NASDAQ 100 E-MINI,NQ1 Index,2001-02-26,2001-02-27,4109.85,4116.0,19866480.0,244.0,29765.99999999824
b066708b3f_NQ1Ind_31,NASDAQ 100 E-MINI,NQ1 Index,2001-02-28,2001-03-06,4018.45,3989.0,19756800.0,240.0,-130109.99999999907
b066708b3f_US1Com_24,US LONG BOND(CBT),US1 Comdty,2001-03-07,2001-03-08,41.815625,42.46875,0.0,0.0,0.0
b066708b3f_NQ1Ind_32,NASDAQ 100 E-MINI,NQ1 Index,2001-03-13,2001-03-19,3741.9,3669.0,15920750.0,215.0,-310892.00000000035
b066708b3f_NQ1Ind_33,NASDAQ 100 E-MINI,NQ1 Index,2001-04-04,2001-04-06,3425.6,3511.0,14119040.0,208.0,368894.0000000004
b066708b3f_US1Com_25,US LONG BOND(CBT),US1 Comdty,2001-04-23,2001-04-24,37.846875,38.21875,0.0,0.0,0.0
b066708b3f_NQ1Ind_34,NASDAQ 100 E-MINI,NQ1 Index,2001-04-25,2001-05-01,3811.15,3851.0,13440780.0,178.0,165802.99999999968
b066708b3f_US1Com_26,US LONG BOND(CBT),US1 Comdty,2001-05-09,2001-05-10,38.859375,39.125,0.0,0.0,0.0
b066708b3f_NQ1Ind_35,NASDAQ 100 E-MINI,NQ1 Index,2001-05-31,2001-06-04,3797.75,3853.5,19853870.0,263.0,296440.0
b066708b3f_NQ1Ind_36,NASDAQ 100 E-MINI,NQ1 Index,2001-06-05,2001-06-06,3849.85,3919.0,21579600.0,280.0,370644.00000000047
b066708b3f_US1Com_27,US LONG BOND(CBT),US1 Comdty,2001-07-02,2001-07-03,38.23125,38.5625,28815300.0,761.0,215643.74999999814
b066708b3f_NQ1Ind_37,NASDAQ 100 E-MINI,NQ1 Index,2001-07-09,2001-07-13,3672.0,3727.0,28270350.0,387.0,411550.0
b066708b3f_NQ1Ind_38,NASDAQ 100 E-MINI,NQ1 Index,2001-07-19,2001-07-25,3677.05,3594.5,25205700.0,345.0,-562424.0000000013
b066708b3f_NQ1Ind_39,NASDAQ 100 E-MINI,NQ1 Index,2001-08-01,2001-08-02,3675.95,3709.5,25414280.0,347.0,226127.00000000122
b066708b3f_NQ1Ind_40,NASDAQ 100 E-MINI,NQ1 Index,2001-08-31,2001-09-07,3442.7,3345.0,25957710.0,379.0,-755447.9999999986
b066708b3f_NQ1Ind_41,NASDAQ 100 E-MINI,NQ1 Index,2001-09-28,2001-10-01,3124.4,3128.0,0.0,0.0,0.0
b066708b3f_US1Com_28,US LONG BOND(CBT),US1 Comdty,2001-10-08,2001-10-09,45.309375,45.15625,25378762.5,563.0,-72734.37500000135
b066708b3f_US1Com_29,US LONG BOND(CBT),US1 Comdty,2001-10-10,2001-10-11,44.49375,44.5,25197187.5,558.0,3106.250000000706
b066708b3f_US1Com_30,US LONG BOND(CBT),US1 Comdty,2001-10-12,2001-10-15,44.10625,43.78125,25418400.0,571.0,-154700.00000000134
b066708b3f_NQ1Ind_42,NASDAQ 100 E-MINI,NQ1 Index,2001-10-18,2001-10-22,3289.2,3310.5,23054430.0,353.0,150804.00000000128
b066708b3f_US1Com_31,US LONG BOND(CBT),US1 Comdty,2001-10-24,2001-10-25,44.765625,45.21875,34841250.0,782.0,280484.375
b066708b3f_NQ1Ind_43,NASDAQ 100 E-MINI,NQ1 Index,2001-10-31,2001-11-02,3320.1,3379.0,22255480.0,337.0,395978.0000000006
b066708b3f_US1Com_32,US LONG BOND(CBT),US1 Comdty,2001-11-19,2001-11-20,43.871875,44.1875,16452300.0,380.0,95949.99999999914
b066708b3f_NQ1Ind_44,NASDAQ 100 E-MINI,NQ1 Index,2001-12-04,2001-12-05,3536.7,3596.0,32279840.0,458.0,512352.0000000016
b066708b3f_US1Com_33,US LONG BOND(CBT),US1 Comdty,2001-12-10,2001-12-11,39.55625,39.65625,0.0,0.0,0.0
b066708b3f_US1Com_34,US LONG BOND(CBT),US1 Comdty,2001-12-18,2001-12-19,39.15625,39.90625,0.0,0.0,0.0
b066708b3f_NQ1Ind_45,NASDAQ 100 E-MINI,NQ1 Index,2001-12-21,2001-12-27,3529.0,3551.5,26284720.0,374.0,166890.0
b066708b3f_US1Com_35,US LONG BOND(CBT),US1 Comdty,2001-12-27,2001-12-28,39.91875,40.5,15097125.0,380.0,181931.2499999991
