Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
b4063c65ed_WN1Com_1,US ULTRA BOND CBT,WN1 Comdty,2010-02-04,2010-02-05,97.484375,98.5625,0.0,0.0,0.0
b4063c65ed_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,2010-02-09,2010-02-12,3405.075,3431.75,46619820.0,687.0,364265.00000000244
b4063c65ed_WN1Com_2,US ULTRA BOND CBT,WN1 Comdty,2010-02-11,2010-02-12,97.565625,96.84375,0.0,0.0,-217284.37499999916
b4063c65ed_WN1Com_3,US ULTRA BOND CBT,WN1 Comdty,2010-03-04,2010-03-05,98.73125,98.90625,36028125.0,366.0,53199.999999999134
b4063c65ed_WN1Com_4,US ULTRA BOND CBT,WN1 Comdty,2010-03-11,2010-03-12,96.84375,96.96875,39281625.0,407.0,42750.0
b4063c65ed_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,2010-03-16,2010-03-17,3583.65,3589.75,108921930.0,1522.0,184829.99999999724
b4063c65ed_WN1Com_5,US ULTRA BOND CBT,WN1 Comdty,2010-03-26,2010-03-29,95.575,95.15625,42079837.5,443.0,-158706.25000000108
b4063c65ed_WN1Com_6,US ULTRA BOND CBT,WN1 Comdty,2010-04-06,2010-04-07,94.5,94.15625,44472750.0,473.0,-137156.25
b4063c65ed_WN1Com_7,US ULTRA BOND CBT,WN1 Comdty,2010-05-13,2010-05-14,102.475,101.5,22954800.0,226.0,-186224.99999999892
b4063c65ed_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,2010-05-21,2010-05-27,3479.8,3449.5,27763235.0,401.0,-243389.00000000146
b4063c65ed_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,2010-06-09,2010-06-14,3470.45,3511.25,27069560.0,392.0,368874.0000000017
b4063c65ed_WN1Com_8,US ULTRA BOND CBT,WN1 Comdty,2010-06-17,2010-06-18,108.2625,109.3125,26111025.0,242.0,213149.99999999945
b4063c65ed_WN1Com_9,US ULTRA BOND CBT,WN1 Comdty,2010-07-12,2010-07-13,111.665625,111.25,33499087.5,301.0,-118037.50000000162
b4063c65ed_WN1Com_10,US ULTRA BOND CBT,WN1 Comdty,2010-07-14,2010-07-15,110.415625,111.78125,40050000.0,360.0,412418.7499999983
b4063c65ed_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,2010-07-19,2010-07-21,3477.025,3502.75,42550200.0,614.0,315902.9999999989
b4063c65ed_WN1Com_11,US ULTRA BOND CBT,WN1 Comdty,2010-07-28,2010-07-29,110.953125,110.84375,37128000.0,336.0,-31500.0
b4063c65ed_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,2010-08-02,2010-08-03,3537.25,3556.75,49635520.0,704.0,269880.0
b4063c65ed_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,2010-08-16,2010-08-18,3490.3,3503.0,45217250.0,650.0,182505.99999999738
b4063c65ed_NQ1Ind_8,NASDAQ 100 E-MINI,NQ1 Index,2010-08-23,2010-08-27,3497.775,3429.0,58327720.0,836.0,-1161913.5000000014
b4063c65ed_WN1Com_12,US ULTRA BOND CBT,WN1 Comdty,2010-09-07,2010-09-08,119.240625,120.9375,24252075.0,205.0,283378.12500000093
b4063c65ed_WN1Com_13,US ULTRA BOND CBT,WN1 Comdty,2010-09-13,2010-09-14,116.871875,116.75,22441387.5,193.0,-19500.000000000455
b4063c65ed_WN1Com_14,US ULTRA BOND CBT,WN1 Comdty,2010-09-20,2010-09-21,116.25,116.40625,23719837.5,205.0,27343.75
b4063c65ed_NQ1Ind_9,NASDAQ 100 E-MINI,NQ1 Index,2010-09-23,2010-09-27,3654.1,3684.25,56570400.0,776.0,535637.0000000016
b4063c65ed_WN1Com_15,US ULTRA BOND CBT,WN1 Comdty,2010-10-12,2010-10-13,119.75625,117.8125,39987675.0,335.0,-532587.4999999985
b4063c65ed_WN1Com_16,US ULTRA BOND CBT,WN1 Comdty,2010-10-14,2010-10-15,118.20625,115.96875,39726375.0,337.0,-646637.4999999992
b4063c65ed_WN1Com_17,US ULTRA BOND CBT,WN1 Comdty,2010-10-18,2010-10-19,114.915625,115.03125,37713037.5,325.0,30062.499999998523
b4063c65ed_NQ1Ind_10,NASDAQ 100 E-MINI,NQ1 Index,2010-10-21,2010-10-26,3760.2,3774.75,66811635.0,891.0,258879.00000000326
b4063c65ed_WN1Com_18,US ULTRA BOND CBT,WN1 Comdty,2010-10-25,2010-10-26,115.90625,116.125,38776500.0,336.0,62562.5
b4063c65ed_WN1Com_19,US ULTRA BOND CBT,WN1 Comdty,2010-10-29,2010-11-01,113.434375,113.875,43232475.0,383.0,133068.74999999916
b4063c65ed_NQ1Ind_11,NASDAQ 100 E-MINI,NQ1 Index,2010-11-24,2010-11-26,3794.85,3822.0,62141490.0,821.0,408879.0000000014
b4063c65ed_NQ1Ind_12,NASDAQ 100 E-MINI,NQ1 Index,2010-12-01,2010-12-02,3793.425,3824.5,54089750.0,715.0,411432.9999999976
b4063c65ed_WN1Com_20,US ULTRA BOND CBT,WN1 Comdty,2010-12-06,2010-12-07,109.140625,109.375,27448462.5,253.0,48750.0
b4063c65ed_WN1Com_21,US ULTRA BOND CBT,WN1 Comdty,2011-01-06,2011-01-07,104.503125,104.65625,22797225.0,220.0,31237.50000000058
b4063c65ed_WN1Com_22,US ULTRA BOND CBT,WN1 Comdty,2011-01-13,2011-01-14,105.04375,105.0625,25612200.0,245.0,4237.499999999358
b4063c65ed_WN1Com_23,US ULTRA BOND CBT,WN1 Comdty,2011-02-09,2011-02-10,100.825,101.3125,37087050.0,370.0,142837.49999999916
b4063c65ed_NQ1Ind_13,NASDAQ 100 E-MINI,NQ1 Index,2011-02-16,2011-02-17,4054.7,4059.25,61379050.0,758.0,68978.00000000276
b4063c65ed_NQ1Ind_14,NASDAQ 100 E-MINI,NQ1 Index,2011-02-25,2011-02-28,3992.5,4012.5,51045420.0,642.0,246000.0
b4063c65ed_NQ1Ind_15,NASDAQ 100 E-MINI,NQ1 Index,2011-03-17,2011-03-22,3896.625,3925.75,42347760.0,546.0,314890.0
b4063c65ed_WN1Com_24,US ULTRA BOND CBT,WN1 Comdty,2011-03-23,2011-03-24,107.3875,106.9375,43656000.0,408.0,-166050.00000000105
b4063c65ed_WN1Com_25,US ULTRA BOND CBT,WN1 Comdty,2011-03-25,2011-03-28,106.75,105.75,46710300.0,437.0,-374000.0
b4063c65ed_NQ1Ind_16,NASDAQ 100 E-MINI,NQ1 Index,2011-04-04,2011-04-08,4014.175,3998.5,52665120.0,657.0,-203345.0000000024
b4063c65ed_NQ1Ind_17,NASDAQ 100 E-MINI,NQ1 Index,2011-04-13,2011-04-19,3972.0,3958.5,59358250.0,749.0,-259060.0
b4063c65ed_WN1Com_26,US ULTRA BOND CBT,WN1 Comdty,2011-04-25,2011-04-26,107.096875,107.09375,59327662.5,556.0,-1465.6249999986671
b4063c65ed_NQ1Ind_18,NASDAQ 100 E-MINI,NQ1 Index,2011-05-05,2011-05-11,4062.975,4077.0,79853950.0,985.0,276694.00000000186
b4063c65ed_WN1Com_27,US ULTRA BOND CBT,WN1 Comdty,2011-05-11,2011-05-12,110.15625,110.5,61653150.0,562.0,160187.5
b4063c65ed_NQ1Ind_19,NASDAQ 100 E-MINI,NQ1 Index,2011-05-18,2011-05-19,4018.4,4031.5,63787460.0,796.0,208551.99999999854
b4063c65ed_NQ1Ind_20,NASDAQ 100 E-MINI,NQ1 Index,2011-05-25,2011-05-27,3980.775,3996.0,68464350.0,862.0,263153.9999999984
b4063c65ed_NQ1Ind_21,NASDAQ 100 E-MINI,NQ1 Index,2011-06-13,2011-06-15,3899.75,3918.5,50735380.0,652.0,248895.0
b4063c65ed_WN1Com_28,US ULTRA BOND CBT,WN1 Comdty,2011-06-22,2011-06-23,113.765625,113.5,41778862.5,368.0,-81812.5
b4063c65ed_NQ1Ind_22,NASDAQ 100 E-MINI,NQ1 Index,2011-06-27,2011-06-29,3893.525,3956.0,47422765.0,611.0,720191.999999999
b4063c65ed_WN1Com_29,US ULTRA BOND CBT,WN1 Comdty,2011-07-05,2011-07-06,110.153125,110.1875,40397362.5,368.0,10587.499999999125
b4063c65ed_NQ1Ind_23,NASDAQ 100 E-MINI,NQ1 Index,2011-07-13,2011-07-19,4031.475,4014.75,47567200.0,592.0,-210169.49999999895
b4063c65ed_WN1Com_30,US ULTRA BOND CBT,WN1 Comdty,2011-07-19,2011-07-20,112.675,114.25,44964750.0,401.0,481950.0000000008
b4063c65ed_NQ1Ind_24,NASDAQ 100 E-MINI,NQ1 Index,2011-08-01,2011-08-05,4048.025,3886.75,46532165.0,577.0,-1843127.500000001
b4063c65ed_NQ1Ind_25,NASDAQ 100 E-MINI,NQ1 Index,2011-08-09,2011-08-15,3750.05,3856.75,26199660.0,353.0,609632.999999999
b4063c65ed_NQ1Ind_26,NASDAQ 100 E-MINI,NQ1 Index,2011-08-22,2011-08-24,3738.775,3797.0,19832760.0,267.0,313250.49999999953
b4063c65ed_NQ1Ind_27,NASDAQ 100 E-MINI,NQ1 Index,2011-09-07,2011-09-08,3855.85,3898.0,19728605.0,257.0,253743.00000000055
b4063c65ed_WN1Com_31,US ULTRA BOND CBT,WN1 Comdty,2011-09-15,2011-09-16,136.115625,134.34375,24698100.0,182.0,-271096.8749999991
b4063c65ed_NQ1Ind_28,NASDAQ 100 E-MINI,NQ1 Index,2011-09-23,2011-09-27,3875.25,3904.5,32515100.0,422.0,245165.0
b4063c65ed_WN1Com_32,US ULTRA BOND CBT,WN1 Comdty,2011-09-28,2011-09-29,140.39375,140.3125,19199250.0,138.0,-9587.500000001342
b4063c65ed_NQ1Ind_29,NASDAQ 100 E-MINI,NQ1 Index,2011-10-04,2011-10-06,3770.125,3845.25,29871135.0,399.0,593572.5
b4063c65ed_WN1Com_33,US ULTRA BOND CBT,WN1 Comdty,2011-10-11,2011-10-12,139.553125,139.625,18614400.0,134.0,8050.000000000637
b4063c65ed_WN1Com_34,US ULTRA BOND CBT,WN1 Comdty,2011-10-13,2011-10-14,137.8125,138.34375,18765600.0,134.0,58968.75
b4063c65ed_WN1Com_35,US ULTRA BOND CBT,WN1 Comdty,2011-10-25,2011-10-26,136.31875,139.21875,24255337.5,179.0,426300.0000000008
b4063c65ed_NQ1Ind_30,NASDAQ 100 E-MINI,NQ1 Index,2011-11-02,2011-11-04,3995.9,4040.0,30816810.0,387.0,348469.9999999993
b4063c65ed_NQ1Ind_31,NASDAQ 100 E-MINI,NQ1 Index,2011-11-25,2011-11-29,3854.375,3899.0,31633360.0,412.0,367710.0
b4063c65ed_WN1Com_36,US ULTRA BOND CBT,WN1 Comdty,2011-12-02,2011-12-05,141.3125,142.40625,30489450.0,217.0,188125.0
