Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
c40129997d_US1Com_1,US LONG BOND(CBT),US1 Comdty,1999-06-24,1999-06-25,30.34375,29.84375,15471500.000000002,510.0,-236500.0
c40129997d_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,1999-07-07,1999-07-09,4671.5,4698.5,55590850.0,595.0,337920.0
c40129997d_US1Com_2,US LONG BOND(CBT),US1 Comdty,1999-07-08,1999-07-09,31.34375,32.21875,17032193.75,543.0,423500.0
c40129997d_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,1999-07-20,1999-07-26,4755.0,4617.5,64763200.0,680.0,-1154090.0
c40129997d_US1Com_3,US LONG BOND(CBT),US1 Comdty,1999-07-26,1999-07-27,31.8125,31.8125,17934400.0,563.0,0.0
c40129997d_US1Com_4,US LONG BOND(CBT),US1 Comdty,1999-07-30,1999-08-02,31.5625,31.21875,19025875.0,603.0,-191468.75
c40129997d_US1Com_5,US LONG BOND(CBT),US1 Comdty,1999-08-11,1999-08-12,29.90625,30.28125,18140100.0,607.0,208125.0
c40129997d_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,1999-08-20,1999-08-25,4597.5,4721.5,36212540.0,394.0,973410.0
c40129997d_US1Com_6,US LONG BOND(CBT),US1 Comdty,1999-08-24,1999-08-25,31.34375,31.875,19933546.875,635.0,309187.5
c40129997d_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,1999-08-27,1999-09-02,4731.5,4720.0,35800380.0,378.0,-82710.0
c40129997d_US1Com_7,US LONG BOND(CBT),US1 Comdty,1999-09-01,1999-09-02,30.75,30.59375,17402171.875,566.0,-82343.75
c40129997d_US1Com_8,US LONG BOND(CBT),US1 Comdty,1999-09-03,1999-09-07,29.84375,31.125,17634237.5,576.0,612437.5
c40129997d_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,1999-09-24,1999-09-28,4709.5,4727.5,30891040.0,328.0,120960.0
c40129997d_US1Com_9,US LONG BOND(CBT),US1 Comdty,1999-09-30,1999-10-01,29.84375,30.6875,16266937.500000002,544.0,410062.5
c40129997d_US1Com_10,US LONG BOND(CBT),US1 Comdty,1999-10-08,1999-10-11,29.34375,29.34375,15461221.875000002,527.0,0.0
c40129997d_US1Com_11,US LONG BOND(CBT),US1 Comdty,1999-10-13,1999-10-14,29.0,28.375,16347065.625000002,564.0,-322500.0
c40129997d_US1Com_12,US LONG BOND(CBT),US1 Comdty,1999-10-15,1999-10-18,28.0,28.75,16448987.500000002,580.0,387000.0
c40129997d_US1Com_13,US LONG BOND(CBT),US1 Comdty,1999-10-21,1999-10-22,27.90625,27.6875,16668403.125000002,597.0,-121625.0
c40129997d_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,1999-10-28,1999-10-29,4754.5,4836.5,34612760.0,364.0,560880.0
c40129997d_US1Com_14,US LONG BOND(CBT),US1 Comdty,1999-11-18,1999-11-19,30.875,30.78125,19638437.5,638.0,-55312.5
c40129997d_US1Com_15,US LONG BOND(CBT),US1 Comdty,1999-11-22,1999-11-23,30.5625,30.28125,20417203.125,663.0,-172406.25
c40129997d_US1Com_16,US LONG BOND(CBT),US1 Comdty,1999-11-30,1999-12-01,28.78125,29.03125,18733240.625,652.0,149250.0
c40129997d_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,1999-12-08,1999-12-14,5480.5,5520.5,33717810.0,307.0,256940.0
c40129997d_US1Com_17,US LONG BOND(CBT),US1 Comdty,1999-12-16,1999-12-17,28.625,27.84375,17160687.5,600.0,-420312.5
c40129997d_US1Com_18,US LONG BOND(CBT),US1 Comdty,1999-12-20,1999-12-21,27.875,27.25,16906725.0,607.0,-348125.0
c40129997d_US1Com_19,US LONG BOND(CBT),US1 Comdty,1999-12-22,1999-12-23,27.09375,27.0625,17085750.0,627.0,-18218.75
c40129997d_US1Com_20,US LONG BOND(CBT),US1 Comdty,1999-12-27,1999-12-28,26.9375,27.28125,17771943.75,657.0,206593.75
c40129997d_US1Com_21,US LONG BOND(CBT),US1 Comdty,2000-01-04,2000-01-05,25.84375,26.65625,16935187.5,654.0,460687.5
c40129997d_US1Com_22,US LONG BOND(CBT),US1 Comdty,2000-01-12,2000-01-13,25.625,25.40625,14808543.750000002,579.0,-117906.25
c40129997d_NQ1Ind_8,NASDAQ 100 E-MINI,NQ1 Index,2000-01-27,2000-02-02,5864.0,5955.0,17198800.0,146.0,252150.0
c40129997d_NQ1Ind_9,NASDAQ 100 E-MINI,NQ1 Index,2000-02-21,2000-02-24,6190.0,6425.0,19478990.0,157.0,773980.0
c40129997d_US1Com_23,US LONG BOND(CBT),US1 Comdty,2000-02-24,2000-02-25,31.34375,31.46875,16620862.500000002,532.0,61875.0
c40129997d_US1Com_24,US LONG BOND(CBT),US1 Comdty,2000-02-28,2000-02-29,31.0,30.46875,17100118.75,543.0,-264031.25
c40129997d_US1Com_25,US LONG BOND(CBT),US1 Comdty,2000-03-01,2000-03-02,31.125,30.90625,16724296.875000002,549.0,-111562.5
c40129997d_US1Com_26,US LONG BOND(CBT),US1 Comdty,2000-03-13,2000-03-14,30.75,30.84375,19524965.625,637.0,55593.75
c40129997d_NQ1Ind_10,NASDAQ 100 E-MINI,NQ1 Index,2000-03-16,2000-03-17,6347.0,6590.5,17238000.0,136.0,613620.0
c40129997d_US1Com_27,US LONG BOND(CBT),US1 Comdty,2000-03-27,2000-03-28,32.4375,32.6875,20893640.625,644.0,150000.0
c40129997d_NQ1Ind_11,NASDAQ 100 E-MINI,NQ1 Index,2000-03-30,2000-04-05,6641.5,6250.5,17007360.0,128.0,-977100.0
c40129997d_NQ1Ind_12,NASDAQ 100 E-MINI,NQ1 Index,2000-04-06,2000-04-10,6212.0,6515.5,15001200.0,120.0,734260.0
c40129997d_NQ1Ind_13,NASDAQ 100 E-MINI,NQ1 Index,2000-04-17,2000-04-19,5382.5,5909.5,10892850.0,101.0,948600.0
c40129997d_NQ1Ind_14,NASDAQ 100 E-MINI,NQ1 Index,2000-04-24,2000-04-26,5663.5,5825.0,10963200.0,96.0,316240.0
c40129997d_US1Com_28,US LONG BOND(CBT),US1 Comdty,2000-04-26,2000-04-27,33.46875,33.34375,19051450.0,569.0,-66250.0
c40129997d_US1Com_29,US LONG BOND(CBT),US1 Comdty,2000-05-02,2000-05-03,32.84375,32.25,19908281.25,605.0,-325968.75
c40129997d_US1Com_30,US LONG BOND(CBT),US1 Comdty,2000-05-08,2000-05-09,30.125,29.3125,17325000.0,578.0,-430625.0
c40129997d_NQ1Ind_15,NASDAQ 100 E-MINI,NQ1 Index,2000-05-11,2000-05-15,5425.0,5585.0,11614850.0,107.0,342100.0
c40129997d_US1Com_31,US LONG BOND(CBT),US1 Comdty,2000-05-16,2000-05-17,30.5625,30.78125,17345350.0,569.0,113750.0
c40129997d_US1Com_32,US LONG BOND(CBT),US1 Comdty,2000-05-18,2000-05-19,30.3125,29.59375,17742312.5,576.0,-369437.5
c40129997d_NQ1Ind_16,NASDAQ 100 E-MINI,NQ1 Index,2000-05-24,2000-05-30,5190.0,5334.5,11308750.0,109.0,313380.0
c40129997d_NQ1Ind_17,NASDAQ 100 E-MINI,NQ1 Index,2000-06-01,2000-06-02,5499.0,5745.0,11990000.0,109.0,526440.0
c40129997d_US1Com_33,US LONG BOND(CBT),US1 Comdty,2000-06-22,2000-06-23,33.15625,33.125,21047400.0,634.0,-18437.5
c40129997d_NQ1Ind_18,NASDAQ 100 E-MINI,NQ1 Index,2000-06-27,2000-07-03,5949.0,5921.5,15225600.0,128.0,-69830.0
c40129997d_NQ1Ind_19,NASDAQ 100 E-MINI,NQ1 Index,2000-07-06,2000-07-10,5831.5,5989.0,16322600.0,140.0,437340.0
c40129997d_US1Com_34,US LONG BOND(CBT),US1 Comdty,2000-07-07,2000-07-10,33.75,34.25,21589596.875,639.0,294000.0
c40129997d_NQ1Ind_20,NASDAQ 100 E-MINI,NQ1 Index,2000-07-12,2000-07-13,5926.0,6055.0,17350410.0,147.0,368940.0
c40129997d_NQ1Ind_21,NASDAQ 100 E-MINI,NQ1 Index,2000-07-24,2000-07-28,6054.0,5825.0,17692280.0,146.0,-679440.0
c40129997d_NQ1Ind_22,NASDAQ 100 E-MINI,NQ1 Index,2000-07-31,2000-08-04,5628.0,5783.5,16077000.0,138.0,441000.0
c40129997d_NQ1Ind_23,NASDAQ 100 E-MINI,NQ1 Index,2000-08-11,2000-08-15,5747.0,5863.5,17366510.0,151.0,358730.0
c40129997d_US1Com_35,US LONG BOND(CBT),US1 Comdty,2000-08-16,2000-08-17,36.375,36.0,27065190.625000004,745.0,-256125.0
c40129997d_US1Com_36,US LONG BOND(CBT),US1 Comdty,2000-08-18,2000-08-21,36.4375,36.84375,27442800.000000004,762.0,285187.5
c40129997d_US1Com_37,US LONG BOND(CBT),US1 Comdty,2000-08-29,2000-08-30,36.5,36.21875,28948150.000000004,793.0,-203906.25
c40129997d_NQ1Ind_24,NASDAQ 100 E-MINI,NQ1 Index,2000-09-05,2000-09-11,6204.0,5921.0,24601360.0,197.0,-1038060.0
c40129997d_NQ1Ind_25,NASDAQ 100 E-MINI,NQ1 Index,2000-09-13,2000-09-19,5784.0,5713.5,19645200.0,170.0,-251880.0
c40129997d_US1Com_38,US LONG BOND(CBT),US1 Comdty,2000-09-18,2000-09-19,34.9375,34.5,25341937.500000004,726.0,-291812.5
c40129997d_US1Com_39,US LONG BOND(CBT),US1 Comdty,2000-09-20,2000-09-21,34.75,34.28125,25578300.000000004,741.0,-318281.25
c40129997d_NQ1Ind_26,NASDAQ 100 E-MINI,NQ1 Index,2000-09-26,2000-09-29,5734.5,5785.0,19825800.0,173.0,185660.0
c40129997d_NQ1Ind_27,NASDAQ 100 E-MINI,NQ1 Index,2000-10-04,2000-10-10,5454.0,5401.5,18209680.0,167.0,-184980.0
c40129997d_NQ1Ind_28,NASDAQ 100 E-MINI,NQ1 Index,2000-10-11,2000-10-16,5246.5,5329.0,17500860.0,162.0,288010.0
c40129997d_NQ1Ind_29,NASDAQ 100 E-MINI,NQ1 Index,2000-10-25,2000-10-31,5403.5,5163.5,14357350.0,133.0,-630780.0
c40129997d_US1Com_40,US LONG BOND(CBT),US1 Comdty,2000-11-07,2000-11-08,35.46875,35.59375,28055912.500000004,793.0,92250.0
c40129997d_NQ1Ind_30,NASDAQ 100 E-MINI,NQ1 Index,2000-11-09,2000-11-15,5124.5,5100.0,13506240.0,132.0,-56880.0
c40129997d_NQ1Ind_31,NASDAQ 100 E-MINI,NQ1 Index,2000-11-23,2000-11-27,4738.0,4903.0,12696500.0,134.0,448800.0
c40129997d_NQ1Ind_32,NASDAQ 100 E-MINI,NQ1 Index,2000-11-28,2000-12-04,4852.0,4634.5,13728400.0,140.0,-595070.0
c40129997d_NQ1Ind_33,NASDAQ 100 E-MINI,NQ1 Index,2000-12-15,2000-12-21,4653.0,4289.0,11896090.0,127.0,-954990.0
c40129997d_NQ1Ind_34,NASDAQ 100 E-MINI,NQ1 Index,2000-12-22,2000-12-26,4303.5,4495.0,11408740.0,133.0,482580.0
c40129997d_US1Com_41,US LONG BOND(CBT),US1 Comdty,2000-12-28,2000-12-29,41.34375,41.34375,32429375.000000004,783.0,0.0
c40129997d_NQ1Ind_35,NASDAQ 100 E-MINI,NQ1 Index,2001-01-03,2001-01-04,4194.0,4545.5,10954220.0,131.0,773300.0
c40129997d_NQ1Ind_36,NASDAQ 100 E-MINI,NQ1 Index,2001-01-09,2001-01-11,4355.0,4428.5,9891780.0,114.0,171990.0
c40129997d_US1Com_42,US LONG BOND(CBT),US1 Comdty,2001-01-11,2001-01-12,41.03125,40.46875,21833109.375,531.0,-270000.0
c40129997d_US1Com_43,,US1 Comdty,2001-01-15,2001-01-16,,39.53125,21233953.125,525.0,0.0
c40129997d_US1Com_44,US LONG BOND(CBT),US1 Comdty,2001-01-23,2001-01-24,39.84375,39.09375,20216831.25,508.0,-351750.0
c40129997d_US1Com_45,US LONG BOND(CBT),US1 Comdty,2001-01-25,2001-01-26,39.09375,39.96875,20727506.25,530.0,425250.0
c40129997d_NQ1Ind_37,NASDAQ 100 E-MINI,NQ1 Index,2001-02-02,2001-02-08,4643.5,4458.0,14572740.0,157.0,-573220.0
c40129997d_NQ1Ind_38,NASDAQ 100 E-MINI,NQ1 Index,2001-02-12,2001-02-16,4290.0,4353.0,14244460.0,166.0,215550.0
c40129997d_NQ1Ind_39,NASDAQ 100 E-MINI,NQ1 Index,2001-02-21,2001-02-27,4136.5,4116.0,14087900.0,170.0,-64460.0
c40129997d_NQ1Ind_40,NASDAQ 100 E-MINI,NQ1 Index,2001-02-28,2001-03-06,3982.5,3989.0,14735280.0,179.0,28520.0
c40129997d_US1Com_46,US LONG BOND(CBT),US1 Comdty,2001-03-07,2001-03-08,41.625,42.46875,23618821.875000004,569.0,431156.25
