Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
c40129997d_US1Com_1,US LONG BOND(CBT),US1 Comdty,1999-06-24,1999-06-25,30.34375,29.84375,15671562.500000002,517.0,-244500.0
c40129997d_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,1999-07-07,1999-07-09,4671.5,4698.5,56805440.0,608.0,348900.0
c40129997d_US1Com_2,US LONG BOND(CBT),US1 Comdty,1999-07-08,1999-07-09,31.34375,32.21875,18307884.375,584.0,444500.0
c40129997d_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,1999-07-20,1999-07-26,4755.0,4617.5,66191800.0,695.0,-1055380.0
c40129997d_US1Com_3,US LONG BOND(CBT),US1 Comdty,1999-07-26,1999-07-27,31.8125,31.8125,19090328.125,600.0,0.0
c40129997d_US1Com_4,US LONG BOND(CBT),US1 Comdty,1999-07-30,1999-08-02,31.5625,31.21875,21490906.25,681.0,-220343.75
c40129997d_US1Com_5,US LONG BOND(CBT),US1 Comdty,1999-08-11,1999-08-12,29.90625,30.28125,19816087.5,663.0,227250.0
c40129997d_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,1999-08-20,1999-08-25,4597.5,4721.5,34833890.0,379.0,939100.0
c40129997d_US1Com_6,US LONG BOND(CBT),US1 Comdty,1999-08-24,1999-08-25,31.34375,31.875,22386375.0,713.0,350625.0
c40129997d_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,1999-08-27,1999-09-02,4731.5,4720.0,34379730.0,363.0,-75500.0
c40129997d_US1Com_7,US LONG BOND(CBT),US1 Comdty,1999-09-01,1999-09-02,30.75,30.59375,17300800.0,563.0,-83906.25
c40129997d_US1Com_8,US LONG BOND(CBT),US1 Comdty,1999-09-03,1999-09-07,29.84375,31.125,17970768.75,587.0,575281.25
c40129997d_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,1999-09-24,1999-09-28,4709.5,4727.5,27971460.0,297.0,112320.0
c40129997d_US1Com_9,US LONG BOND(CBT),US1 Comdty,1999-09-30,1999-10-01,29.84375,30.6875,15938312.500000002,534.0,394875.0
c40129997d_US1Com_10,US LONG BOND(CBT),US1 Comdty,1999-10-08,1999-10-11,29.34375,29.34375,15041606.250000002,513.0,0.0
c40129997d_US1Com_11,US LONG BOND(CBT),US1 Comdty,1999-10-13,1999-10-14,29.0,28.375,16952512.5,585.0,-336875.0
c40129997d_US1Com_12,US LONG BOND(CBT),US1 Comdty,1999-10-15,1999-10-18,28.0,28.75,17572637.5,619.0,400500.0
c40129997d_US1Com_13,US LONG BOND(CBT),US1 Comdty,1999-10-21,1999-10-22,27.90625,27.6875,18111156.25,649.0,-135406.25
c40129997d_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,1999-10-28,1999-10-29,4754.5,4836.5,34707850.0,365.0,536280.0
c40129997d_US1Com_14,US LONG BOND(CBT),US1 Comdty,1999-11-18,1999-11-19,30.875,30.78125,21466843.75,697.0,-61406.25
c40129997d_US1Com_15,US LONG BOND(CBT),US1 Comdty,1999-11-22,1999-11-23,30.5625,30.28125,23261390.625000004,756.0,-199406.25
c40129997d_US1Com_16,US LONG BOND(CBT),US1 Comdty,1999-11-30,1999-12-01,28.78125,29.03125,20407543.75,711.0,162250.0
