Year,1,2,3,4,5,6,7,8,9,10,11,12,Annual_PnL,Sharpe_Ratio,Annual_Vol,Hit_Rate,Profit_Factor,Worst_Drawdown
1999,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2010,-276635.0,985740.0,355840.0,368550.0,-155315.0,-693545.0,1053380.0,-382240.0,521120.0,393410.0,549500.0,593120.0,3312925.0,1.3739906990067927,2401639.5723551367,0.6666666666666666,1.7758979061055624,-1659115.0
2011,533120.0,655910.0,594570.0,-173545.0,313965.0,1344065.0,-34435.0,-1894710.0,272785.0,312810.0,-38110.0,374055.0,2260480.0,0.7576521674741271,2983532.6777141336,0.5714285714285714,1.3578520770010132,-2754715.0
2012,0.0,819580.0,1387390.0,850715.0,-1263425.0,370545.0,-86385.0,100500.0,564020.0,321450.0,-40795.0,-1057050.0,1966545.0,0.7806030069850419,2509306.366147773,0.576271186440678,1.3262228931401863,-1768425.0
2013,462650.0,498950.0,268280.0,403710.0,0.0,801945.0,237910.0,798450.0,558045.0,675540.0,176025.0,-98705.0,4782800.0,2.624443143533815,1822405.645092374,0.7441860465116279,3.1144353938482965,-639835.0
2014,1647110.0,0.0,281430.0,815190.0,10580.0,940965.0,859490.0,600920.0,650560.0,112700.0,0.0,141175.0,6060120.0,2.4813154002612547,2442301.3694115374,0.6530612244897959,2.9579311603743257,-1019545.0
2015,-1878260.0,480570.0,206165.0,250640.0,509760.0,230790.0,-834595.0,375265.0,243540.0,407820.0,-78540.0,173070.0,86225.0,0.030206207484897267,2843262.9209165433,0.5087719298245614,1.0109084468509728,-1457625.0
2016,-292685.0,-556220.0,481380.0,0.0,-297260.0,-990290.0,0.0,268515.0,666610.0,239095.0,714110.0,170940.0,404195.0,0.1740198210178963,2322695.182857546,0.5,1.0827674823384867,-1829585.0
2017,493125.0,548275.0,262795.0,-149075.0,574660.0,657940.0,0.0,1495805.0,47955.0,0.0,668255.0,634620.0,5234355.0,2.529171588443383,2077838.0668187332,0.6764705882352942,3.703423467161107,-725750.0
2018,873120.0,-160075.0,520645.0,751360.0,102980.0,348935.0,7140.0,592685.0,0.0,-1997595.0,399070.0,-883545.0,554720.0,0.17034221728962526,3256503.342661288,0.5555555555555556,1.0752982569496008,-3698265.0
2019,615850.0,303690.0,347540.0,-70235.0,-1423025.0,-19680.0,325055.0,-1561620.0,-702085.0,194010.0,1143925.0,0.0,-846575.0,-0.3003997971495128,2818161.0241855416,0.5641025641025641,0.8698788051121649,-3585410.0
2020,-799585.0,-1262035.0,193280.0,0.0,383045.0,1791320.0,210030.0,0.0,724260.0,-1150335.0,280240.0,261620.0,631840.0,0.21093607157008212,2983570.3491166863,0.6511627906976745,1.102885848392205,-3258700.0
2021,286260.0,578570.0,810390.0,0.0,383225.0,558090.0,579295.0,338215.0,616920.0,751280.0,236280.0,1296525.0,6435050.0,2.625596076152061,2441203.76244485,0.7333333333333333,3.5154650055996512,-657890.0
2022,-720910.0,-64355.0,608810.0,448930.0,236510.0,-763280.0,1046790.0,24425.0,-132530.0,1449045.0,503600.0,-293605.0,2343430.0,0.8844718734599594,2660080.489951842,0.5441176470588235,1.3612657860983672,-1316910.0
2023,437380.0,236730.0,292000.0,-285040.0,486400.0,81465.0,332220.0,927285.0,308160.0,288805.0,0.0,545125.0,3650530.0,2.2174153754133727,1652858.5419138537,0.5384615384615384,2.760492094609095,-784520.0
2024,516010.0,1392545.0,398400.0,-89940.0,1408670.0,1434950.0,696520.0,579455.0,-100325.0,0.0,,,6236285.0,2.812104545421021,2739459.380702797,0.6410256410256411,3.604241094265795,-856700.0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Settings: ,byac,byassets,totalsys,filter_assets,filter_ac,start_date,end_date,,,,,,,,,,
,Settings: ,False,False,True,['NQ1 Index'],[],,,,,,,,,,,,
,24102024_1031,,,,,,,,,,,,,,,,,
