,eq-us,fi-us,Total,,,,,,
Total PnL,43112925.0,18844237.5,61957162.5,,,,Settings: ,Settings: ,24102024_1031
Average Ann. PnL,2915850.0,1274489.492753623,4190339.492753623,,,,byac,True,
Average Ann. Vol,2566838.4571370184,1704426.862468518,3077928.1138450005,,,,byassets,False,
Sharpe Ratio (ann.),1.1359694225760744,0.7477525265635527,1.3614156464229374,,,,totalsys,True,
Sortino Ratio (ann.),0.6118729108584222,0.40579222715712926,0.9930301029855817,,,,filter_assets,[],
Max drawdown,6972960.0,2818818.75,3764328.125,,,,filter_ac,[],
Average drawdown,1267799.0345876093,960424.152131783,915448.4097772745,,,,start_date,01012000,
Max drawdown Duration,738.0,717.0,295.0,,,,end_date,,
Avg Drawdown Duration,34.61842105263158,70.95,24.081818181818182,,,,,,
Total Number of Drawdowns,76.0,40.0,110.0,,,,,,
Drawdowns per year,5.140096618357488,2.7053140096618358,7.439613526570048,,,,,,
HWM PnL,43240810.0,20037806.25,62399534.375,,,,,,
Exposure Time,3726.0,3726.0,3726.0,,,,,,
Daily PnL Skew,-0.6499274716322075,0.5795706021454302,-0.38942305356808565,,,,,,
Weekly PnL Skew,-0.9915154105009916,-0.034259505807374274,-0.589396646743604,,,,,,
Monthly PnL Skew,-0.7594504506042552,-0.1739189768416043,-0.4044027061527397,,,,,,
Quarterly PnL Skew,-0.6219276381690357,-0.06726453611267215,-0.2758067281237857,,,,,,
Yearly PnL Skew,-0.615413768585151,0.3946731303309021,-0.09075476314240254,,,,,,
Daily Left Tail,10.511634821974575,17.946409247846294,8.422242358783814,,,,,,
Daily Right Tail,-12.002818641243687,-19.943916128760762,-9.074309651827031,,,,,,
Weekly Left Tail,4.667060977153841,7.123600774911345,3.323823876854978,,,,,,
Weekly Right Tail,-4.576401995059795,-5.456508888354066,1.2832469296013964,,,,,,
Monthly Left Tail,1.8491015718489314,1.782516536370937,1.4624873073296685,,,,,,
Monthly Right Tail,1.0665617348971366,1.2349785571366618,0.8961726044706688,,,,,,
Quarterly Left Tail,1.7230339184725711,1.1506318146008974,1.4660617211613614,,,,,,
Quarterly Right Tail,0.8478281208163917,1.0408344066197626,0.9643078295472385,,,,,,
Yearly Left Tail,1.6910818751108476,0.8157514950111405,1.270087362698089,,,,,,
Yearly Right Tail,0.758845965050016,1.3002478549113379,1.1515344324334136,,,,,,
Num_Trades,,,712.0,,,,,,
Hit Rate (%),,,64.04494382022472,,,,,,
Average Win,,,305881.3980263158,,,,,,
Average Loss,,,-314435.98214285716,,,,,,
W/L ratio,,,0.9727938766478234,,,,,,
Total Wins,,,456.0,,,,,,
Total Losses,,,252.0,,,,,,
Total PnL Winners,,,139481917.5,,,,,,
Total PnL Losers,,,-79237867.5,,,,,,
Profit Factor,,,1.7602936815532044,,,,,,
PnL Skew,,,-0.9020042471829873,,,,,,
Trade EV,,,84612.42977528089,,,,,,
Best Trade,,,1183000.0,,,,,,
Worst Trade,,,-1851470.0,,,,,,
25p Trade,,,-115831.25,,,,,,
50p Trade,,,127890.625,,,,,,
75p Trade,,,330826.25,,,,,,
Pareto Number (%),,,9.831460674157304,,,,,,
