Year,1,2,3,4,5,6,7,8,9,10,11,12,Annual_PnL,Sharpe_Ratio,Annual_Vol,Hit_Rate,Profit_Factor,Worst_Drawdown
2010,103277.5,405490.0,366874.375,776031.25,-512952.5,-478013.75,1327383.125,-382240.0,1107763.75,-372980.6250000001,752175.0,1210323.125,4303131.25,1.518900445045811,2914001.290591079,0.6285714285714286,1.6025427354017716,-1801221.25
2011,931560.625,883747.5,517776.25,-257454.375,725365.0,1376446.25,905033.7500000001,-1821422.5,403031.87500000006,758172.5,-38110.0,-177216.875,4206930.0,1.265396325759643,3324594.764786041,0.5975609756097561,1.5018686927054403,-2575420.0
2012,139115.625,982861.25,1289386.875,1363177.5,-1263425.0,497766.875,689080.625,262818.75000000006,-516111.2500000001,-313800.00000000006,-184620.0,-1522350.0,1423901.25,0.4591004191343096,3089243.927270881,0.5222222222222223,1.1396041496877929,-3364136.25
2013,675878.125,498950.0,-294816.87500000006,921913.125,-39668.75,662348.125,919497.5,798450.0,426904.375,686918.125,735512.5,16863.749999999985,6008750.0,2.692339729078322,2231794.871614139,0.7205882352941176,2.415041922125595,-681896.875
2014,1647110.0,37125.0,99276.875,131986.87500000003,-285904.375,844130.625,1733680.625,1271095.0,1153191.25,-483431.25000000006,369290.625,259528.125,6777079.375,2.3209984370866534,2919898.2932132757,0.618421052631579,2.08268334019954,-1272955.625
2015,-1759838.125,-799761.25,429258.75,384393.125,826010.0,1020211.875,-559354.375,320230.625,666215.0,513763.75,98834.99999999999,766588.7500000001,1906553.125,0.5998925642649249,3165595.733336325,0.5542168674698795,1.1929543637440099,-2333535.625
2016,-292685.0,785264.3750000001,769820.625,338181.25,-6344.375,367316.25,183425.00000000003,629452.5,666610.0,-51476.87500000006,79822.49999999997,-200722.50000000006,3268663.75,1.0421618700209228,3136426.157996337,0.5303030303030303,1.4500321613687535,-1469530.0
2017,1150787.5,669446.875,298201.25,470500.0,727353.75,657940.0,165859.37500000006,2139064.375,1230867.5,639478.125,67036.24999999988,514135.625,8730670.625,3.161987389373021,2772134.450240437,0.6901408450704225,2.842157263150704,-964734.375
2018,-226261.25000000012,287178.12500000006,425048.125,853041.25,-44660.625,112778.75,451093.125,1407613.125,115603.125,-1793407.5,-79189.37500000012,-232688.74999999988,1276148.125,0.3280486685715081,3890118.288109514,0.5517241379310345,1.1061568505853547,-3140053.125
2019,685803.125,136661.875,1366930.625,211261.875,-1463553.125,512685.62500000006,35308.12499999994,-1561620.0,-766228.75,228831.875,1268981.25,124334.37500000003,779396.875,0.25053976010907997,3110871.003710814,0.5571428571428572,1.091675145338152,-3447463.125
2020,109015.0,-862047.5,645895.625,89443.75,599745.0,1481566.875,644633.125,-1765568.75,966672.5,-606110.0,-226619.375,46088.749999999985,1122715.0,0.32216895455308703,3471089.8598396084,0.6351351351351351,1.113835456883255,-2858712.5
2021,327441.25,1471907.5,685952.5,-45478.124999999985,383225.0,1051440.0,1441557.5,-891275.625,459001.25,-44982.50000000007,713783.125,1106018.75,6658590.625,2.2071864028483157,3004853.634664234,0.6375,1.994288165867736,-1090164.375
2022,-428481.875,381557.50000000006,888141.25,202048.75,236510.0,-1054814.375,1628036.875,-35628.125,556895.0000000001,743463.75,593421.875,36120.0,3747270.625,1.1829732553302397,3180291.6702369424,0.5638297872340425,1.3906892327184859,-1834991.25
2023,1033064.375,-721645.0000000001,446275.0,-194290.0,675565.625,113777.5,126416.875,255666.25,460441.25,708180.0,1315531.25,1428596.875,5647580.0,2.313337079865326,2451039.3958908883,0.5942028985507246,2.0893660524301225,-1099140.625
2024,691563.125,1368929.375,678453.125,114969.375,1398701.25,1207937.5,51026.24999999988,899967.5,-96853.12499999994,-214912.5,,,6099781.875,2.3589746664145648,3194194.823876691,0.6129032258064516,2.141761016428259,-982097.5
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Settings: ,byac,byassets,totalsys,filter_assets,filter_ac,start_date,end_date,,,,,,,,,,
,Settings: ,False,False,True,[],[],,,,,,,,,,,,
,24102024_1031,,,,,,,,,,,,,,,,,
