Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
e62d041d18_WN1Com_1,US ULTRA BOND CBT,WN1 Comdty,2010-01-14,2010-01-15,95.0625,96.75,0.0,0.0,232875.0
e62d041d18_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,2010-01-25,2010-01-29,3453.25,3436.25,51567250.0,746.0,-276635.0
e62d041d18_WN1Com_2,US ULTRA BOND CBT,WN1 Comdty,2010-01-28,2010-01-29,98.0625,98.375,36900462.5,375.0,112500.0
e62d041d18_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,2010-02-01,2010-02-03,3398.5,3427.5,50444150.0,734.0,424560.0
e62d041d18_WN1Com_3,US ULTRA BOND CBT,WN1 Comdty,2010-02-04,2010-02-05,97.34375,98.5625,34283803.125,353.0,359531.25
e62d041d18_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,2010-02-09,2010-02-12,3392.5,3431.75,47569860.0,701.0,561180.0
e62d041d18_WN1Com_4,US ULTRA BOND CBT,WN1 Comdty,2010-02-11,2010-02-12,98.03125,96.84375,31506921.875000004,324.0,-357437.5
e62d041d18_WN1Com_5,US ULTRA BOND CBT,WN1 Comdty,2010-02-16,2010-02-17,97.15625,96.4375,33023718.750000004,341.0,-229281.25
e62d041d18_WN1Com_6,US ULTRA BOND CBT,WN1 Comdty,2010-02-19,2010-02-22,96.4375,95.46875,32874187.500000004,346.0,-300312.5
e62d041d18_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,2010-02-26,2010-03-01,3471.5,3479.75,55968640.0,806.0,135960.0
e62d041d18_WN1Com_7,US ULTRA BOND CBT,WN1 Comdty,2010-03-04,2010-03-05,98.34375,98.90625,35299687.5,359.0,187312.5
e62d041d18_WN1Com_8,US ULTRA BOND CBT,WN1 Comdty,2010-03-10,2010-03-11,96.46875,96.40625,34979896.875,362.0,-21187.5
e62d041d18_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,2010-03-16,2010-03-17,3578.25,3589.75,67199535.0,939.0,219880.0
e62d041d18_WN1Com_9,US ULTRA BOND CBT,WN1 Comdty,2010-03-25,2010-03-26,96.09375,95.625,35316325.0,367.0,-156093.75
e62d041d18_WN1Com_10,US ULTRA BOND CBT,WN1 Comdty,2010-04-06,2010-04-07,94.375,94.15625,36524468.75,388.0,-79187.5
e62d041d18_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,2010-04-14,2010-04-15,3671.0,3687.25,87314000.0,1192.0,368550.0
e62d041d18_WN1Com_11,US ULTRA BOND CBT,WN1 Comdty,2010-04-27,2010-04-28,97.875,99.25,39562565.625,406.0,449625.0
e62d041d18_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,2010-05-07,2010-05-11,3545.25,3601.0,41289990.0,582.0,646155.0
e62d041d18_WN1Com_12,US ULTRA BOND CBT,WN1 Comdty,2010-05-12,2010-05-13,103.09375,101.5,22711115.625,221.0,-325125.0
e62d041d18_NQ1Ind_8,NASDAQ 100 E-MINI,NQ1 Index,2010-05-19,2010-05-25,3547.5,3471.0,36060380.0,508.0,-801470.0
e62d041d18_NQ1Ind_9,NASDAQ 100 E-MINI,NQ1 Index,2010-06-09,2010-06-14,3455.75,3511.25,32801125.0,475.0,537580.0
e62d041d18_WN1Com_13,US ULTRA BOND CBT,WN1 Comdty,2010-06-17,2010-06-18,108.375,109.3125,24764540.625000004,230.0,195937.5
e62d041d18_NQ1Ind_10,NASDAQ 100 E-MINI,NQ1 Index,2010-06-24,2010-06-30,3533.0,3427.0,39328660.0,556.0,-1231125.0
e62d041d18_NQ1Ind_11,NASDAQ 100 E-MINI,NQ1 Index,2010-07-01,2010-07-08,3399.25,3451.5,36600360.0,534.0,598865.0
e62d041d18_WN1Com_14,US ULTRA BOND CBT,WN1 Comdty,2010-07-12,2010-07-13,111.28125,111.25,30218134.375000004,272.0,-7906.25
e62d041d18_WN1Com_15,US ULTRA BOND CBT,WN1 Comdty,2010-07-14,2010-07-15,110.0,111.78125,30838500.000000004,277.0,445312.5
e62d041d18_NQ1Ind_12,NASDAQ 100 E-MINI,NQ1 Index,2010-07-19,2010-07-21,3463.5,3502.75,39154500.0,565.0,454515.0
e62d041d18_WN1Com_16,US ULTRA BOND CBT,WN1 Comdty,2010-07-27,2010-07-28,111.28125,110.5625,32479425.000000004,290.0,-188312.5
e62d041d18_NQ1Ind_13,NASDAQ 100 E-MINI,NQ1 Index,2010-08-02,2010-08-03,3531.75,3556.75,44488655.0,631.0,312000.0
e62d041d18_NQ1Ind_14,NASDAQ 100 E-MINI,NQ1 Index,2010-08-13,2010-08-18,3493.0,3503.0,43767735.0,627.0,133630.0
e62d041d18_NQ1Ind_15,NASDAQ 100 E-MINI,NQ1 Index,2010-08-23,2010-08-27,3487.75,3429.0,48559920.0,696.0,-827870.0
e62d041d18_WN1Com_17,US ULTRA BOND CBT,WN1 Comdty,2010-09-07,2010-09-08,118.40625,120.9375,24571181.250000004,208.0,468281.25
e62d041d18_WN1Com_18,US ULTRA BOND CBT,WN1 Comdty,2010-09-13,2010-09-14,116.4375,116.75,23637796.875000004,204.0,58750.0
e62d041d18_WN1Com_19,US ULTRA BOND CBT,WN1 Comdty,2010-09-20,2010-09-21,116.375,116.40625,25176318.750000004,218.0,6281.25
e62d041d18_NQ1Ind_16,NASDAQ 100 E-MINI,NQ1 Index,2010-09-22,2010-09-27,3651.0,3684.25,55130100.0,755.0,521120.0
e62d041d18_WN1Com_20,US ULTRA BOND CBT,WN1 Comdty,2010-10-12,2010-10-13,119.65625,117.8125,31531500.000000004,264.0,-444343.75
e62d041d18_WN1Com_21,US ULTRA BOND CBT,WN1 Comdty,2010-10-14,2010-10-15,117.84375,115.96875,31880062.500000004,271.0,-457500.0
e62d041d18_WN1Com_22,US ULTRA BOND CBT,WN1 Comdty,2010-10-18,2010-10-19,114.59375,115.03125,30360618.750000004,262.0,101937.5
e62d041d18_NQ1Ind_17,NASDAQ 100 E-MINI,NQ1 Index,2010-10-21,2010-10-26,3750.5,3774.75,59763045.0,797.0,393410.0
e62d041d18_WN1Com_23,US ULTRA BOND CBT,WN1 Comdty,2010-10-25,2010-10-26,115.71875,116.125,31863665.625000004,276.0,103187.5
e62d041d18_WN1Com_24,US ULTRA BOND CBT,WN1 Comdty,2010-10-29,2010-11-01,113.09375,113.875,31927431.250000004,283.0,198437.5
e62d041d18_WN1Com_25,US ULTRA BOND CBT,WN1 Comdty,2010-11-08,2010-11-09,112.53125,112.65625,28777684.375000004,256.0,29875.0
e62d041d18_WN1Com_26,US ULTRA BOND CBT,WN1 Comdty,2010-11-10,2010-11-11,109.84375,109.65625,28625953.125000004,254.0,-44062.5
e62d041d18_NQ1Ind_18,NASDAQ 100 E-MINI,NQ1 Index,2010-11-24,2010-11-26,3782.75,3822.0,55707840.0,736.0,549500.0
e62d041d18_NQ1Ind_19,NASDAQ 100 E-MINI,NQ1 Index,2010-12-01,2010-12-02,3780.5,3824.5,53787150.0,711.0,593120.0
e62d041d18_WN1Com_27,US ULTRA BOND CBT,WN1 Comdty,2010-12-06,2010-12-07,108.78125,109.375,25638078.125000004,237.0,127656.25
e62d041d18_WN1Com_28,US ULTRA BOND CBT,WN1 Comdty,2010-12-17,2010-12-20,103.84375,106.125,23807437.500000004,231.0,433437.5
