Year,1,2,3,4,5,6,7,8,9,10,11,12,Annual_PnL,Sharpe_Ratio,Annual_Vol,Hit_Rate,Profit_Factor,Worst_Drawdown
2010,379912.50000000006,-580250.0,11034.37500000003,407481.25000000006,-357637.5,215531.25000000003,274003.125,0.0,586643.7500000001,-766390.6250000001,202675.00000000003,617203.125,990206.2500000001,0.6431850829913637,1583522.199249346,0.5714285714285714,1.3448003447285264,-1051806.25
2011,398440.625,227837.5,-76793.74999999999,-83909.37500000003,411400.00000000006,32381.250000000004,939468.7500000001,73287.5,130246.87500000006,445362.5,0.0,-551271.875,1946450.0,1.3167773976166708,1478192.140541764,0.6296296296296297,1.942257130495557,-551271.875
2012,139115.625,163281.25000000003,-98003.12500000006,512462.5,0.0,127221.875,775465.625,162318.75000000006,-1080131.25,-635250.0000000001,-143825.0,-465300.00000000006,-542643.7500000002,-0.30035256045470987,1799548.2116923067,0.41935483870967744,0.8699113293997429,-2324506.25
2013,213228.12500000003,0.0,-563096.875,518203.12500000006,-39668.75,-139596.87499999994,681587.5,0.0,-131140.625,11378.125000000002,559487.5,115568.74999999999,1225950.0,0.9384774054685185,1306318.0774053542,0.68,1.6178044935645366,-681896.875
2014,0.0,37125.0,-182153.12500000003,-683203.125,-296484.375,-96834.375,874190.625,670175.0,502631.25,-596131.25,369290.625,118353.12500000001,716959.375,0.44501685817120207,1611083.6293850674,0.5555555555555556,1.2265735329263259,-1757387.5
2015,118421.87500000001,-1280331.25,223093.75,133753.125,316250.0,789421.875,275240.625,-55034.375,422675.00000000006,105943.75,177375.0,593518.7500000001,1820328.1250000002,1.3023939888672156,1392154.1159376234,0.6538461538461539,1.921020592736886,-1417487.5
2016,0.0,1341484.375,288440.625,338181.25,290915.625,1357606.25,183425.00000000003,360937.50000000006,0.0,-290571.87500000006,-634287.5,-371662.50000000006,2864468.75,1.3600244163166881,2106189.209277398,0.6190476190476191,2.2037210914816474,-1320859.375
2017,657662.5000000001,121171.875,35406.25,619575.0,152693.74999999997,0.0,165859.37500000006,643259.375,1182912.5000000002,639478.125,-601218.7500000001,-120484.37499999994,3496315.625,1.8724811629439093,1874649.1226666933,0.7027027027027027,2.2472684464174035,-875703.125
2018,-1099381.25,447253.12500000006,-95596.875,101681.25,-147640.625,-236156.25,443953.125,814928.125,115603.125,204187.50000000003,-478259.3750000001,650856.2500000001,721428.125,0.3389043214507651,2128707.364697345,0.5454545454545454,1.155,-1215328.125
2019,69953.12499999997,-167028.125,1019390.625,281496.875,-40528.125,532365.625,-289746.87500000006,0.0,-64143.75,34821.875,125056.25,124334.37500000003,1625971.875,1.2381665878119918,1313209.2975253942,0.5483870967741935,1.8147478296816866,-629646.875
2020,908600.0,399987.50000000006,452615.62500000006,89443.75,216700.00000000006,-309753.125,434603.12500000006,-1765568.75,242412.50000000003,544225.0,-506859.375,-215531.25,490875.0,0.27551745376682674,1774605.4775262484,0.6129032258064516,1.131904673933124,-1831396.875
2021,41181.25000000003,893337.5,-124437.5,-45478.124999999985,0.0,493350.00000000006,862262.5,-1229490.625,-157918.75,-796262.5000000001,477503.125,-190506.25000000003,223540.62500000023,0.12684920143524944,1755289.4515543915,0.5142857142857142,1.054012973745193,-2183671.875
2022,292428.125,445912.50000000006,279331.25,-246881.25000000003,0.0,-291534.37500000006,581246.875,-60053.125,689425.0000000001,-705581.25,89821.875,329725.0,1403840.625,0.8158270718854975,1727613.1966060386,0.6071428571428571,1.4521639965012898,-783990.6250000001
2023,595684.375,-958375.0000000001,154275.0,90750.0,189165.625,32312.5,-205803.125,-671618.75,152281.25,419375.0,1315531.25,883471.875,1997050.0,1.0980385818968028,1825989.0021700794,0.6451612903225806,1.6415902816123689,-1510059.3750000002
2024,175553.12500000003,-23615.625000000004,280053.125,204909.375,-9968.75,-227012.50000000003,-645493.7500000001,320512.5,3471.875000000058,-214912.5,,,-136503.12500000012,-0.10258404140669376,1643740.1474995753,0.56,0.9541216567500433,-1676640.625
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Settings: ,byac,byassets,totalsys,filter_assets,filter_ac,start_date,end_date,,,,,,,,,,
,Settings: ,False,False,True,['WN1 Comdty'],[],,,,,,,,,,,,
,24102024_1031,,,,,,,,,,,,,,,,,
