Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
e62d041d18_WN1Com_1,US ULTRA BOND CBT,WN1 Comdty,2010-01-14,2010-01-15,95.0625,96.75,0.0,0.0,232875.0
e62d041d18_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,2010-01-25,2010-01-29,3453.25,3436.25,50530375.0,731.0,-289550.0
e62d041d18_WN1Com_2,US ULTRA BOND CBT,WN1 Comdty,2010-01-28,2010-01-29,98.0625,98.375,39064712.5,397.0,120312.5
e62d041d18_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,2010-02-01,2010-02-03,3398.5,3427.5,50237975.0,731.0,418180.0
e62d041d18_WN1Com_3,US ULTRA BOND CBT,WN1 Comdty,2010-02-04,2010-02-05,97.34375,98.5625,34604212.5,356.0,351000.0
e62d041d18_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,2010-02-09,2010-02-12,3392.5,3431.75,46009080.0,678.0,553055.0
e62d041d18_WN1Com_4,US ULTRA BOND CBT,WN1 Comdty,2010-02-11,2010-02-12,98.03125,96.84375,31079709.375000004,320.0,-356250.0
e62d041d18_WN1Com_5,US ULTRA BOND CBT,WN1 Comdty,2010-02-16,2010-02-17,97.15625,96.4375,33130246.875000004,342.0,-232875.0
e62d041d18_WN1Com_6,US ULTRA BOND CBT,WN1 Comdty,2010-02-19,2010-02-22,96.4375,95.46875,33500362.500000004,353.0,-300312.5
e62d041d18_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,2010-02-26,2010-03-01,3471.5,3479.75,62357120.0,898.0,155100.0
e62d041d18_WN1Com_7,US ULTRA BOND CBT,WN1 Comdty,2010-03-04,2010-03-05,98.34375,98.90625,36274218.75,369.0,195750.0
e62d041d18_WN1Com_8,US ULTRA BOND CBT,WN1 Comdty,2010-03-10,2010-03-11,96.46875,96.40625,36149437.5,374.0,-22312.5
