Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
f1340b9ab6_US1Com_1,US LONG BOND(CBT),US1 Comdty,1999-06-25,1999-06-28,30.119791666666668,30.1875,17088500.0,572.0,35005.208333332725
f1340b9ab6_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,1999-07-21,1999-07-27,4675.875,4561.5,0.0,0.0,-1051090.0
f1340b9ab6_US1Com_2,US LONG BOND(CBT),US1 Comdty,1999-08-02,1999-08-03,31.424479166666668,31.3125,0.0,0.0,0.0
f1340b9ab6_US1Com_3,US LONG BOND(CBT),US1 Comdty,1999-08-11,1999-08-12,30.125,30.28125,23365237.500000004,782.0,109062.5
f1340b9ab6_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,1999-08-20,1999-08-25,4609.208333333333,4721.5,34925800.0,380.0,867555.0000000023
f1340b9ab6_US1Com_4,US LONG BOND(CBT),US1 Comdty,1999-08-24,1999-08-25,31.5234375,31.875,22766390.625,725.0,227460.9375
f1340b9ab6_US1Com_5,US LONG BOND(CBT),US1 Comdty,1999-09-03,1999-09-07,30.065104166666668,31.125,16611031.250000002,557.0,493911.4583333328
f1340b9ab6_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,1999-09-27,1999-09-28,4725.958333333333,4727.5,30942450.0,329.0,10236.66666666868
f1340b9ab6_US1Com_6,US LONG BOND(CBT),US1 Comdty,1999-09-30,1999-10-01,30.106770833333332,30.6875,16464112.500000002,551.0,279911.4583333339
f1340b9ab6_US1Com_7,US LONG BOND(CBT),US1 Comdty,1999-10-08,1999-10-11,29.567708333333332,29.34375,15816281.250000002,539.0,-111083.33333333275
f1340b9ab6_US1Com_8,US LONG BOND(CBT),US1 Comdty,1999-10-13,1999-10-14,29.1796875,28.375,16315200.000000002,563.0,-413609.375
f1340b9ab6_US1Com_9,US LONG BOND(CBT),US1 Comdty,1999-10-15,1999-10-18,28.2421875,28.75,16074437.500000002,566.0,255429.6875
f1340b9ab6_US1Com_10,US LONG BOND(CBT),US1 Comdty,1999-10-21,1999-10-22,28.111979166666668,27.6875,15594012.500000002,559.0,-216484.3750000006
f1340b9ab6_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,1999-10-28,1999-10-29,4769.333333333333,4836.5,34042220.0,358.0,456733.3333333354
f1340b9ab6_US1Com_11,US LONG BOND(CBT),US1 Comdty,1999-11-23,1999-11-24,30.486979166666668,30.125,21729159.375,716.0,-234924.47916666744
f1340b9ab6_US1Com_12,US LONG BOND(CBT),US1 Comdty,1999-12-21,1999-12-22,27.479166666666668,27.09375,0.0,0.0,0.0
f1340b9ab6_US1Com_13,US LONG BOND(CBT),US1 Comdty,1999-12-23,1999-12-27,27.28125,26.9375,0.0,0.0,0.0
f1340b9ab6_US1Com_14,US LONG BOND(CBT),US1 Comdty,2000-01-04,2000-01-05,26.078125,26.65625,16536712.500000002,639.0,342828.125
f1340b9ab6_US1Com_15,US LONG BOND(CBT),US1 Comdty,2000-01-12,2000-01-13,25.846354166666668,25.40625,15427912.500000002,603.0,-241177.083333334
f1340b9ab6_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,2000-01-27,2000-02-02,5940.583333333333,5955.0,12958000.0,110.0,13423.333333334012
f1340b9ab6_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,2000-02-22,2000-02-24,6230.666666666667,6425.0,17365600.0,140.0,601993.3333333324
f1340b9ab6_US1Com_16,US LONG BOND(CBT),US1 Comdty,2000-02-28,2000-02-29,31.239583333333332,30.46875,0.0,0.0,0.0
f1340b9ab6_US1Com_17,US LONG BOND(CBT),US1 Comdty,2000-03-01,2000-03-02,31.333333333333332,30.90625,0.0,0.0,0.0
f1340b9ab6_US1Com_18,US LONG BOND(CBT),US1 Comdty,2000-03-13,2000-03-14,30.8203125,30.84375,0.0,0.0,0.0
