Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
f17b46bd7a_WN1Com_1,US ULTRA BOND CBT,WN1 Comdty,2010-01-28,2010-01-29,97.44166666666666,98.375,0.0,0.0,0.0
f17b46bd7a_WN1Com_2,US ULTRA BOND CBT,WN1 Comdty,2010-02-11,2010-02-12,95.83541666666666,96.84375,0.0,0.0,303508.33333333535
f17b46bd7a_WN1Com_3,US ULTRA BOND CBT,WN1 Comdty,2010-03-25,2010-03-26,94.925,95.625,44063700.0,458.0,258300.00000000105
f17b46bd7a_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,2010-06-29,2010-07-06,3473.0,3385.0,40798340.0,583.0,-894660.0
f17b46bd7a_WN1Com_4,US ULTRA BOND CBT,WN1 Comdty,2010-07-13,2010-07-14,110.18333333333334,110.0,37914000.0,341.0,-55000.000000001135
f17b46bd7a_WN1Com_5,US ULTRA BOND CBT,WN1 Comdty,2010-07-27,2010-07-28,110.60208333333334,110.5625,39055837.5,349.0,-11083.333333335191
f17b46bd7a_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,2010-08-24,2010-08-30,3445.9666666666667,3453.75,59518650.0,857.0,122179.66666666616
f17b46bd7a_WN1Com_6,US ULTRA BOND CBT,WN1 Comdty,2010-10-12,2010-10-13,118.5875,117.8125,39987675.0,335.0,-212350.00000000157
f17b46bd7a_WN1Com_7,US ULTRA BOND CBT,WN1 Comdty,2010-10-14,2010-10-15,116.53333333333333,115.96875,39726375.0,337.0,-163164.5833333328
f17b46bd7a_WN1Com_8,US ULTRA BOND CBT,WN1 Comdty,2011-02-04,2011-02-07,101.00208333333333,101.09375,35081475.0,343.0,27866.666666667243
f17b46bd7a_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,2011-04-05,2011-04-11,3992.266666666667,3992.25,52932000.0,660.0,-490.00000000292493
f17b46bd7a_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,2011-04-18,2011-04-20,3958.7166666666667,3983.25,77117865.0,969.0,458088.6666666661
f17b46bd7a_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,2011-05-03,2011-05-09,4052.5333333333333,4047.5,82397040.0,1012.0,-100330.66666666607
f17b46bd7a_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,2011-08-02,2011-08-08,3975.133333333333,3818.0,47022300.0,585.0,-1626083.9999999986
f17b46bd7a_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,2011-09-22,2011-09-27,3874.766666666667,3904.5,33428220.0,426.0,249529.33333333154
f17b46bd7a_WN1Com_9,US ULTRA BOND CBT,WN1 Comdty,2011-10-07,2011-10-10,140.39375,141.59375,20107912.5,140.0,139199.9999999987
f17b46bd7a_WN1Com_10,US ULTRA BOND CBT,WN1 Comdty,2011-10-12,2011-10-13,136.70208333333332,137.1875,18711000.0,134.0,54366.666666668156
