Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
1a1d0467f0_RTY1In_1,E-Mini Russ 2000 ,RTY1 Index,2017-07-14,2017-07-20,1586.8,1601.8,0.0,0.0,0.0
1a1d0467f0_ES1Ind_1,S&P500 EMINI FUT ,ES1 Index,2017-07-31,2017-08-04,2833.2,2833.45,102411142.5,723.0,10775.0
1a1d0467f0_ES1Ind_2,S&P500 EMINI FUT ,ES1 Index,2017-08-10,2017-08-18,2836.7,2789.45,165179525.0,1165.0,-1774150.0
1a1d0467f0_RTY1In_2,E-Mini Russ 2000 ,RTY1 Index,2017-08-28,2017-09-01,1536.7,1569.7,40722550.0,530.0,856720.0
1a1d0467f0_ES1Ind_3,S&P500 EMINI FUT ,ES1 Index,2017-09-08,2017-09-14,2829.45,2859.2,58994032.49999999,417.0,635912.5
1a1d0467f0_RTY1In_3,E-Mini Russ 2000 ,RTY1 Index,2017-09-15,2017-09-21,1587.8,1608.7,53943155.00000001,679.0,772730.0000000037
1a1d0467f0_RTY1In_4,E-Mini Russ 2000 ,RTY1 Index,2017-09-26,2017-10-02,1616.3,1657.3,91465600.0,1132.0,2205640.0000000014
1a1d0467f0_ES1Ind_4,S&P500 EMINI FUT ,ES1 Index,2017-10-09,2017-10-13,2907.95,2912.7,129772620.0,892.0,200700.0
1a1d0467f0_ES1Ind_5,S&P500 EMINI FUT ,ES1 Index,2017-10-18,2017-10-24,2921.2,2927.2,182898420.0,1252.0,419075.0
1a1d0467f0_RTY1In_5,E-Mini Russ 2000 ,RTY1 Index,2017-10-27,2017-11-02,1661.9,1650.9,81350005.0,979.0,-594069.9999999995
1a1d0467f0_ES1Ind_6,S&P500 EMINI FUT ,ES1 Index,2017-10-31,2017-11-06,2932.7,2944.7,123477195.0,842.0,513287.5
1a1d0467f0_ES1Ind_7,S&P500 EMINI FUT ,ES1 Index,2017-11-08,2017-11-21,2948.7,2946.7,139308440.0,944.0,54250.0
1a1d0467f0_RTY1In_6,E-Mini Russ 2000 ,RTY1 Index,2017-11-24,2017-11-30,1675.1,1704.1,53976635.0,643.0,912454.9999999998
1a1d0467f0_ES1Ind_8,S&P500 EMINI FUT ,ES1 Index,2017-11-28,2017-12-13,2966.95,3030.45,109462005.0,738.0,2480600.0
1a1d0467f0_ES1Ind_9,S&P500 EMINI FUT ,ES1 Index,2018-01-18,2018-01-24,3165.95,3199.7,90085502.49999999,569.0,994150.0
1a1d0467f0_RTY1In_7,E-Mini Russ 2000 ,RTY1 Index,2018-02-09,2018-02-15,1623.7,1681.4,18997290.0,234.0,676225.0000000005
1a1d0467f0_ES1Ind_10,S&P500 EMINI FUT ,ES1 Index,2018-02-14,2018-02-21,3025.2,3077.2,19961370.0,132.0,338975.0
1a1d0467f0_ES1Ind_11,S&P500 EMINI FUT ,ES1 Index,2018-02-28,2018-03-01,3109.2,3080.95,19594259.999999996,126.0,-176562.5
1a1d0467f0_RTY1In_8,E-Mini Russ 2000 ,RTY1 Index,2018-03-21,2018-04-02,1732.7,1684.3,37703625.0,435.0,-504985.0000000034
1a1d0467f0_ES1Ind_12,S&P500 EMINI FUT ,ES1 Index,2018-03-28,2018-04-09,2970.7,2965.45,29142259.999999996,196.0,-344300.0
1a1d0467f0_RTY1In_9,E-Mini Russ 2000 ,RTY1 Index,2018-04-09,2018-04-13,1674.0,1715.1,25919100.0,310.0,635229.9999999986
1a1d0467f0_RTY1In_10,E-Mini Russ 2000 ,RTY1 Index,2018-04-25,2018-05-01,1713.1,1699.8,29559600.0,345.0,-267869.9999999992
1a1d0467f0_ES1Ind_13,S&P500 EMINI FUT ,ES1 Index,2018-04-30,2018-05-01,3028.45,3004.2,31657752.499999996,209.0,-257050.0
1a1d0467f0_RTY1In_11,E-Mini Russ 2000 ,RTY1 Index,2018-05-03,2018-05-09,1709.4,1745.9,41535990.0,486.0,958330.0
1a1d0467f0_ES1Ind_14,S&P500 EMINI FUT ,ES1 Index,2018-05-15,2018-05-16,3086.45,3069.2,50040990.0,324.0,-276862.5
1a1d0467f0_RTY1In_12,E-Mini Russ 2000 ,RTY1 Index,2018-05-21,2018-05-23,1790.5,1782.6,64837495.00000001,727.0,-285400.0000000033
