Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
1e0811491d_SFR8Co_1,3 MONTH SOFR FUT ,SFR8 Comdty,1997-09-12,1997-09-18,83.34500000000001,83.59500000000001,704265250.0000001,3380.0,1939125.0000000023
1e0811491d_ES1Ind_1,S&P500 EMINI FUT ,ES1 Index,1997-09-18,1997-09-24,1460.7,1466.45,0.0,0.0,0.0
1e0811491d_SFR8Co_2,3 MONTH SOFR FUT ,SFR8 Comdty,1997-09-26,1997-10-02,83.545,83.635,527732362.5000001,2527.0,590100.0000000237
1e0811491d_ES1Ind_2,S&P500 EMINI FUT ,ES1 Index,1997-10-07,1997-10-13,1486.45,1481.7,0.0,0.0,-46437.5
1e0811491d_SFR8Co_3,3 MONTH SOFR FUT ,SFR8 Comdty,1997-10-13,1997-10-20,83.62500000000001,83.495,439395562.5,2103.0,-889175.0000000324
1e0811491d_SFR8Co_4,3 MONTH SOFR FUT ,SFR8 Comdty,1997-10-27,1997-10-31,83.72500000000001,83.73500000000001,483561562.50000006,2313.0,36500.000000023225
1e0811491d_ES1Ind_3,S&P500 EMINI FUT ,ES1 Index,1997-11-05,1997-11-10,1446.45,1434.95,20112605.0,278.0,-160975.0
1e0811491d_SFR8Co_5,3 MONTH SOFR FUT ,SFR8 Comdty,1997-11-11,1997-11-17,83.665,83.69500000000001,478259775.0,2286.0,166900.00000000643
1e0811491d_ES1Ind_4,S&P500 EMINI FUT ,ES1 Index,1997-12-01,1997-12-05,1460.45,1482.45,36206760.0,496.0,556125.0
1e0811491d_ES1Ind_5,S&P500 EMINI FUT ,ES1 Index,1998-01-02,1998-01-07,1473.2,1464.7,50006652.5,679.0,-287150.0
1e0811491d_SFR8Co_6,3 MONTH SOFR FUT ,SFR8 Comdty,1998-01-26,1998-01-28,84.135,84.075,390550312.50000006,1857.0,-281425.0000000084
1e0811491d_ES1Ind_6,S&P500 EMINI FUT ,ES1 Index,1998-02-02,1998-02-06,1481.95,1502.95,39783645.0,537.0,542062.5
1e0811491d_ES1Ind_7,S&P500 EMINI FUT ,ES1 Index,1998-03-02,1998-03-06,1543.2,1532.45,76295830.0,988.0,-609400.0
1e0811491d_SFR8Co_7,3 MONTH SOFR FUT ,SFR8 Comdty,1998-03-30,1998-04-03,83.935,84.06500000000001,841977562.5,4013.0,1328525.000000095
1e0811491d_SFR8Co_8,3 MONTH SOFR FUT ,SFR8 Comdty,1998-04-08,1998-04-09,84.105,84.105,665060287.5,3163.0,0.0
1e0811491d_SFR8Co_9,3 MONTH SOFR FUT ,SFR8 Comdty,1998-04-27,1998-05-05,83.915,83.94500000000001,605459750.0,2884.0,521000.00000007777
