Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
1ef5cc3b39_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,2017-07-31,2017-08-04,7708.0,7687.0,55345235.0,359.0,-212100.0
1ef5cc3b39_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,2017-08-10,2017-08-18,7720.5,7590.25,98822400.0,640.0,-1659750.0
1ef5cc3b39_RTY1In_1,E-Mini Russ 2000 ,RTY1 Index,2017-08-28,2017-09-01,1536.7,1569.7,40722550.0,530.0,856720.0
1ef5cc3b39_RTY1In_2,E-Mini Russ 2000 ,RTY1 Index,2017-09-06,2017-09-08,1565.8,1560.9,39846300.0,510.0,-125154.99999999651
1ef5cc3b39_RTY1In_3,E-Mini Russ 2000 ,RTY1 Index,2017-09-15,2017-09-21,1587.8,1608.7,53943155.00000001,679.0,772730.0000000037
1ef5cc3b39_RTY1In_4,E-Mini Russ 2000 ,RTY1 Index,2017-09-26,2017-10-02,1616.3,1657.3,91465600.0,1132.0,2205640.0000000014
1ef5cc3b39_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,2017-10-09,2017-10-13,7853.5,7864.0,72896720.0,464.0,114550.0
1ef5cc3b39_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,2017-10-31,2017-11-06,8012.75,8076.25,73579995.0,459.0,576760.0
1ef5cc3b39_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,2017-11-08,2017-11-14,8101.5,8101.75,74584400.0,460.0,3300.0
1ef5cc3b39_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,2017-11-28,2017-11-30,8204.25,8097.5,66946680.0,408.0,-1192295.0
1ef5cc3b39_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,2017-12-13,2017-12-19,8177.25,8308.0,56741440.0,347.0,893705.0
