Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
32300ab616_CN1Com_1,CAN 10YR BOND FUT,CN1 Comdty,1997-09-12,1997-09-18,55.24,57.56,55399444.73600002,1396.0,2168929.985
32300ab616_CN1Com_2,CAN 10YR BOND FUT,CN1 Comdty,1997-10-07,1997-10-09,59.66,58.49,46215923.44,1063.0,-871780.599999996
32300ab616_ES1Ind_1,S&P500 EMINI FUT ,ES1 Index,1997-10-09,1997-10-15,1487.2,1480.7,0.0,0.0,-244200.0
32300ab616_CN1Com_3,CAN 10YR BOND FUT,CN1 Comdty,1997-10-16,1997-10-20,58.13,57.88,0.0,0.0,0.0
32300ab616_CN1Com_4,CAN 10YR BOND FUT,CN1 Comdty,1997-10-27,1997-10-31,59.26,59.63,0.0,0.0,0.0
32300ab616_ES1Ind_2,S&P500 EMINI FUT ,ES1 Index,1997-11-05,1997-11-10,1446.45,1434.95,20112605.0,278.0,-160975.0
32300ab616_CN1Com_5,CAN 10YR BOND FUT,CN1 Comdty,1997-11-11,1997-11-17,59.46,59.46,0.0,0.0,-171811.154999996
32300ab616_CN1Com_6,CAN 10YR BOND FUT,CN1 Comdty,1997-11-26,1997-12-05,59.47,58.59,66938940.054,1593.0,-619504.4279999936
32300ab616_ES1Ind_3,S&P500 EMINI FUT ,ES1 Index,1997-12-09,1997-12-10,1489.7,1483.95,0.0,0.0,0.0
32300ab616_CN1Com_7,CAN 10YR BOND FUT,CN1 Comdty,1997-12-12,1997-12-17,57.35,58.01,45161656.84,1124.0,462375.8639999976
32300ab616_ES1Ind_4,S&P500 EMINI FUT ,ES1 Index,1997-12-18,1997-12-19,1469.2,1457.95,0.0,0.0,0.0
32300ab616_CN1Com_8,CAN 10YR BOND FUT,CN1 Comdty,1998-01-07,1998-01-13,60.41,61.87,0.0,0.0,0.0
32300ab616_ES1Ind_5,S&P500 EMINI FUT ,ES1 Index,1998-01-16,1998-01-22,1448.95,1471.2,36296197.5,501.0,544950.0
32300ab616_ES1Ind_6,S&P500 EMINI FUT ,ES1 Index,1998-02-02,1998-02-06,1481.95,1502.95,39783645.0,537.0,542062.5
32300ab616_ES1Ind_7,S&P500 EMINI FUT ,ES1 Index,1998-02-10,1998-02-16,1508.7,1516.45,57566442.50000001,763.0,307887.5
