Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
3a8a2b7188_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,2002-04-09,2002-04-12,3350.5,3275.0,36270640.0,542.0,-844680.0
3a8a2b7188_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,2002-04-16,2002-04-19,3307.0,3316.5,35892300.0,543.0,93630.0
3a8a2b7188_DM1Ind_1,DJIA MINI e-CBOT ,DM1 Index,2002-04-24,2002-04-25,10174.0,10074.0,0.0,0.0,0.0
3a8a2b7188_DM1Ind_2,DJIA MINI e-CBOT ,DM1 Index,2002-05-06,2002-05-07,10063.0,9859.0,0.0,0.0,-521220.0
3a8a2b7188_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,2002-05-28,2002-05-29,3204.5,3196.0,23528370.0,367.0,-62390.0
3a8a2b7188_DM1Ind_3,DJIA MINI e-CBOT ,DM1 Index,2002-05-30,2002-06-04,9999.0,9759.0,0.0,0.0,0.0
3a8a2b7188_DM1Ind_4,DJIA MINI e-CBOT ,DM1 Index,2002-06-20,2002-06-21,9656.0,9501.0,0.0,0.0,0.0
3a8a2b7188_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,2002-06-25,2002-07-01,3003.5,2992.0,34751580.0,579.0,-130830.0
3a8a2b7188_DM1Ind_5,DJIA MINI e-CBOT ,DM1 Index,2002-07-09,2002-07-10,9376.0,9177.0,0.0,0.0,0.0
3a8a2b7188_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,2002-07-11,2002-07-17,2904.0,2943.5,26046490.0,449.0,347240.0
3a8a2b7188_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,2002-07-23,2002-07-24,2882.0,2837.0,27772840.0,482.0,-429300.0
3a8a2b7188_DM1Ind_6,DJIA MINI e-CBOT ,DM1 Index,2002-07-26,2002-08-01,8251.0,8768.0,0.0,0.0,0.0
3a8a2b7188_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,2002-08-06,2002-08-12,2799.5,2875.0,27184250.0,485.0,711220.0
3a8a2b7188_DM1Ind_7,DJIA MINI e-CBOT ,DM1 Index,2002-09-05,2002-09-11,8370.0,8720.0,0.0,0.0,0.0
3a8a2b7188_NQ1Ind_8,NASDAQ 100 E-MINI,NQ1 Index,2002-09-16,2002-09-18,2863.0,2823.0,41857060.0,731.0,-589760.0
3a8a2b7188_NQ1Ind_9,NASDAQ 100 E-MINI,NQ1 Index,2002-09-20,2002-09-24,2809.5,2784.5,45288840.0,807.0,-412980.0
3a8a2b7188_NQ1Ind_10,NASDAQ 100 E-MINI,NQ1 Index,2002-10-07,2002-10-11,2754.0,2784.0,39885160.0,724.0,497310.0
3a8a2b7188_DM1Ind_8,DJIA MINI e-CBOT ,DM1 Index,2002-10-15,2002-10-21,7971.0,8384.0,13129050.0,330.0,615000.0
3a8a2b7188_NQ1Ind_11,NASDAQ 100 E-MINI,NQ1 Index,2002-10-25,2002-10-30,2899.5,2896.5,34753980.0,599.0,-37180.0
3a8a2b7188_DM1Ind_9,DJIA MINI e-CBOT ,DM1 Index,2002-11-06,2002-11-11,8781.0,8589.0,16007010.0,366.0,-353020.0
3a8a2b7188_NQ1Ind_12,NASDAQ 100 E-MINI,NQ1 Index,2002-11-12,2002-11-18,2912.0,2999.0,38289960.0,657.0,1176240.0
3a8a2b7188_NQ1Ind_13,NASDAQ 100 E-MINI,NQ1 Index,2002-11-27,2002-12-04,3025.5,3027.5,37110160.0,614.0,-145590.0
3a8a2b7188_NQ1Ind_14,NASDAQ 100 E-MINI,NQ1 Index,2002-12-10,2002-12-16,2949.0,2939.5,34143630.0,579.0,-120080.0
3a8a2b7188_NQ1Ind_15,NASDAQ 100 E-MINI,NQ1 Index,2002-12-20,2002-12-27,2943.5,2950.0,37258380.0,633.0,90020.0
3a8a2b7188_DM1Ind_10,DJIA MINI e-CBOT ,DM1 Index,2003-01-06,2003-01-09,8744.0,8716.0,23407830.0,537.0,-82575.0
3a8a2b7188_NQ1Ind_16,NASDAQ 100 E-MINI,NQ1 Index,2003-01-23,2003-02-03,2943.5,2914.5,47136100.0,803.0,-244980.0
