Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
3bc1d3d103_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,1999-06-24,1999-06-30,4566.5,4600.0,0.0,0.0,0.0
3bc1d3d103_CN1Com_1,CAN 10YR BOND FUT,CN1 Comdty,1999-07-06,1999-07-07,60.18,59.99,0.0,0.0,0.0
3bc1d3d103_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,1999-07-07,1999-07-13,4671.5,4716.0,0.0,0.0,0.0
3bc1d3d103_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,1999-07-26,1999-08-03,4617.5,4580.5,41456170.0,449.0,-615490.0
3bc1d3d103_CN1Com_2,CAN 10YR BOND FUT,CN1 Comdty,1999-08-04,1999-08-09,58.46,57.06,35341033.794,902.0,-826490.3279999992
3bc1d3d103_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,1999-08-10,1999-08-11,4501.0,4481.5,37460800.0,416.0,-162240.0
3bc1d3d103_CN1Com_3,CAN 10YR BOND FUT,CN1 Comdty,1999-08-27,1999-08-30,59.56,59.21,32760691.704,824.0,-203598.0100000008
3bc1d3d103_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,1999-09-01,1999-09-08,4701.5,4801.0,35622210.0,379.0,798770.0
3bc1d3d103_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,1999-09-21,1999-09-22,4854.5,4786.5,34991730.0,361.0,-469200.0
3bc1d3d103_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,1999-09-30,1999-10-06,4693.5,4781.0,30987000.0,330.0,574210.0
3bc1d3d103_NQ1Ind_8,NASDAQ 100 E-MINI,NQ1 Index,1999-10-08,1999-10-13,4826.5,4808.5,35226150.0,365.0,-126670.0
3bc1d3d103_CN1Com_4,CAN 10YR BOND FUT,CN1 Comdty,1999-10-14,1999-10-20,55.48,54.36,0.0,0.0,0.0
3bc1d3d103_NQ1Ind_9,NASDAQ 100 E-MINI,NQ1 Index,1999-10-25,1999-10-29,4774.0,4836.5,34079220.0,357.0,448180.0
3bc1d3d103_CN1Com_5,CAN 10YR BOND FUT,CN1 Comdty,1999-11-02,1999-11-08,56.51,56.15,0.0,0.0,0.0
3bc1d3d103_NQ1Ind_10,NASDAQ 100 E-MINI,NQ1 Index,1999-12-07,1999-12-13,5503.5,5487.5,31697520.0,289.0,-97300.0
3bc1d3d103_CN1Com_6,CAN 10YR BOND FUT,CN1 Comdty,1999-12-09,1999-12-15,56.24,55.51,36024576.992,947.0,-498024.4160000024
3bc1d3d103_NQ1Ind_11,NASDAQ 100 E-MINI,NQ1 Index,1999-12-15,1999-12-21,5461.5,5674.5,29699680.0,272.0,1179780.0
3bc1d3d103_CN1Com_7,CAN 10YR BOND FUT,CN1 Comdty,1999-12-31,2000-01-03,55.06,,0.0,0.0,0.0
3bc1d3d103_NQ1Ind_12,NASDAQ 100 E-MINI,NQ1 Index,2000-01-03,2000-01-07,5985.5,5520.0,0.0,0.0,0.0
3bc1d3d103_NQ1Ind_13,NASDAQ 100 E-MINI,NQ1 Index,2000-01-18,2000-01-24,5995.5,6127.0,0.0,0.0,0.0
3bc1d3d103_NQ1Ind_14,NASDAQ 100 E-MINI,NQ1 Index,2000-02-03,2000-02-09,5969.5,6335.5,14088020.0,118.0,904820.0
3bc1d3d103_NQ1Ind_15,NASDAQ 100 E-MINI,NQ1 Index,2000-03-13,2000-03-14,6831.0,6685.5,20252320.0,148.0,-424860.0
3bc1d3d103_CN1Com_8,CAN 10YR BOND FUT,CN1 Comdty,2000-03-15,2000-03-21,55.83,56.83,36906147.852,966.0,661034.067
3bc1d3d103_CN1Com_9,CAN 10YR BOND FUT,CN1 Comdty,2000-03-30,2000-04-05,56.43,57.93,54378832.05,1415.0,1403381.7319999998
