Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
5f50807031_FV1Com_1,US 5YR NOTE (CBT),FV1 Comdty,1997-09-12,1997-09-18,55.59375,56.875,114054828.125,2051.0,2383296.875
5f50807031_FV1Com_2,US 5YR NOTE (CBT),FV1 Comdty,1997-09-26,1997-10-02,56.609375,57.09375,77859375.0,1375.0,681171.875
5f50807031_ES1Ind_1,S&P500 EMINI FUT ,ES1 Index,1997-10-07,1997-10-13,1486.45,1481.7,0.0,0.0,-46437.5
5f50807031_FV1Com_3,US 5YR NOTE (CBT),FV1 Comdty,1997-10-16,1997-10-20,56.703125,56.328125,81992718.75,1446.0,-539562.5
5f50807031_FV1Com_4,US 5YR NOTE (CBT),FV1 Comdty,1997-10-27,1997-10-31,57.375,57.765625,77490875.0,1358.0,420296.875
5f50807031_ES1Ind_2,S&P500 EMINI FUT ,ES1 Index,1997-11-05,1997-11-10,1446.45,1434.95,20112605.0,278.0,-160975.0
5f50807031_FV1Com_5,US 5YR NOTE (CBT),FV1 Comdty,1997-11-11,1997-11-17,57.3125,57.296875,71928656.25,1254.0,-27562.5
5f50807031_ES1Ind_3,S&P500 EMINI FUT ,ES1 Index,1997-12-01,1997-12-05,1460.45,1482.45,36206760.0,496.0,556125.0
5f50807031_FV1Com_6,US 5YR NOTE (CBT),FV1 Comdty,1997-12-05,1997-12-08,57.671875,57.1875,201505531.25,3494.0,-1178484.375
5f50807031_ES1Ind_4,S&P500 EMINI FUT ,ES1 Index,1997-12-09,1997-12-10,1489.7,1483.95,42084025.0,565.0,-166175.0
5f50807031_FV1Com_7,US 5YR NOTE (CBT),FV1 Comdty,1998-01-22,1998-01-26,59.296875,58.609375,0.0,0.0,0.0
5f50807031_ES1Ind_5,S&P500 EMINI FUT ,ES1 Index,1998-02-05,1998-02-11,1503.45,1517.95,40750270.0,542.0,488550.0
5f50807031_ES1Ind_6,S&P500 EMINI FUT ,ES1 Index,1998-02-25,1998-03-03,1527.2,1543.45,76843310.0,1006.0,804762.5
5f50807031_FV1Com_8,US 5YR NOTE (CBT),FV1 Comdty,1998-03-16,1998-03-20,58.640625,58.71875,0.0,0.0,-48328.125
5f50807031_ES1Ind_7,S&P500 EMINI FUT ,ES1 Index,1998-03-27,1998-04-02,1593.95,1602.2,72046540.0,904.0,369462.5
5f50807031_FV1Com_9,US 5YR NOTE (CBT),FV1 Comdty,1998-04-08,1998-04-09,58.90625,58.75,98524015.625,1673.0,-255781.25
5f50807031_ES1Ind_8,S&P500 EMINI FUT ,ES1 Index,1998-04-23,1998-04-24,1619.2,1608.7,69323160.0,856.0,-438375.0
5f50807031_FV1Com_10,US 5YR NOTE (CBT),FV1 Comdty,1998-04-28,1998-04-30,57.75,57.6875,79810500.0,1382.0,-87031.25
5f50807031_FV1Com_11,US 5YR NOTE (CBT),FV1 Comdty,1998-05-08,1998-05-11,58.40625,58.21875,84886984.375,1453.0,-271875.0
