Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
601e051335_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,2010-01-14,2010-01-19,3540.75,3520.25,81797100.0,1155.0,-481280.0
601e051335_WN1Com_1,US ULTRA BOND CBT,WN1 Comdty,2010-01-25,2010-01-26,98.21875,98.96875,0.0,0.0,0.0
601e051335_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,2010-01-28,2010-01-29,3466.0,3436.25,60334500.0,870.0,-478975.0
601e051335_WN1Com_2,US ULTRA BOND CBT,WN1 Comdty,2010-02-09,2010-02-10,99.53125,98.25,0.0,0.0,0.0
601e051335_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,2010-02-11,2010-02-18,3403.0,3470.5,46284200.0,680.0,875795.0
601e051335_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,2010-03-04,2010-03-10,3509.75,3560.5,64171940.0,914.0,1033560.0
601e051335_WN1Com_3,US ULTRA BOND CBT,WN1 Comdty,2010-03-16,2010-03-22,97.625,98.84375,35730750.0,366.0,444937.5
601e051335_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,2010-03-25,2010-03-31,3612.25,3625.75,115608000.0,1600.0,427495.0
601e051335_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,2010-04-27,2010-04-28,3707.0,3670.0,106137270.0,1431.0,-808820.0
601e051335_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,2010-05-12,2010-05-17,3596.0,3569.0,31721130.0,441.0,-232960.0
601e051335_WN1Com_4,US ULTRA BOND CBT,WN1 Comdty,2010-06-09,2010-06-11,109.3125,106.90625,21815375.0,199.0,-512468.75
601e051335_WN1Com_5,US ULTRA BOND CBT,WN1 Comdty,2010-06-25,2010-07-01,110.0625,114.625,23456625.0,213.0,1049718.75
