Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
66178703d9_ES1Ind_1,S&P500 EMINI FUT ,ES1 Index,1997-09-12,1997-09-18,1422.95,1460.7,0.0,0.0,0.0
66178703d9_US1Com_1,US LONG BOND(CBT),US1 Comdty,1997-09-19,1997-09-24,29.40625,29.59375,14736093.75,499.0,84937.5
66178703d9_US1Com_2,US LONG BOND(CBT),US1 Comdty,1997-10-06,1997-10-09,30.96875,30.09375,15297937.5,498.0,-453500.0
66178703d9_ES1Ind_2,S&P500 EMINI FUT ,ES1 Index,1997-10-10,1997-10-16,1483.7,1478.45,55091592.50000001,743.0,-208100.0
66178703d9_US1Com_3,US LONG BOND(CBT),US1 Comdty,1997-10-27,1997-11-05,31.09375,31.34375,16285500.0,528.0,98625.0
66178703d9_ES1Ind_3,S&P500 EMINI FUT ,ES1 Index,1997-11-05,1997-11-10,1446.45,1434.95,20112605.0,278.0,-160975.0
66178703d9_US1Com_4,US LONG BOND(CBT),US1 Comdty,1997-11-10,1997-11-14,31.84375,32.53125,18193750.0,568.0,427375.0
66178703d9_ES1Ind_4,S&P500 EMINI FUT ,ES1 Index,1997-11-25,1997-12-02,1454.95,1484.95,19783920.0,272.0,714925.0
66178703d9_US1Com_5,US LONG BOND(CBT),US1 Comdty,1997-11-26,1997-12-03,33.28125,33.46875,24800875.0,748.0,172062.5
66178703d9_ES1Ind_5,S&P500 EMINI FUT ,ES1 Index,1997-12-09,1997-12-10,1489.7,1483.95,42084025.0,565.0,-166175.0
66178703d9_ES1Ind_6,S&P500 EMINI FUT ,ES1 Index,1997-12-18,1997-12-19,1469.2,1457.95,46655037.5,635.0,-352125.0
66178703d9_US1Com_6,US LONG BOND(CBT),US1 Comdty,1997-12-23,1997-12-30,35.28125,34.78125,25744906.25,731.0,-370687.5
66178703d9_ES1Ind_7,S&P500 EMINI FUT ,ES1 Index,1998-01-16,1998-01-22,1448.95,1471.2,36296197.5,501.0,544950.0
66178703d9_US1Com_7,US LONG BOND(CBT),US1 Comdty,1998-01-22,1998-01-26,36.59375,34.46875,0.0,0.0,0.0
66178703d9_ES1Ind_8,S&P500 EMINI FUT ,ES1 Index,1998-02-05,1998-02-11,1503.45,1517.95,40750270.0,542.0,488550.0
66178703d9_ES1Ind_9,S&P500 EMINI FUT ,ES1 Index,1998-02-20,1998-02-26,1524.2,1539.45,73719245.0,967.0,767950.0
66178703d9_ES1Ind_10,S&P500 EMINI FUT ,ES1 Index,1998-03-27,1998-04-02,1593.95,1602.2,72046540.0,904.0,369462.5
66178703d9_ES1Ind_11,S&P500 EMINI FUT ,ES1 Index,1998-04-09,1998-04-16,1595.7,1611.45,80465227.5,1009.0,774012.5
66178703d9_ES1Ind_12,S&P500 EMINI FUT ,ES1 Index,1998-04-23,1998-04-24,1619.2,1608.7,69323160.0,856.0,-438375.0
66178703d9_US1Com_8,US LONG BOND(CBT),US1 Comdty,1998-04-27,1998-04-28,34.96875,33.40625,22694718.75,649.0,-834375.0
66178703d9_ES1Ind_13,S&P500 EMINI FUT ,ES1 Index,1998-04-30,1998-05-06,1579.95,1603.2,53955292.50000001,683.0,696687.5
66178703d9_US1Com_9,US LONG BOND(CBT),US1 Comdty,1998-05-05,1998-05-11,35.03125,34.65625,16924875.0,484.0,-193375.0
66178703d9_ES1Ind_14,S&P500 EMINI FUT ,ES1 Index,1998-06-09,1998-06-11,1601.7,1595.7,48981420.0,612.0,-184300.0
66178703d9_US1Com_10,US LONG BOND(CBT),US1 Comdty,1998-06-15,1998-06-18,38.21875,37.09375,0.0,0.0,0.0
66178703d9_US1Com_11,US LONG BOND(CBT),US1 Comdty,1998-06-24,1998-06-30,38.28125,38.15625,0.0,0.0,-84187.5
66178703d9_ES1Ind_15,S&P500 EMINI FUT ,ES1 Index,1998-06-26,1998-07-01,1614.95,1614.45,37386092.5,463.0,-15400.0
66178703d9_ES1Ind_16,S&P500 EMINI FUT ,ES1 Index,1998-07-08,1998-07-14,1638.45,1644.95,42852005.0,523.0,171712.5
66178703d9_ES1Ind_17,S&P500 EMINI FUT ,ES1 Index,1998-07-16,1998-07-22,1654.95,1643.95,62474362.5,755.0,-540950.0
66178703d9_US1Com_12,US LONG BOND(CBT),US1 Comdty,1998-07-23,1998-07-28,37.78125,37.46875,0.0,0.0,0.0
66178703d9_ES1Ind_18,S&P500 EMINI FUT ,ES1 Index,1998-07-29,1998-08-03,1606.95,1593.7,49168080.0,612.0,-389375.0
66178703d9_US1Com_13,US LONG BOND(CBT),US1 Comdty,1998-08-03,1998-08-07,37.53125,38.09375,0.0,0.0,-250937.5
66178703d9_ES1Ind_19,S&P500 EMINI FUT ,ES1 Index,1998-08-20,1998-08-21,1574.2,1565.7,29201410.000000004,371.0,-157250.0
66178703d9_US1Com_14,US LONG BOND(CBT),US1 Comdty,1998-08-25,1998-09-07,39.96875,,34306312.5,859.0,1529500.0
66178703d9_ES1Ind_20,S&P500 EMINI FUT ,ES1 Index,1998-09-16,1998-09-18,1508.2,1489.95,16135065.0,214.0,-197812.5
66178703d9_US1Com_15,US LONG BOND(CBT),US1 Comdty,1998-09-21,1998-09-25,44.21875,44.78125,0.0,0.0,0.0
66178703d9_ES1Ind_21,S&P500 EMINI FUT ,ES1 Index,1998-10-09,1998-10-15,1431.45,1472.2,20598480.0,288.0,617862.5
66178703d9_ES1Ind_22,S&P500 EMINI FUT ,ES1 Index,1998-10-22,1998-10-28,1534.2,1534.95,23166420.0,302.0,11862.5
66178703d9_US1Com_16,US LONG BOND(CBT),US1 Comdty,1998-10-29,1998-11-02,44.46875,44.0,10798312.5,243.0,-117031.25
66178703d9_US1Com_17,US LONG BOND(CBT),US1 Comdty,1998-11-12,1998-11-18,42.3125,41.84375,14492250.0,342.0,-194937.5
66178703d9_ES1Ind_23,S&P500 EMINI FUT ,ES1 Index,1998-11-18,1998-11-24,1604.95,1655.2,49833697.5,621.0,1573975.0
66178703d9_US1Com_18,US LONG BOND(CBT),US1 Comdty,1998-12-02,1998-12-07,45.21875,44.78125,0.0,0.0,0.0
66178703d9_US1Com_19,US LONG BOND(CBT),US1 Comdty,1998-12-11,1998-12-14,45.96875,45.09375,0.0,0.0,0.0
66178703d9_ES1Ind_24,S&P500 EMINI FUT ,ES1 Index,1998-12-23,1998-12-29,1691.2,1683.95,33563855.0,403.0,-138250.0
66178703d9_ES1Ind_25,S&P500 EMINI FUT ,ES1 Index,1999-01-06,1999-01-12,1702.7,1701.2,36187687.5,425.0,-18112.5
66178703d9_US1Com_20,US LONG BOND(CBT),US1 Comdty,1999-01-15,1999-01-21,42.59375,41.4375,17774625.0,417.0,0.0
66178703d9_ES1Ind_26,S&P500 EMINI FUT ,ES1 Index,1999-01-20,1999-01-22,1717.2,1684.7,35072685.0,411.0,-667200.0
66178703d9_ES1Ind_27,S&P500 EMINI FUT ,ES1 Index,1999-02-02,1999-02-03,1723.95,1728.7,31375890.000000004,364.0,85737.5
66178703d9_ES1Ind_28,S&P500 EMINI FUT ,ES1 Index,1999-02-05,1999-02-08,1707.7,1692.95,31701022.500000004,371.0,-269187.5
