Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
67a65b22c9_TY1Com_1,US 10YR NOTE,TY1 Comdty,1997-09-12,1997-09-18,34.765625,36.609375,46419031.25,1334.0,2243125.0
67a65b22c9_TY1Com_2,US 10YR NOTE,TY1 Comdty,1997-10-03,1997-10-09,37.140625,36.859375,34623046.875,933.0,-284125.0
67a65b22c9_ES1Ind_1,S&P500 EMINI FUT ,ES1 Index,1997-10-10,1997-10-16,1483.7,1478.45,55091592.50000001,743.0,-208100.0
67a65b22c9_TY1Com_3,US 10YR NOTE,TY1 Comdty,1997-10-27,1997-10-31,37.265625,38.109375,34720656.25,938.0,690750.0
67a65b22c9_ES1Ind_2,S&P500 EMINI FUT ,ES1 Index,1997-11-05,1997-11-10,1446.45,1434.95,20112605.0,278.0,-160975.0
67a65b22c9_TY1Com_4,US 10YR NOTE,TY1 Comdty,1997-11-11,1997-11-17,37.609375,37.671875,36089656.25,958.0,53156.25
67a65b22c9_TY1Com_5,US 10YR NOTE,TY1 Comdty,1997-11-26,1997-12-03,38.171875,38.078125,48816156.25,1282.0,-116000.0
67a65b22c9_ES1Ind_3,S&P500 EMINI FUT ,ES1 Index,1997-12-01,1997-12-05,1460.45,1482.45,36206760.0,496.0,556125.0
67a65b22c9_TY1Com_6,US 10YR NOTE,TY1 Comdty,1997-12-05,1997-12-08,38.171875,37.640625,90772718.75,2378.0,-995031.25
67a65b22c9_ES1Ind_4,S&P500 EMINI FUT ,ES1 Index,1997-12-09,1997-12-10,1489.7,1483.95,42084025.0,565.0,-166175.0
67a65b22c9_ES1Ind_5,S&P500 EMINI FUT ,ES1 Index,1997-12-18,1997-12-19,1469.2,1457.95,46655037.5,635.0,-352125.0
67a65b22c9_TY1Com_7,US 10YR NOTE,TY1 Comdty,1998-01-22,1998-01-26,40.234375,39.296875,0.0,0.0,0.0
67a65b22c9_ES1Ind_6,S&P500 EMINI FUT ,ES1 Index,1998-02-05,1998-02-11,1503.45,1517.95,40750270.0,542.0,488550.0
67a65b22c9_ES1Ind_7,S&P500 EMINI FUT ,ES1 Index,1998-02-20,1998-02-26,1524.2,1539.45,73719245.0,967.0,767950.0
67a65b22c9_TY1Com_8,US 10YR NOTE,TY1 Comdty,1998-03-16,1998-03-19,39.453125,39.515625,0.0,0.0,-34218.75
67a65b22c9_ES1Ind_8,S&P500 EMINI FUT ,ES1 Index,1998-03-27,1998-04-02,1593.95,1602.2,72046540.0,904.0,369462.5
67a65b22c9_ES1Ind_9,S&P500 EMINI FUT ,ES1 Index,1998-04-14,1998-04-17,1600.45,1599.7,78582095.0,982.0,-70450.0
67a65b22c9_ES1Ind_10,S&P500 EMINI FUT ,ES1 Index,1998-04-23,1998-04-24,1619.2,1608.7,69323160.0,856.0,-438375.0
67a65b22c9_TY1Com_9,US 10YR NOTE,TY1 Comdty,1998-04-27,1998-04-28,39.078125,38.203125,45721406.25,1170.0,-842625.0
67a65b22c9_ES1Ind_11,S&P500 EMINI FUT ,ES1 Index,1998-04-30,1998-05-06,1579.95,1603.2,53955292.50000001,683.0,696687.5
67a65b22c9_TY1Com_10,US 10YR NOTE,TY1 Comdty,1998-05-08,1998-05-11,39.078125,38.859375,38796500.0,992.0,-218531.25
67a65b22c9_ES1Ind_12,S&P500 EMINI FUT ,ES1 Index,1998-05-22,1998-05-25,1601.2,1595.7,47002557.5,587.0,-163900.0
67a65b22c9_ES1Ind_13,S&P500 EMINI FUT ,ES1 Index,1998-06-09,1998-06-11,1601.7,1595.7,48981420.0,612.0,-184300.0
67a65b22c9_ES1Ind_14,S&P500 EMINI FUT ,ES1 Index,1998-06-26,1998-07-01,1614.95,1614.45,37386092.5,463.0,-15400.0
67a65b22c9_ES1Ind_15,S&P500 EMINI FUT ,ES1 Index,1998-07-08,1998-07-14,1638.45,1644.95,42852005.0,523.0,171712.5
67a65b22c9_TY1Com_11,US 10YR NOTE,TY1 Comdty,1998-07-23,1998-07-28,40.296875,40.203125,0.0,0.0,0.0
67a65b22c9_ES1Ind_16,S&P500 EMINI FUT ,ES1 Index,1998-08-20,1998-08-21,1574.2,1565.7,29201410.000000004,371.0,-157250.0
67a65b22c9_TY1Com_12,US 10YR NOTE,TY1 Comdty,1998-08-25,1998-09-07,41.921875,,74760843.75,1786.0,2262718.75
67a65b22c9_ES1Ind_17,S&P500 EMINI FUT ,ES1 Index,1998-09-16,1998-09-18,1508.2,1489.95,16135065.0,214.0,-197812.5
67a65b22c9_TY1Com_13,US 10YR NOTE,TY1 Comdty,1998-09-22,1998-09-23,46.140625,45.828125,0.0,0.0,0.0
67a65b22c9_ES1Ind_18,S&P500 EMINI FUT ,ES1 Index,1998-10-09,1998-10-15,1431.45,1472.2,20598480.0,288.0,617862.5
67a65b22c9_ES1Ind_19,S&P500 EMINI FUT ,ES1 Index,1998-10-22,1998-10-28,1534.2,1534.95,23166420.0,302.0,11862.5
67a65b22c9_ES1Ind_20,S&P500 EMINI FUT ,ES1 Index,1998-11-04,1998-11-10,1575.2,1597.95,32139180.0,408.0,451212.5
67a65b22c9_TY1Com_14,US 10YR NOTE,TY1 Comdty,1998-11-12,1998-11-18,45.046875,44.890625,23453140.625,521.0,-104250.0
67a65b22c9_ES1Ind_21,S&P500 EMINI FUT ,ES1 Index,1998-11-18,1998-11-24,1604.95,1655.2,49833697.5,621.0,1573975.0
67a65b22c9_TY1Com_15,US 10YR NOTE,TY1 Comdty,1998-12-04,1998-12-07,46.703125,46.140625,0.0,0.0,0.0
67a65b22c9_ES1Ind_22,S&P500 EMINI FUT ,ES1 Index,1998-12-23,1998-12-29,1691.2,1683.95,33563855.0,403.0,-138250.0
