Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
6d847a49a5_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,1999-06-24,1999-06-30,4566.5,4600.0,0.0,0.0,0.0
6d847a49a5_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,1999-07-02,1999-07-07,4651.5,4671.5,0.0,0.0,0.0
6d847a49a5_SFR8Co_1,3 MONTH SOFR FUT ,SFR8 Comdty,1999-07-08,1999-07-14,83.68,83.86000000000001,0.0,0.0,0.0
6d847a49a5_SFR8Co_2,3 MONTH SOFR FUT ,SFR8 Comdty,1999-07-23,1999-07-30,83.7,83.53500000000001,0.0,0.0,0.0
6d847a49a5_SFR8Co_3,3 MONTH SOFR FUT ,SFR8 Comdty,1999-08-03,1999-08-09,83.43,83.26500000000001,0.0,0.0,-734937.4999999396
6d847a49a5_SFR8Co_4,3 MONTH SOFR FUT ,SFR8 Comdty,1999-08-11,1999-08-17,83.16000000000001,83.47000000000001,393970500.0,1895.0,1366587.5000000102
6d847a49a5_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,1999-08-18,1999-08-20,4656.5,4597.5,31537170.0,339.0,-452060.0
6d847a49a5_SFR8Co_5,3 MONTH SOFR FUT ,SFR8 Comdty,1999-08-20,1999-08-26,83.58500000000001,83.73,304249400.0,1456.0,590812.4999999856
6d847a49a5_SFR8Co_6,3 MONTH SOFR FUT ,SFR8 Comdty,1999-08-31,1999-09-01,83.51,83.42500000000001,296580462.50000006,1421.0,-301537.4999999778
6d847a49a5_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,1999-09-21,1999-09-22,4854.5,4786.5,34991730.0,361.0,-469200.0
6d847a49a5_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,1999-10-08,1999-10-13,4826.5,4808.5,35226150.0,365.0,-126670.0
6d847a49a5_SFR8Co_7,3 MONTH SOFR FUT ,SFR8 Comdty,1999-10-20,1999-10-26,83.44500000000001,83.415,455664300.00000006,2184.0,-173425.00000000527
6d847a49a5_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,1999-11-02,1999-11-08,4909.5,5027.0,30761640.0,313.0,761950.0
6d847a49a5_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,1999-11-16,1999-11-22,5168.5,5328.5,42000700.0,406.0,1233780.0
6d847a49a5_NQ1Ind_8,NASDAQ 100 E-MINI,NQ1 Index,1999-11-29,1999-11-30,5400.5,5347.5,37782500.0,350.0,-371000.0
6d847a49a5_SFR8Co_8,3 MONTH SOFR FUT ,SFR8 Comdty,1999-12-01,1999-12-07,83.44500000000001,83.54,512984600.0,2458.0,595787.4999999837
6d847a49a5_NQ1Ind_9,NASDAQ 100 E-MINI,NQ1 Index,1999-12-07,1999-12-13,5503.5,5487.5,31697520.0,289.0,-97300.0
6d847a49a5_NQ1Ind_10,NASDAQ 100 E-MINI,NQ1 Index,1999-12-21,1999-12-27,5674.5,5871.0,31705560.0,279.0,1017600.0
6d847a49a5_SFR8Co_9,3 MONTH SOFR FUT ,SFR8 Comdty,1999-12-29,2000-01-03,83.23500000000001,83.12500000000001,543043125.0000001,2610.0,-714737.4999999972
6d847a49a5_NQ1Ind_11,NASDAQ 100 E-MINI,NQ1 Index,2000-01-03,2000-01-05,5985.5,5793.0,0.0,0.0,0.0
6d847a49a5_SFR8Co_10,3 MONTH SOFR FUT ,SFR8 Comdty,2000-01-07,2000-01-12,83.11500000000001,83.01500000000001,496374475.0000001,2389.0,-596074.9999999687
6d847a49a5_NQ1Ind_12,NASDAQ 100 E-MINI,NQ1 Index,2000-01-18,2000-01-24,5995.5,6127.0,0.0,0.0,0.0
6d847a49a5_SFR8Co_11,3 MONTH SOFR FUT ,SFR8 Comdty,2000-01-31,2000-02-01,82.83500000000001,82.80000000000001,436103375.0,2105.0,-175262.49999998292
6d847a49a5_NQ1Ind_13,NASDAQ 100 E-MINI,NQ1 Index,2000-02-03,2000-02-09,5969.5,6335.5,14088020.0,118.0,904820.0
6d847a49a5_NQ1Ind_14,NASDAQ 100 E-MINI,NQ1 Index,2000-03-13,2000-03-14,6831.0,6685.5,20252320.0,148.0,-424860.0
6d847a49a5_SFR8Co_12,3 MONTH SOFR FUT ,SFR8 Comdty,2000-03-15,2000-03-21,82.97000000000001,83.03,0.0,0.0,0.0
6d847a49a5_SFR8Co_13,3 MONTH SOFR FUT ,SFR8 Comdty,2000-03-30,2000-04-07,82.94000000000001,83.135,741215400.0000001,3576.0,2080250.0000000196
6d847a49a5_SFR8Co_14,3 MONTH SOFR FUT ,SFR8 Comdty,2000-04-13,2000-04-19,83.14000000000001,83.215,439058400.00000006,2112.0,397687.49999994086
6d847a49a5_SFR8Co_15,3 MONTH SOFR FUT ,SFR8 Comdty,2000-05-05,2000-05-08,82.76500000000001,82.65,0.0,0.0,0.0
6d847a49a5_SFR8Co_16,3 MONTH SOFR FUT ,SFR8 Comdty,2000-05-24,2000-05-30,82.72000000000001,82.76,405279000.0,1960.0,409399.99999998877
6d847a49a5_NQ1Ind_15,NASDAQ 100 E-MINI,NQ1 Index,2000-06-06,2000-06-07,5920.0,5855.0,12215800.0,103.0,-136500.0
6d847a49a5_NQ1Ind_16,NASDAQ 100 E-MINI,NQ1 Index,2000-06-12,2000-06-13,5922.0,5839.0,13529520.0,114.0,-185920.0
6d847a49a5_NQ1Ind_17,NASDAQ 100 E-MINI,NQ1 Index,2000-06-22,2000-06-23,6140.0,5985.5,17787150.0,145.0,-429510.0
6d847a49a5_SFR8Co_17,3 MONTH SOFR FUT ,SFR8 Comdty,2000-06-26,2000-06-30,83.07000000000001,83.2,0.0,0.0,487574.9999999414
6d847a49a5_NQ1Ind_18,NASDAQ 100 E-MINI,NQ1 Index,2000-07-05,2000-07-12,5978.0,5926.0,22090850.0,185.0,-622340.0
6d847a49a5_SFR8Co_18,3 MONTH SOFR FUT ,SFR8 Comdty,2000-07-31,2000-08-04,83.24000000000001,83.37,0.0,0.0,54624.99999995032
6d847a49a5_NQ1Ind_19,NASDAQ 100 E-MINI,NQ1 Index,2000-08-16,2000-08-22,5870.0,5978.5,18787200.0,160.0,354420.0
6d847a49a5_NQ1Ind_20,NASDAQ 100 E-MINI,NQ1 Index,2000-08-28,2000-09-01,6075.5,6253.0,25045480.0,206.0,1025870.0
6d847a49a5_NQ1Ind_21,NASDAQ 100 E-MINI,NQ1 Index,2000-09-05,2000-09-06,6204.0,6132.5,44082640.0,353.0,-430430.0
6d847a49a5_SFR8Co_19,3 MONTH SOFR FUT ,SFR8 Comdty,2000-09-07,2000-09-08,83.53500000000001,83.55000000000001,0.0,0.0,0.0
6d847a49a5_SFR8Co_20,3 MONTH SOFR FUT ,SFR8 Comdty,2000-09-26,2000-10-02,83.62,83.73,0.0,0.0,0.0
6d847a49a5_SFR8Co_21,3 MONTH SOFR FUT ,SFR8 Comdty,2000-10-04,2000-10-05,83.73,83.66000000000001,0.0,0.0,-658524.9999999359
6d847a49a5_SFR8Co_22,3 MONTH SOFR FUT ,SFR8 Comdty,2000-10-10,2000-10-16,83.655,83.74000000000001,848939850.0000001,4059.0,886975.0000000808
6d847a49a5_NQ1Ind_22,NASDAQ 100 E-MINI,NQ1 Index,2000-10-24,2000-10-25,5532.0,5403.5,14316420.0,129.0,-326390.0
6d847a49a5_SFR8Co_23,3 MONTH SOFR FUT ,SFR8 Comdty,2000-10-26,2000-10-30,83.805,83.76500000000001,723872050.0000001,3454.0,-348387.49999993725
6d847a49a5_SFR8Co_24,3 MONTH SOFR FUT ,SFR8 Comdty,2000-11-09,2000-11-15,83.745,83.81500000000001,636138675.0,3039.0,545950.0000000546
6d847a49a5_SFR8Co_25,3 MONTH SOFR FUT ,SFR8 Comdty,2000-11-21,2000-11-27,83.885,83.855,734745000.0000001,3504.0,134775.0000000051
6d847a49a5_SFR8Co_26,3 MONTH SOFR FUT ,SFR8 Comdty,2000-12-20,2000-12-27,84.57000000000001,84.58000000000001,0.0,0.0,-255712.5000000097
6d847a49a5_NQ1Ind_23,NASDAQ 100 E-MINI,NQ1 Index,2000-12-28,2001-01-02,4523.5,4388.5,11028800.0,122.0,-342910.0
6d847a49a5_NQ1Ind_24,NASDAQ 100 E-MINI,NQ1 Index,2001-01-15,2001-01-17,4545.5,4546.0,10564120.0,116.0,2190.0
6d847a49a5_NQ1Ind_25,NASDAQ 100 E-MINI,NQ1 Index,2001-01-22,2001-01-26,4703.0,4633.0,11750000.0,125.0,-193150.0
6d847a49a5_SFR8Co_27,3 MONTH SOFR FUT ,SFR8 Comdty,2001-02-05,2001-02-07,84.81500000000001,84.79,0.0,0.0,0.0
6d847a49a5_SFR8Co_28,3 MONTH SOFR FUT ,SFR8 Comdty,2001-02-09,2001-02-14,84.745,84.79,0.0,0.0,0.0
6d847a49a5_SFR8Co_29,3 MONTH SOFR FUT ,SFR8 Comdty,2001-02-22,2001-02-28,84.78,85.00000000000001,0.0,0.0,0.0
6d847a49a5_NQ1Ind_26,NASDAQ 100 E-MINI,NQ1 Index,2001-03-08,2001-03-09,4009.0,3969.5,18573920.0,232.0,-183280.0
6d847a49a5_SFR8Co_30,3 MONTH SOFR FUT ,SFR8 Comdty,2001-03-12,2001-03-14,84.96000000000001,84.98,0.0,0.0,0.0
6d847a49a5_SFR8Co_31,3 MONTH SOFR FUT ,SFR8 Comdty,2001-03-19,2001-03-20,85.09,85.06500000000001,0.0,0.0,0.0
6d847a49a5_SFR8Co_32,3 MONTH SOFR FUT ,SFR8 Comdty,2001-04-03,2001-04-06,85.01,85.075,393074287.50000006,1849.0,296374.9999999902
6d847a49a5_NQ1Ind_27,NASDAQ 100 E-MINI,NQ1 Index,2001-04-16,2001-04-24,3720.0,3811.0,15396660.0,207.0,391520.0
6d847a49a5_SFR8Co_33,3 MONTH SOFR FUT ,SFR8 Comdty,2001-05-14,2001-05-18,84.685,84.64000000000001,262807200.00000006,1242.0,-162962.49999995576
6d847a49a5_NQ1Ind_28,NASDAQ 100 E-MINI,NQ1 Index,2001-05-21,2001-05-24,3922.5,3946.5,22518020.0,287.0,44420.0
6d847a49a5_SFR8Co_34,3 MONTH SOFR FUT ,SFR8 Comdty,2001-05-30,2001-05-31,84.61500000000001,84.62,355383000.0,1680.0,21249.999999980675
6d847a49a5_NQ1Ind_29,NASDAQ 100 E-MINI,NQ1 Index,2001-06-28,2001-07-04,3739.5,3818.5,27084840.0,362.0,606290.0
6d847a49a5_SFR8Co_35,3 MONTH SOFR FUT ,SFR8 Comdty,2001-07-06,2001-07-12,84.67500000000001,84.78,408085300.00000006,1928.0,480237.49999994726
6d847a49a5_NQ1Ind_30,NASDAQ 100 E-MINI,NQ1 Index,2001-07-16,2001-07-17,3736.0,3675.5,28606270.0,383.0,-444070.0
6d847a49a5_SFR8Co_36,3 MONTH SOFR FUT ,SFR8 Comdty,2001-08-08,2001-08-14,85.2,85.41000000000001,472239925.0,2218.0,1074012.5000000405
6d847a49a5_SFR8Co_37,3 MONTH SOFR FUT ,SFR8 Comdty,2001-09-06,2001-09-13,85.45500000000001,85.71000000000001,338243400.00000006,1584.0,993974.9999999825
6d847a49a5_SFR8Co_38,3 MONTH SOFR FUT ,SFR8 Comdty,2001-09-19,2001-09-25,85.85000000000001,86.00000000000001,299082700.00000006,1394.0,520137.50000002014
6d847a49a5_NQ1Ind_31,NASDAQ 100 E-MINI,NQ1 Index,2001-10-05,2001-10-11,3222.0,3271.0,23903530.0,371.0,362820.0
6d847a49a5_NQ1Ind_32,NASDAQ 100 E-MINI,NQ1 Index,2001-10-15,2001-10-18,3332.0,3268.5,22354620.0,334.0,-587840.0
6d847a49a5_NQ1Ind_33,NASDAQ 100 E-MINI,NQ1 Index,2001-10-25,2001-10-30,3381.0,3330.0,25624190.0,379.0,-383270.0
6d847a49a5_NQ1Ind_34,NASDAQ 100 E-MINI,NQ1 Index,2001-11-08,2001-11-14,3490.5,3541.0,24098250.0,345.0,392640.0
6d847a49a5_SFR8Co_39,3 MONTH SOFR FUT ,SFR8 Comdty,2001-11-12,2001-11-14,86.74000000000001,86.56,429759200.00000006,1984.0,-888750.0000000336
6d847a49a5_NQ1Ind_35,NASDAQ 100 E-MINI,NQ1 Index,2001-11-16,2001-11-21,3543.5,3511.0,32614000.0,460.0,-286480.0
6d847a49a5_NQ1Ind_36,NASDAQ 100 E-MINI,NQ1 Index,2001-11-28,2001-11-29,3571.5,3515.5,36158760.0,506.0,-524160.0
6d847a49a5_NQ1Ind_37,NASDAQ 100 E-MINI,NQ1 Index,2001-12-07,2001-12-10,3683.5,3620.0,30331440.0,412.0,-502920.0
6d847a49a5_SFR8Co_40,3 MONTH SOFR FUT ,SFR8 Comdty,2001-12-12,2001-12-14,85.605,85.46000000000001,164849437.50000003,771.0,-276862.49999999243
6d847a49a5_NQ1Ind_38,NASDAQ 100 E-MINI,NQ1 Index,2002-01-24,2002-01-30,3497.5,3478.0,35589280.0,509.0,-199140.0
