Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
6dcbfbed2f_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,1999-06-24,1999-06-30,4566.5,4600.0,0.0,0.0,0.0
6dcbfbed2f_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,1999-07-08,1999-07-14,4674.5,4699.0,0.0,0.0,0.0
6dcbfbed2f_US1Com_1,US LONG BOND(CBT),US1 Comdty,1999-07-20,1999-07-23,33.5,32.3125,0.0,0.0,0.0
6dcbfbed2f_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,1999-07-26,1999-07-27,4617.5,4561.5,41456170.0,449.0,-471520.0
6dcbfbed2f_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,1999-07-30,1999-08-03,4602.5,4580.5,37487040.0,408.0,-179960.0
6dcbfbed2f_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,1999-08-11,1999-08-17,4481.5,4644.5,37290240.0,416.0,1229000.0
6dcbfbed2f_US1Com_2,US LONG BOND(CBT),US1 Comdty,1999-08-20,1999-08-30,31.1875,31.90625,18393375.0,588.0,613687.5
6dcbfbed2f_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,1999-08-24,1999-08-30,4708.5,4711.5,34353800.0,365.0,29500.0
6dcbfbed2f_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,1999-09-01,1999-09-08,4701.5,4801.0,35622210.0,379.0,798770.0
6dcbfbed2f_NQ1Ind_8,NASDAQ 100 E-MINI,NQ1 Index,1999-09-30,1999-10-06,4693.5,4781.0,30987000.0,330.0,574210.0
6dcbfbed2f_NQ1Ind_9,NASDAQ 100 E-MINI,NQ1 Index,1999-10-08,1999-10-18,4826.5,4683.0,35226150.0,365.0,-660100.0
6dcbfbed2f_NQ1Ind_10,NASDAQ 100 E-MINI,NQ1 Index,1999-11-11,1999-11-24,5087.0,5287.5,32904010.0,323.0,1896650.0
6dcbfbed2f_NQ1Ind_11,NASDAQ 100 E-MINI,NQ1 Index,1999-11-29,1999-11-30,5400.5,5347.5,37782500.0,350.0,-371000.0
6dcbfbed2f_NQ1Ind_12,NASDAQ 100 E-MINI,NQ1 Index,1999-12-16,1999-12-22,5517.5,5829.5,30641160.0,278.0,1718520.0
6dcbfbed2f_NQ1Ind_13,NASDAQ 100 E-MINI,NQ1 Index,2000-01-12,2000-01-13,5811.5,5743.5,14177620.0,122.0,-164560.0
6dcbfbed2f_US1Com_3,US LONG BOND(CBT),US1 Comdty,2000-01-20,2000-01-26,25.5625,26.59375,0.0,0.0,0.0
6dcbfbed2f_NQ1Ind_14,NASDAQ 100 E-MINI,NQ1 Index,2000-02-28,2000-03-03,6418.0,6530.0,18763920.0,146.0,341610.0
6dcbfbed2f_NQ1Ind_15,NASDAQ 100 E-MINI,NQ1 Index,2000-03-13,2000-03-14,6831.0,6685.5,20252320.0,148.0,-424860.0
6dcbfbed2f_US1Com_4,US LONG BOND(CBT),US1 Comdty,2000-03-30,2000-04-12,32.5,34.875,26610562.5,818.0,1671437.5
6dcbfbed2f_NQ1Ind_16,NASDAQ 100 E-MINI,NQ1 Index,2000-05-09,2000-05-10,5722.0,5623.0,9735050.0,85.0,-178200.0
6dcbfbed2f_NQ1Ind_17,NASDAQ 100 E-MINI,NQ1 Index,2000-05-18,2000-05-19,5764.0,5632.5,13945250.0,121.0,-318230.0
6dcbfbed2f_US1Com_5,US LONG BOND(CBT),US1 Comdty,2000-05-24,2000-05-30,30.5625,31.6875,16361718.75,537.0,638062.5
6dcbfbed2f_NQ1Ind_18,NASDAQ 100 E-MINI,NQ1 Index,2000-06-22,2000-06-23,6140.0,5985.5,17787150.0,145.0,-429510.0
6dcbfbed2f_US1Com_6,US LONG BOND(CBT),US1 Comdty,2000-06-27,2000-07-03,33.09375,33.84375,0.0,0.0,521281.25
6dcbfbed2f_NQ1Ind_19,NASDAQ 100 E-MINI,NQ1 Index,2000-07-07,2000-07-12,5956.0,5926.0,20600840.0,173.0,-100800.0
6dcbfbed2f_US1Com_7,US LONG BOND(CBT),US1 Comdty,2000-07-12,2000-07-18,34.15625,33.46875,0.0,0.0,0.0
6dcbfbed2f_US1Com_8,US LONG BOND(CBT),US1 Comdty,2000-07-25,2000-07-31,35.0,35.28125,0.0,0.0,0.0
6dcbfbed2f_NQ1Ind_20,NASDAQ 100 E-MINI,NQ1 Index,2000-08-16,2000-08-22,5870.0,5978.5,18787200.0,160.0,354420.0
6dcbfbed2f_NQ1Ind_21,NASDAQ 100 E-MINI,NQ1 Index,2000-08-29,2000-09-04,6078.5,6244.0,32340280.0,266.0,970310.0
6dcbfbed2f_US1Com_9,US LONG BOND(CBT),US1 Comdty,2000-09-07,2000-09-08,36.78125,36.5,0.0,0.0,0.0
6dcbfbed2f_US1Com_10,US LONG BOND(CBT),US1 Comdty,2000-09-13,2000-09-15,36.25,35.71875,0.0,0.0,0.0
6dcbfbed2f_NQ1Ind_22,NASDAQ 100 E-MINI,NQ1 Index,2000-09-18,2000-09-19,5776.0,5713.5,24364170.0,211.0,-261250.0
