Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
83a069cfc0_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,1999-06-24,1999-06-30,4566.5,4600.0,0.0,0.0,0.0
83a069cfc0_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,1999-07-07,1999-07-13,4671.5,4716.0,0.0,0.0,0.0
83a069cfc0_FV1Com_1,US 5YR NOTE (CBT),FV1 Comdty,1999-08-03,1999-08-09,56.671875,56.078125,0.0,0.0,-699328.125
83a069cfc0_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,1999-08-10,1999-08-11,4501.0,4481.5,37460800.0,416.0,-162240.0
83a069cfc0_FV1Com_2,US 5YR NOTE (CBT),FV1 Comdty,1999-08-20,1999-08-26,56.96875,58.0,61150875.0,1074.0,1175156.25
83a069cfc0_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,1999-09-01,1999-09-08,4701.5,4801.0,35622210.0,379.0,798770.0
83a069cfc0_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,1999-10-08,1999-10-13,4826.5,4808.5,35226150.0,365.0,-126670.0
83a069cfc0_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,1999-10-25,1999-10-29,4774.0,4836.5,34079220.0,357.0,448180.0
83a069cfc0_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,1999-11-02,1999-11-08,4909.5,5027.0,30761640.0,313.0,761950.0
83a069cfc0_NQ1Ind_8,NASDAQ 100 E-MINI,NQ1 Index,1999-11-29,1999-11-30,5400.5,5347.5,37782500.0,350.0,-371000.0
83a069cfc0_FV1Com_3,US 5YR NOTE (CBT),FV1 Comdty,1999-11-30,1999-12-06,56.171875,56.5,0.0,0.0,0.0
83a069cfc0_NQ1Ind_9,NASDAQ 100 E-MINI,NQ1 Index,1999-12-07,1999-12-13,5503.5,5487.5,31697520.0,289.0,-97300.0
83a069cfc0_FV1Com_4,US 5YR NOTE (CBT),FV1 Comdty,1999-12-10,1999-12-15,56.65625,56.328125,0.0,0.0,0.0
83a069cfc0_NQ1Ind_10,NASDAQ 100 E-MINI,NQ1 Index,1999-12-21,1999-12-28,5674.5,5870.5,31705560.0,279.0,969100.0
83a069cfc0_FV1Com_5,US 5YR NOTE (CBT),FV1 Comdty,2000-01-07,2000-01-12,55.0625,54.671875,81689562.5,1484.0,-556546.875
83a069cfc0_NQ1Ind_11,NASDAQ 100 E-MINI,NQ1 Index,2000-01-18,2000-01-24,5995.5,6127.0,14271670.0,119.0,313890.0
83a069cfc0_FV1Com_6,US 5YR NOTE (CBT),FV1 Comdty,2000-01-31,2000-02-04,54.265625,54.78125,0.0,0.0,0.0
83a069cfc0_NQ1Ind_12,NASDAQ 100 E-MINI,NQ1 Index,2000-02-03,2000-02-09,5969.5,6335.5,14088020.0,118.0,904820.0
83a069cfc0_NQ1Ind_13,NASDAQ 100 E-MINI,NQ1 Index,2000-03-13,2000-03-14,6831.0,6685.5,20252320.0,148.0,-424860.0
83a069cfc0_FV1Com_7,US 5YR NOTE (CBT),FV1 Comdty,2000-03-15,2000-03-21,55.46875,55.703125,0.0,0.0,0.0
83a069cfc0_FV1Com_8,US 5YR NOTE (CBT),FV1 Comdty,2000-03-30,2000-04-07,55.6875,56.671875,113912890.625,2045.0,1997203.125
83a069cfc0_FV1Com_9,US 5YR NOTE (CBT),FV1 Comdty,2000-04-13,2000-04-19,56.625,56.5625,68968125.0,1220.0,-69593.75
83a069cfc0_FV1Com_10,US 5YR NOTE (CBT),FV1 Comdty,2000-05-05,2000-05-08,54.90625,54.6875,0.0,0.0,0.0
83a069cfc0_FV1Com_11,US 5YR NOTE (CBT),FV1 Comdty,2000-05-22,2000-05-26,54.765625,55.25,0.0,0.0,568859.375
83a069cfc0_NQ1Ind_14,NASDAQ 100 E-MINI,NQ1 Index,2000-06-06,2000-06-07,5920.0,5855.0,12215800.0,103.0,-136500.0
83a069cfc0_NQ1Ind_15,NASDAQ 100 E-MINI,NQ1 Index,2000-06-12,2000-06-13,5922.0,5839.0,13529520.0,114.0,-185920.0
83a069cfc0_NQ1Ind_16,NASDAQ 100 E-MINI,NQ1 Index,2000-06-22,2000-06-23,6140.0,5985.5,17787150.0,145.0,-429510.0
83a069cfc0_NQ1Ind_17,NASDAQ 100 E-MINI,NQ1 Index,2000-07-05,2000-07-12,5978.0,5926.0,22090850.0,185.0,-622340.0
83a069cfc0_FV1Com_12,US 5YR NOTE (CBT),FV1 Comdty,2000-07-31,2000-08-04,56.984375,57.421875,0.0,0.0,23718.75
83a069cfc0_NQ1Ind_18,NASDAQ 100 E-MINI,NQ1 Index,2000-08-16,2000-08-22,5870.0,5978.5,18787200.0,160.0,354420.0
83a069cfc0_NQ1Ind_19,NASDAQ 100 E-MINI,NQ1 Index,2000-08-28,2000-09-01,6075.5,6253.0,25045480.0,206.0,1025870.0
