Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
d056074535_ES1Ind_1,S&P500 EMINI FUT ,ES1 Index,2002-04-09,2002-04-12,1405.7,1379.95,57140765.0,814.0,-978387.5
d056074535_DM1Ind_1,DJIA MINI e-CBOT ,DM1 Index,2002-04-12,2002-04-16,10269.0,10200.0,0.0,0.0,0.0
d056074535_ES1Ind_2,S&P500 EMINI FUT ,ES1 Index,2002-04-16,2002-04-19,1380.45,1395.45,43077840.0,624.0,410450.0
d056074535_DM1Ind_2,DJIA MINI e-CBOT ,DM1 Index,2002-04-24,2002-04-25,10174.0,10074.0,0.0,0.0,0.0
d056074535_DM1Ind_3,DJIA MINI e-CBOT ,DM1 Index,2002-05-06,2002-05-07,10063.0,9859.0,0.0,0.0,-521220.0
d056074535_DM1Ind_4,DJIA MINI e-CBOT ,DM1 Index,2002-05-16,2002-05-21,10326.0,10291.0,25153550.0,487.0,-91305.0
d056074535_ES1Ind_3,S&P500 EMINI FUT ,ES1 Index,2002-05-21,2002-05-22,1369.7,1359.45,27056512.5,395.0,-206537.5
d056074535_ES1Ind_4,S&P500 EMINI FUT ,ES1 Index,2002-05-28,2002-05-31,1362.2,1341.95,27988072.500000004,411.0,-247237.5
d056074535_DM1Ind_5,DJIA MINI e-CBOT ,DM1 Index,2002-06-12,2002-06-17,9628.0,9571.0,0.0,0.0,0.0
d056074535_DM1Ind_6,DJIA MINI e-CBOT ,DM1 Index,2002-06-20,2002-06-21,9656.0,9501.0,0.0,0.0,0.0
d056074535_ES1Ind_5,S&P500 EMINI FUT ,ES1 Index,2002-06-24,2002-06-28,1267.95,1267.7,30228682.5,477.0,-22250.0
d056074535_DM1Ind_7,,DM1 Index,2002-07-04,2002-07-10,,9177.0,23309265.0,511.0,0.0
d056074535_ES1Ind_6,S&P500 EMINI FUT ,ES1 Index,2002-07-09,2002-07-17,1253.7,1176.45,23694930.0,378.0,-755787.5
d056074535_ES1Ind_7,S&P500 EMINI FUT ,ES1 Index,2002-07-24,2002-07-30,1070.7,1169.7,18388230.0,343.0,1427800.0
d056074535_DM1Ind_8,DJIA MINI e-CBOT ,DM1 Index,2002-07-26,2002-08-01,8251.0,8768.0,0.0,0.0,0.0
d056074535_ES1Ind_8,S&P500 EMINI FUT ,ES1 Index,2002-08-02,2002-08-12,1158.95,1181.95,15072850.0,260.0,714462.5
d056074535_ES1Ind_9,S&P500 EMINI FUT ,ES1 Index,2002-08-19,2002-08-29,1203.7,1191.95,15584677.5,259.0,59062.5
d056074535_ES1Ind_10,S&P500 EMINI FUT ,ES1 Index,2002-09-02,2002-09-10,1188.7,1175.7,20969520.0,352.0,359712.5
d056074535_DM1Ind_9,DJIA MINI e-CBOT ,DM1 Index,2002-09-05,2002-09-11,8370.0,8720.0,0.0,0.0,0.0
d056074535_ES1Ind_11,S&P500 EMINI FUT ,ES1 Index,2002-09-16,2002-09-18,1166.7,1143.45,28000800.0,480.0,-561825.0
d056074535_ES1Ind_12,S&P500 EMINI FUT ,ES1 Index,2002-09-20,2002-09-24,1118.45,1110.95,27706560.000000004,496.0,-189925.0
d056074535_ES1Ind_13,S&P500 EMINI FUT ,ES1 Index,2002-10-01,2002-10-04,1091.95,1095.2,24044422.5,441.0,53000.0
d056074535_ES1Ind_14,S&P500 EMINI FUT ,ES1 Index,2002-10-25,2002-10-30,1154.45,1156.95,16761275.0,290.0,28312.5
d056074535_ES1Ind_15,S&P500 EMINI FUT ,ES1 Index,2002-11-12,2002-11-20,1153.2,1173.7,23294640.000000004,404.0,704925.0
d056074535_DM1Ind_10,DJIA MINI e-CBOT ,DM1 Index,2002-12-03,2002-12-04,8984.0,8835.0,0.0,0.0,0.0
d056074535_ES1Ind_16,S&P500 EMINI FUT ,ES1 Index,2002-12-10,2002-12-16,1164.45,1162.2,28424780.0,488.0,-57762.5
d056074535_ES1Ind_17,S&P500 EMINI FUT ,ES1 Index,2002-12-20,2002-12-27,1160.7,1166.45,28385227.500000004,489.0,142800.0
d056074535_DM1Ind_11,DJIA MINI e-CBOT ,DM1 Index,2003-01-06,2003-01-09,8744.0,8716.0,23407830.0,537.0,-82575.0
d056074535_DM1Ind_12,DJIA MINI e-CBOT ,DM1 Index,2003-01-14,2003-01-20,8889.0,,23605605.0,531.0,-546355.0
d056074535_ES1Ind_18,S&P500 EMINI FUT ,ES1 Index,2003-01-20,2003-02-03,1179.45,1130.95,33135520.0,562.0,-775787.5
d056074535_DM1Ind_13,DJIA MINI e-CBOT ,DM1 Index,2003-02-05,2003-02-07,8129.0,8063.0,0.0,0.0,0.0
d056074535_ES1Ind_19,S&P500 EMINI FUT ,ES1 Index,2003-02-10,2003-02-13,1107.7,1093.7,35691075.0,645.0,-446375.0
d056074535_DM1Ind_14,DJIA MINI e-CBOT ,DM1 Index,2003-02-20,2003-02-21,8119.0,8039.0,0.0,0.0,0.0
d056074535_ES1Ind_20,S&P500 EMINI FUT ,ES1 Index,2003-02-21,2003-02-27,1114.95,1103.7,32054812.5,575.0,-336050.0
d056074535_ES1Ind_21,S&P500 EMINI FUT ,ES1 Index,2003-03-05,2003-03-11,1098.45,1083.95,37017765.0,674.0,-474300.0
d056074535_ES1Ind_22,S&P500 EMINI FUT ,ES1 Index,2003-03-27,2003-04-01,1145.2,1121.7,25308920.0,442.0,-531875.0
d056074535_DM1Ind_15,DJIA MINI e-CBOT ,DM1 Index,2003-04-09,2003-04-10,8418.0,8316.0,19960140.0,474.0,-237150.0
d056074535_ES1Ind_23,S&P500 EMINI FUT ,ES1 Index,2003-04-14,2003-05-02,1148.2,1193.95,28865340.000000004,504.0,1061887.5
d056074535_ES1Ind_24,S&P500 EMINI FUT ,ES1 Index,2003-05-29,2003-06-04,1228.7,1249.7,46033540.0,749.0,771650.0
d056074535_DM1Ind_16,DJIA MINI e-CBOT ,DM1 Index,2003-06-04,2003-06-20,9078.0,9309.0,0.0,0.0,0.0
d056074535_ES1Ind_25,S&P500 EMINI FUT ,ES1 Index,2003-06-20,2003-06-24,1271.95,1259.45,44527000.0,700.0,-437500.0
