Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
db8ccc5b2a_ES1Ind_1,S&P500 EMINI FUT ,ES1 Index,2010-01-14,2010-01-19,1314.95,1305.2,60356205.00000001,918.0,-447575.0
db8ccc5b2a_WN1Com_1,US ULTRA BOND CBT,WN1 Comdty,2010-01-25,2010-01-26,98.21875,98.96875,0.0,0.0,0.0
db8ccc5b2a_ES1Ind_2,S&P500 EMINI FUT ,ES1 Index,2010-02-04,2010-02-05,1269.7,1235.2,37146037.5,585.0,-841800.0
db8ccc5b2a_WN1Com_2,US ULTRA BOND CBT,WN1 Comdty,2010-02-09,2010-02-10,99.53125,98.25,0.0,0.0,0.0
db8ccc5b2a_ES1Ind_3,S&P500 EMINI FUT ,ES1 Index,2010-02-11,2010-02-18,1236.95,1273.2,30051810.000000004,486.0,850412.5
db8ccc5b2a_ES1Ind_4,S&P500 EMINI FUT ,ES1 Index,2010-03-04,2010-03-10,1291.7,1313.45,39210682.5,607.0,723112.5
db8ccc5b2a_WN1Com_3,US ULTRA BOND CBT,WN1 Comdty,2010-03-16,2010-03-22,97.625,98.84375,35730750.0,366.0,444937.5
db8ccc5b2a_ES1Ind_5,S&P500 EMINI FUT ,ES1 Index,2010-03-25,2010-03-31,1342.45,1347.2,87476905.0,1303.0,307250.0
db8ccc5b2a_ES1Ind_6,S&P500 EMINI FUT ,ES1 Index,2010-04-27,2010-04-28,1385.95,1359.7,0.0,0.0,0.0
db8ccc5b2a_ES1Ind_7,S&P500 EMINI FUT ,ES1 Index,2010-05-12,2010-05-17,1329.95,1311.95,21420245.0,322.0,-285350.0
db8ccc5b2a_WN1Com_4,US ULTRA BOND CBT,WN1 Comdty,2010-05-25,2010-05-27,110.25,108.9375,18955125.0,174.0,-228468.75
db8ccc5b2a_WN1Com_5,US ULTRA BOND CBT,WN1 Comdty,2010-06-09,2010-06-11,109.3125,106.90625,21815375.0,199.0,-512468.75
