Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
22aa30b8d1_US1Com_1,US LONG BOND(CBT),US1 Comdty,1999-06-24,1999-06-25,30.34375,29.84375,15495750.0,511.2,-212500.0
22aa30b8d1_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,1999-07-07,1999-07-09,4671.5,4698.5,0.0,0.0,0.0
22aa30b8d1_US1Com_2,US LONG BOND(CBT),US1 Comdty,1999-07-08,1999-07-09,31.34375,32.21875,0.0,0.0,0.0
22aa30b8d1_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,1999-07-21,1999-07-27,4662.5,4561.5,0.0,0.0,0.0
22aa30b8d1_US1Com_3,US LONG BOND(CBT),US1 Comdty,1999-07-26,1999-07-27,31.8125,31.8125,0.0,0.0,0.0
22aa30b8d1_US1Com_4,US LONG BOND(CBT),US1 Comdty,1999-07-30,1999-08-02,31.5625,31.21875,0.0,0.0,0.0
22aa30b8d1_US1Com_5,US LONG BOND(CBT),US1 Comdty,1999-08-11,1999-08-12,29.90625,30.28125,0.0,0.0,0.0
22aa30b8d1_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,1999-08-20,1999-08-25,4597.5,4721.5,38234560.0,416.0,1016430.0
22aa30b8d1_US1Com_6,US LONG BOND(CBT),US1 Comdty,1999-08-24,1999-08-25,31.34375,31.875,0.0,0.0,0.0
22aa30b8d1_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,1999-08-27,1999-09-02,4731.5,4720.0,37221030.0,393.0,-93000.0
22aa30b8d1_US1Com_7,US LONG BOND(CBT),US1 Comdty,1999-09-01,1999-09-02,30.75,30.59375,21159075.0,688.8,-89687.5
22aa30b8d1_US1Com_8,US LONG BOND(CBT),US1 Comdty,1999-09-03,1999-09-07,29.84375,31.125,21366675.0,698.4,694437.5
22aa30b8d1_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,1999-09-24,1999-09-28,4709.5,4727.5,32680460.0,347.0,127080.0
22aa30b8d1_US1Com_9,US LONG BOND(CBT),US1 Comdty,1999-09-30,1999-10-01,29.84375,30.6875,18104250.0,606.0,416812.5
22aa30b8d1_US1Com_10,US LONG BOND(CBT),US1 Comdty,1999-10-08,1999-10-11,29.34375,29.34375,17218912.5,586.8,0.0
22aa30b8d1_US1Com_11,US LONG BOND(CBT),US1 Comdty,1999-10-13,1999-10-14,29.0,28.375,17520300.0,604.8,-319375.0
22aa30b8d1_US1Com_12,US LONG BOND(CBT),US1 Comdty,1999-10-15,1999-10-18,28.0,28.75,17399550.0,613.1999999999999,376500.0
