Year,1,2,3,4,5,6,7,8,9,10,11,12,Annual_PnL,Sharpe_Ratio,Annual_Vol,Hit_Rate,Profit_Factor,Worst_Drawdown
2010,-307925.0,-133177.5,447217.5,971887.5,-405870.0,-443680.0,1524510.0,-486605.0,1173620.0,-548235.0,858330.0,1215297.5,3865370.0,1.2912443824301956,3079052.421799849,0.6176470588235294,1.5038506997998802,-1621315.0
2011,1301970.0,889682.5,408277.5,-304235.0,843030.0,1252095.0,1010490.0,-1800400.0,322417.5,794407.5,-27535.0,-221467.5,4468732.5,1.3215247104961576,3381497.4964200594,0.5975609756097561,1.5197729680941021,-2474760.0
2012,170250.0,1537835.0,1537832.5,1575040.0,-1241000.0,505867.5,779432.5,267780.0,-251185.0,-384600.0,-166122.5,-1964510.0,2366620.0,0.6501999447241141,3625447.5102288704,0.5222222222222223,1.210316634233573,-4152802.5
2013,665835.0,534440.0,-404310.0,1115872.5,-43425.0,906172.5,852630.0,917735.0,406305.0,710407.5,811845.0,4227.5,6477735.0,2.5846634157971824,2506219.9435364725,0.7205882352941176,2.3751437586076047,-844160.0
2014,1587020.0,37762.5,106185.0,-73365.0,-189082.5,1286775.0,1954670.0,1266965.0,1253925.0,-515550.0,473325.0,115052.5,7303682.5,2.2860423374307604,3194902.5529459226,0.618421052631579,2.054641893152941,-1457862.5
2015,-1572490.0,-801685.0,491975.0,375967.5,800295.0,1026772.5,-517280.0,250355.0,597040.0,512285.0,131060.0,826947.5,2121242.5,0.6865234534973208,3077619.754327499,0.5542168674698795,1.2224274801276007,-2212015.0
2016,-325815.0,1138590.0,864960.0,397837.5,56645.0,491425.0,206775.0,924750.0,633605.0,-21545.0,215270.0,-330097.5,4252400.0,1.2355162177142072,3441800.228140463,0.5303030303030303,1.551979270273384,-1495795.0
2017,1421850.0,856440.0,383170.0,673010.0,727877.5,636810.0,150562.5,2464445.0,1494875.0,801300.0,-89772.5,521215.0,10041782.5,3.228816827085808,3122440.863482807,0.6901408450704225,2.9204222840362637,-938775.0
2018,-304110.0,318605.0,196565.0,823145.0,-25782.5,237220.0,637365.0,1463667.5,143550.0,-1716547.5,-103642.5,32385.0,1702420.0,0.42524056940458965,4003427.99461416,0.5517241379310345,1.1385585449570357,-2963010.0
2019,667200.0,174560.0,1612462.5,134340.0,-1933127.5,542535.0,123767.5,-1935115.0,-810865.0,203395.0,1708950.0,161437.5,649540.0,0.17897171587914093,3629288.5543916468,0.5571428571428572,1.0652822390981858,-4322165.0
2020,161292.5,-649355.0,493837.5,72300.0,800122.5,1725267.5,780987.5,-2329387.5,949242.5,-360790.0,-497340.0,180505.0,1326682.5,0.3678277536423637,3592547.5513112033,0.6351351351351351,1.1267470704818354,-2841527.5
2021,466752.5,1788067.5,642372.5,-74437.5,463005.0,1283242.5,1657280.0,-961922.5,479700.0,-266902.5,769327.5,969045.0,7215530.0,2.2054470270752273,3258754.3615174433,0.6375,1.9695517277983587,-1177332.5
2022,-359190.0,454845.0,822622.5,136350.0,202010.0,-1004617.5,1760605.0,-92202.5,634480.0,642052.5,575230.0,46280.0,3818465.0,1.2018305306594228,3189865.71747737,0.5638297872340425,1.3970959783069319,-1859690.0
2023,1199587.5,-870175.0,510295.0,-286455.0,790977.5,115800.0,81387.5,206882.5,482175.0,754587.5,1386675.0,1704687.5,6076425.0,2.1792491561616956,2799420.0880118087,0.5942028985507246,2.000734523337997,-1269262.5
2024,711842.5,1359827.5,702525.0,261787.5,1290675.0,1630740.0,-58260.0,832410.0,-33192.5,-415125.0,,,6283230.0,2.3855658945787805,3369192.73003553,0.6166666666666667,2.193411878220603,-1019585.0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Settings: ,byac,byassets,totalsys,filter_assets,filter_ac,start_date,end_date,,,,,,,,,,
,Settings: ,False,False,True,[],[],,,,,,,,,,,,
,18102024_1958,,,,,,,,,,,,,,,,,
