Year,1,2,3,4,5,6,7,8,9,10,11,12,Annual_PnL,Sharpe_Ratio,Annual_Vol,Hit_Rate,Profit_Factor,Worst_Drawdown
1999,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2010,-307925.0,973185.0,475005.0,525525.0,-46320.0,-672055.0,1131135.0,-486605.0,599795.0,432315.0,591105.0,582560.0,3797720.0,1.5131359302655765,2499913.7046120763,0.6666666666666666,1.882176195050111,-1490140.0
2011,869295.0,596545.0,509190.0,-190760.0,283830.0,1217445.0,-44985.0,-1864750.0,188280.0,320970.0,-27535.0,371220.0,2228745.0,0.7574668145106169,2942366.5265651867,0.5714285714285714,1.3560966763703062,-2652345.0
2012,0.0,1335635.0,1680145.0,993565.0,-1241000.0,361305.0,-70355.0,111930.0,1059890.0,349125.0,5215.0,-1161935.0,3423520.0,1.1574000515756016,2946248.61624392,0.576271186440678,1.5509197497984453,-1827905.0
2013,422910.0,534440.0,325890.0,598935.0,0.0,1057260.0,145080.0,917735.0,542730.0,696195.0,183720.0,-99385.0,5325510.0,2.6137735952957346,2037479.4548329832,0.7441860465116279,3.23958534841667,-685450.0
2014,1587020.0,0.0,337860.0,747210.0,175755.0,1401300.0,977420.0,562340.0,722250.0,88275.0,0.0,-9935.0,6589495.0,2.4956265252101413,2640417.1190820066,0.6530612244897959,2.991770847187126,-1377605.0
2015,-1684615.0,467090.0,265100.0,238680.0,470820.0,254310.0,-783005.0,325880.0,148990.0,458960.0,-93940.0,225485.0,293755.0,0.10722301315052572,2728835.0182131,0.5087719298245614,1.0392699850743177,-1348290.0
2016,-325815.0,-453735.0,558060.0,0.0,-292105.0,-1100975.0,0.0,506625.0,633605.0,299830.0,825620.0,176715.0,827825.0,0.3367112387184435,2458560.6442801985,0.5,1.1615339210014097,-1808860.0
2017,597300.0,693315.0,310045.0,-139240.0,559240.0,636810.0,0.0,1764695.0,48050.0,0.0,627565.0,628690.0,5726470.0,2.5788660349554164,2229384.7542233183,0.6764705882352942,3.8259745258763207,-763750.0
2018,866490.0,-145945.0,329240.0,653420.0,136705.0,482170.0,7590.0,541880.0,0.0,-1943235.0,388470.0,-812490.0,504295.0,0.15909654504845847,3169741.9943745434,0.5555555555555556,1.0705151375534234,-3548830.0
2019,576300.0,364910.0,517575.0,-156960.0,-1885540.0,5985.0,399505.0,-1935115.0,-767815.0,243070.0,1572525.0,0.0,-1065560.0,-0.31882546754295227,3342142.0447111796,0.5641025641025641,0.8634631758945029,-4492340.0
2020,-850120.0,-1084505.0,138675.0,0.0,480885.0,2071505.0,218975.0,0.0,656705.0,-1154290.0,242160.0,408055.0,1128045.0,0.39180598033757,2867711.0113087576,0.6511627906976745,1.1969201039026331,-2964010.0
2021,441290.0,559455.0,769910.0,0.0,463005.0,734280.0,771980.0,417965.0,659775.0,604035.0,247890.0,1192320.0,6861905.0,2.646194364741131,2582872.5723699545,0.7333333333333333,3.4823929267825036,-695110.0
2022,-708165.0,-59805.0,558660.0,400950.0,202010.0,-750630.0,1154830.0,11110.0,-161045.0,1415640.0,467980.0,-320020.0,2211515.0,0.8590827260376778,2584530.85999507,0.5441176470588235,1.3497268148429284,-1218755.0
2023,517950.0,232925.0,359995.0,-406380.0,573440.0,78225.0,354275.0,997645.0,304950.0,285800.0,0.0,714800.0,4013625.0,2.1326190048482094,1889514.9713511139,0.5384615384615384,2.6959205792190177,-990735.0
2024,532030.0,1385365.0,374400.0,10200.0,1341525.0,1892040.0,611790.0,485910.0,-85805.0,0.0,,,6547455.0,2.855478233037653,2832461.6708616223,0.6410256410256411,3.8899366835789997,-799495.0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Settings: ,byac,byassets,totalsys,filter_assets,filter_ac,start_date,end_date,,,,,,,,,,
,Settings: ,False,False,True,['NQ1 Index'],[],,,,,,,,,,,,
,22102024_1501,,,,,,,,,,,,,,,,,
