,fi-us,eq-us,Total,,,,,,
Total PnL,19665450.0,48414320.0,68079770.0,,,,Settings: ,Settings: ,22102024_1501
Average Ann. PnL,1330030.4347826089,3274398.45410628,4604428.888888889,,,,byac,True,
Average Ann. Vol,1942208.4396199782,2679040.5937886494,3305138.4971613027,,,,byassets,False,
Sharpe Ratio (ann.),0.6848031383505104,1.2222280101682546,1.393112238063099,,,,totalsys,True,
Sortino Ratio (ann.),0.3694535915424213,0.6769933750283502,1.0426756080575952,,,,filter_assets,[],
Max drawdown,3891375.0,6801160.0,4322165.0,,,,filter_ac,[],
Average drawdown,1241365.6623330992,1264394.5912070961,1063226.7619227858,,,,start_date,01012000,
Max drawdown Duration,780.0,719.0,295.0,,,,end_date,,
Avg Drawdown Duration,71.15,33.675324675324674,24.238532110091743,,,,,,
Total Number of Drawdowns,40.0,77.0,109.0,,,,,,
Drawdowns per year,2.7053140096618358,5.207729468599034,7.371980676328502,,,,,,
HWM PnL,21044700.0,48523525.0,68669720.0,,,,,,
Exposure Time,3726.0,3726.0,3726.0,,,,,,
Daily PnL Skew,0.6072476389394096,-0.31827606170358086,-0.1625042676120159,,,,,,
Weekly PnL Skew,0.0001006251821719672,-0.773919472595409,-0.447694111728605,,,,,,
Monthly PnL Skew,-0.18972174150319104,-0.6154425277457861,-0.3197290221319978,,,,,,
Quarterly PnL Skew,-0.10811877256383168,-0.49776056036011634,-0.15692373213285282,,,,,,
Yearly PnL Skew,0.21166880399699392,-0.7435135663837912,-0.15609756271499078,,,,,,
Daily Left Tail,20.25323852946492,9.423541392933274,8.506004916830873,,,,,,
Daily Right Tail,-21.580197585178766,-11.315032548644455,-8.787669184170541,,,,,,
Weekly Left Tail,7.49547401117648,4.531132308478624,3.4098911872422724,,,,,,
Weekly Right Tail,-6.208904418621779,-3.868657950613496,1.2770673119808518,,,,,,
Monthly Left Tail,1.7429237748616824,1.8708438098635682,1.485990840581988,,,,,,
Monthly Right Tail,1.2453624352030697,1.086244747722737,1.0172196866262833,,,,,,
Quarterly Left Tail,1.238366920471737,1.6609076703040748,1.436815523716006,,,,,,
Quarterly Right Tail,1.0644270582633177,0.9139179494870618,1.062847382895348,,,,,,
Yearly Left Tail,0.9726119569300299,1.9622792418870987,1.4137789613474605,,,,,,
Yearly Right Tail,1.228618134835978,0.720825906683521,1.1329546259456036,,,,,,
Num_Trades,,,712.0,,,,,,
Hit Rate (%),,,63.48314606741573,,,,,,
Average Win,,,325641.9800884956,,,,,,
Average Loss,,,-325644.18972332013,,,,,,
W/L ratio,,,0.9999932145731621,,,,,,
Total Wins,,,452.0,,,,,,
Total Losses,,,253.0,,,,,,
Total PnL Winners,,,147190175.0,,,,,,
Total PnL Losers,,,-82387980.0,,,,,,
Profit Factor,,,1.7865491422413804,,,,,,
PnL Skew,,,-0.7573926776731017,,,,,,
Trade EV,,,91014.31882022473,,,,,,
Best Trade,,,1326885.0,,,,,,
Worst Trade,,,-1935115.0,,,,,,
25p Trade,,,-125820.3125,,,,,,
50p Trade,,,125952.5,,,,,,
75p Trade,,,344056.875,,,,,,
Pareto Number (%),,,9.831460674157304,,,,,,
