Year,1,2,3,4,5,6,7,8,9,10,11,12,Annual_PnL,Sharpe_Ratio,Annual_Vol,Hit_Rate,Profit_Factor,Worst_Drawdown
2010,0.0,-1106362.5,-27787.5,446362.5,-359550.0,228375.0,393375.0,0.0,573825.0,-980550.0,267225.0,632737.5,67650.0,0.04017171445901756,1732135.6103395661,0.52,1.0200937858519252,-1256475.0
2011,432675.0,293137.5,-100912.5,-113475.0,559200.0,34650.0,1055475.0,64350.0,134137.5,473437.5,0.0,-592687.5,2239987.5,1.3351155636188945,1677748.0249937372,0.6296296296296297,1.9578121993457764,-592687.5
2012,170250.0,202200.0,-142312.5,581475.0,0.0,144562.5,849787.5,155850.0,-1311075.0,-733725.0,-171337.5,-802575.0,-1056900.0,-0.4998880039328388,2105916.7680801256,0.41935483870967744,0.79023362781801,-3018712.5
2013,242925.0,0.0,-730200.0,516937.5,-43425.0,-151087.5,707550.0,0.0,-136425.0,14212.5,628125.0,103612.5,1152225.0,0.7806162753406257,1476045.320086647,0.68,1.4939474318784665,-747000.0
2014,0.0,37762.5,-231675.0,-820575.0,-364837.5,-114525.0,977250.0,704625.0,531675.0,-603825.0,473325.0,124987.5,714187.5,0.39475958560115293,1809170.7612683089,0.5555555555555556,1.197457776487543,-2062650.0
2015,112125.0,-1268775.0,226875.0,137287.5,329475.0,772462.5,265725.0,-75525.0,448050.0,53325.0,225000.0,601462.5,1827487.5,1.2777492272112123,1424586.4450428048,0.6538461538461539,1.8886882943997665,-1399875.0
2016,0.0,1592325.0,306900.0,397837.5,348750.0,1592400.0,206775.0,418125.0,0.0,-321375.0,-610350.0,-506812.5,3424575.0,1.4216877915232513,2408809.4590238957,0.6190476190476191,2.3277985373017143,-1461262.5
2017,824550.0,163125.0,73125.0,812250.0,168637.5,0.0,150562.5,699750.0,1446825.0,801300.0,-717337.5,-107475.0,4315312.5,1.941839623890321,2231134.294911468,0.7027027027027027,2.3474508793705064,-992287.5
2018,-1170600.0,464550.0,-132675.0,169725.0,-162487.5,-244950.0,629775.0,921787.5,143550.0,226687.5,-492112.5,844875.0,1198125.0,0.48974562810849726,2446423.063800316,0.5454545454545454,1.233322379231022,-1279500.0
2019,90900.0,-190350.0,1094887.5,291300.0,-47587.5,536550.0,-275737.5,0.0,-43050.0,-39675.0,136425.0,161437.5,1715100.0,1.2166400673147082,1409702.052461137,0.5483870967741935,1.7993847659663718,-644025.0
2020,1011412.5,435150.0,355162.5,72300.0,319237.5,-346237.5,562012.5,-2329387.5,292537.5,793500.0,-739500.0,-227550.0,198637.5,0.0914143014766951,2164348.1199923833,0.6129032258064516,1.0419179209597518,-2368800.0
2021,25462.5,1228612.5,-127537.5,-74437.5,0.0,548962.5,885300.0,-1379887.5,-180075.0,-870937.5,521437.5,-223275.0,353625.0,0.17683501621628428,1991841.2103204085,0.5142857142857142,1.0755948181876482,-2430900.0
2022,348975.0,514650.0,263962.5,-264600.0,0.0,-253987.5,605775.0,-103312.5,795525.0,-773587.5,107250.0,366300.0,1606950.0,0.8706553140017063,1853032.038384708,0.6071428571428571,1.4880748992004373,-776250.0
2023,681637.5,-1103100.0,150300.0,119925.0,217537.5,37575.0,-272887.5,-790762.5,177225.0,468787.5,1386675.0,989887.5,2062800.0,0.9949211202581606,2081590.4743843838,0.6451612903225806,1.5563782012380143,-1807575.0
2024,179812.5,-25537.5,328125.0,251587.5,-50850.0,-261300.0,-670050.0,346500.0,52612.5,-305212.5,,,-154312.5,-0.09822909112094508,1940579.1232936105,0.56,0.9564554872435213,-2010225.0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Settings: ,byac,byassets,totalsys,filter_assets,filter_ac,start_date,end_date,,,,,,,,,,
,Settings: ,False,False,True,['WN1 Comdty'],[],,,,,,,,,,,,
,22102024_1501,,,,,,,,,,,,,,,,,
