Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
412de48032_WN1Com_1,US ULTRA BOND CBT,WN1 Comdty,2010-01-14,2010-01-15,95.0625,96.75,0.0,0.0,0.0
412de48032_NQ1Ind_1,NASDAQ 100 E-MINI,NQ1 Index,2010-01-25,2010-01-29,3453.25,3436.25,62212500.0,900.0,-343985.0
412de48032_WN1Com_2,US ULTRA BOND CBT,WN1 Comdty,2010-01-28,2010-01-29,98.0625,98.375,0.0,0.0,0.0
412de48032_NQ1Ind_2,NASDAQ 100 E-MINI,NQ1 Index,2010-02-01,2010-02-03,3398.5,3427.5,60340550.0,878.0,502860.0
412de48032_WN1Com_3,US ULTRA BOND CBT,WN1 Comdty,2010-02-04,2010-02-05,97.34375,98.5625,0.0,0.0,0.0
412de48032_NQ1Ind_3,NASDAQ 100 E-MINI,NQ1 Index,2010-02-09,2010-02-12,3392.5,3431.75,54898740.0,809.0,629640.0
412de48032_WN1Com_4,US ULTRA BOND CBT,WN1 Comdty,2010-02-11,2010-02-12,98.03125,96.84375,0.0,0.0,0.0
412de48032_WN1Com_5,US ULTRA BOND CBT,WN1 Comdty,2010-02-16,2010-02-17,97.15625,96.4375,0.0,0.0,0.0
412de48032_WN1Com_6,US ULTRA BOND CBT,WN1 Comdty,2010-02-19,2010-02-22,96.4375,95.46875,0.0,0.0,0.0
412de48032_NQ1Ind_4,NASDAQ 100 E-MINI,NQ1 Index,2010-02-26,2010-03-01,3471.5,3479.75,55760320.0,803.0,132330.0
412de48032_WN1Com_7,US ULTRA BOND CBT,WN1 Comdty,2010-03-04,2010-03-05,98.34375,98.90625,0.0,0.0,0.0
412de48032_WN1Com_8,US ULTRA BOND CBT,WN1 Comdty,2010-03-10,2010-03-11,96.46875,96.40625,0.0,0.0,0.0
412de48032_NQ1Ind_5,NASDAQ 100 E-MINI,NQ1 Index,2010-03-16,2010-03-17,3578.25,3589.75,57395130.0,802.0,188600.0
412de48032_WN1Com_9,US ULTRA BOND CBT,WN1 Comdty,2010-03-25,2010-03-26,96.09375,95.625,38411550.0,399.59999999999997,-154218.75
412de48032_WN1Com_10,US ULTRA BOND CBT,WN1 Comdty,2010-04-06,2010-04-07,94.375,94.15625,40635000.0,432.0,-78968.75
412de48032_NQ1Ind_6,NASDAQ 100 E-MINI,NQ1 Index,2010-04-14,2010-04-15,3671.0,3687.25,119763750.0,1635.0,507650.0
412de48032_WN1Com_11,US ULTRA BOND CBT,WN1 Comdty,2010-04-27,2010-04-28,97.875,99.25,44796637.5,459.59999999999997,484000.0
412de48032_NQ1Ind_7,NASDAQ 100 E-MINI,NQ1 Index,2010-05-07,2010-05-11,3545.25,3601.0,52428355.0,739.0,794400.0
412de48032_WN1Com_12,US ULTRA BOND CBT,WN1 Comdty,2010-05-12,2010-05-13,103.09375,101.5,28596900.0,278.4,-366562.5
412de48032_NQ1Ind_8,NASDAQ 100 E-MINI,NQ1 Index,2010-05-21,2010-05-27,3461.25,3449.5,36348375.0,525.0,-122960.0
412de48032_NQ1Ind_9,NASDAQ 100 E-MINI,NQ1 Index,2010-06-09,2010-06-14,3455.75,3511.25,30798530.0,446.0,492105.0
