Trade_ID,Descr,AssetClass,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
e7f9507797_GC1Com_1,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-01-17,1980-01-22,2000.9,2007.1,10925040.0,56.0,11679.99999999901
e7f9507797_SB1Com_1,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-01-18,1980-01-23,41.11,42.56,2273600.0,50.0,86352.00000000017
e7f9507797_SM1Com_1,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-01-18,1980-01-23,-414.2,-416.7,-2313920.0,56.0,-12799.999999999989
e7f9507797_W1Comd_1,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-01-18,1980-01-23,2391.0,2393.0,5854887.5,49.0,7225.0
e7f9507797_SB1Com_2,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-01-24,1980-01-29,42.51,42.5,2574028.8000000003,54.0,-37833.59999999989
e7f9507797_SB1Com_3,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-02-01,1980-02-06,44.01,44.17,1239560.0,25.0,1904.0000000000955
e7f9507797_FC1Com_1,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-02-05,1980-02-08,202.7,204.625,5569437.5,55.0,54575.000000000335
e7f9507797_BO1Com_1,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-02-05,1980-02-08,57.77,57.59,4720560.0,136.0,-15563.999999999962
e7f9507797_S1Comd_1,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-02-05,1980-02-08,307.8125,303.8125,821665.625,53.0,-10850.0
e7f9507797_SB1Com_4,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-02-11,1980-02-15,48.76,47.7,1159312.0,22.0,-7873.599999999886
e7f9507797_FC1Com_2,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-02-11,1980-02-14,204.7,203.25,5729500.0,56.0,-42499.99999999967
e7f9507797_KC1Com_1,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-02-20,1980-02-25,355.34,362.37,3478702.5000000005,26.0,73683.7500000003
e7f9507797_KC1Com_2,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-02-26,1980-02-29,362.59,365.55,3940773.75,29.0,34245.00000000042
e7f9507797_SB1Com_5,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-03-04,1980-03-07,48.65,44.64,930865.6,17.0,-77884.79999999996
e7f9507797_KC1Com_3,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-03-04,1980-03-07,369.29,373.77,4292879.999999999,31.0,48899.99999999956
e7f9507797_US1Com_1,US LONG BOND(CBT),fi-us,US1 Comdty,1980-04-08,1980-04-11,-53.75,-50.625,-5478312.5,103.0,340875.0
e7f9507797_C1Comd_1,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-04-09,1980-04-14,1085.5625,1077.3125,9914596.875,183.0,-72600.0
e7f9507797_SB1Com_6,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-04-14,1980-04-17,44.65,45.54,1002623.9999999999,20.0,19936.00000000001
e7f9507797_US1Com_2,US LONG BOND(CBT),fi-us,US1 Comdty,1980-04-14,1980-04-17,-50.1875,-47.71875,-5568750.0,110.0,281031.25
e7f9507797_US1Com_3,US LONG BOND(CBT),fi-us,US1 Comdty,1980-04-18,1980-04-23,-48.40625,-48.53125,-5344500.0,112.0,-21718.75
e7f9507797_SM1Com_2,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-04-28,1980-05-01,-444.3,-447.6,-7311150.0,165.0,-52110.0000000002
e7f9507797_SB1Com_7,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-05-02,1980-05-07,47.22,50.75,1220251.2,23.0,97104.00000000003
e7f9507797_US1Com_4,US LONG BOND(CBT),fi-us,US1 Comdty,1980-05-02,1980-05-07,-45.53125,-42.875,-5661843.75,123.0,319656.25
e7f9507797_W1Comd_2,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-05-06,1980-05-09,2339.5,2344.0,6551300.0,56.0,12650.0
e7f9507797_SM1Com_3,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-05-06,1980-05-09,-441.5,-442.2,-5648640.0,128.0,-9089.999999999844
e7f9507797_KC1Com_4,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-05-06,1980-05-09,371.49,377.44,4328917.5,31.0,74463.74999999985
e7f9507797_SB1Com_8,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-05-08,1980-05-13,52.02,53.99,1307320.0,23.0,52124.79999999996
e7f9507797_KC1Com_5,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-05-12,1980-05-15,377.44,380.51,4529280.0,32.0,38902.4999999999
e7f9507797_FC1Com_3,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-05-12,1980-05-15,186.8,185.35,4204125.0,45.0,-32650.000000000375
e7f9507797_BO1Com_2,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-05-22,1980-05-28,53.86,53.99,4647456.0,144.0,9558.000000000222
e7f9507797_SB1Com_9,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-05-27,1980-05-30,56.52,56.19,1032192.0,16.0,-7806.400000000094
e7f9507797_US1Com_5,US LONG BOND(CBT),fi-us,US1 Comdty,1980-05-27,1980-05-30,-42.03125,-45.0,-4678437.5,110.0,-332031.25
e7f9507797_GC1Com_2,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-06-02,1980-06-05,1750.1,1767.1,18113550.0,105.0,168850.0
e7f9507797_US1Com_6,US LONG BOND(CBT),fi-us,US1 Comdty,1980-06-09,1980-06-12,-41.1875,-39.65625,-4702500.0,114.0,188156.25
e7f9507797_GC1Com_3,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-06-09,1980-06-12,1810.1,1779.6,17325170.0,97.0,-298450.0
e7f9507797_FC1Com_4,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-06-12,1980-06-17,187.7,189.45,4701875.0,50.0,45912.5
e7f9507797_US1Com_7,US LONG BOND(CBT),fi-us,US1 Comdty,1980-06-13,1980-06-18,-37.96875,-39.40625,-4917375.0,124.0,-183562.5
e7f9507797_C1Comd_2,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-06-16,1980-06-19,1077.8125,1077.5625,13567837.5,252.0,-3900.0
e7f9507797_BO1Com_3,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-06-17,1980-06-20,54.02,54.13,5227025.999999999,161.0,11585.999999999958
