Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
20790a149a_GC1Com_1,GOLD 100 OZ FUTR ,GC1 Comdty,1980-01-17,1980-01-18,1931.855,2041.1,10925040.0,56.0,589922.9999999994
20790a149a_SM1Com_1,SOYBEAN MEAL FUTR,SM1 Comdty,1980-01-18,1980-01-21,-416.294,-419.3,-2355240.0,57.0,-17434.800000000167
20790a149a_SB1Com_1,SUGAR #11 (WORLD),SB1 Comdty,1980-01-22,1980-01-23,40.70375,42.56,2532376.0,55.0,110187.00000000017
20790a149a_BO1Com_1,SOYBEAN OIL FUTR ,BO1 Comdty,1980-02-05,1980-02-06,57.6017,57.64,4894110.0,141.0,3286.139999999962
20790a149a_SB1Com_2,SUGAR #11 (WORLD),SB1 Comdty,1980-02-05,1980-02-06,44.607749999999996,44.17,1322921.6,26.0,-10786.159999999854
20790a149a_SB1Com_3,SUGAR #11 (WORLD),SB1 Comdty,1980-02-14,1980-02-15,50.4501,47.7,1041263.9999999999,18.0,-43121.56799999994
20790a149a_SB1Com_4,SUGAR #11 (WORLD),SB1 Comdty,1980-03-04,1980-03-05,48.0892,47.72,930865.6,17.0,-7029.567999999987
20790a149a_FC1Com_1,CATTLE FEEDER FUT,FC1 Comdty,1980-04-17,1980-04-18,187.32737500000002,186.55,3864762.5000000005,41.0,-15936.187500000131
20790a149a_US1Com_1,US LONG BOND(CBT),US1 Comdty,1980-04-18,1980-04-21,-48.72828125,-47.75,-5535375.0,116.0,117393.75000000025
20790a149a_BO1Com_2,SOYBEAN OIL FUTR ,BO1 Comdty,1980-05-12,1980-05-13,53.114,53.18,4453560.0,139.0,5148.000000000195
20790a149a_BO1Com_3,SOYBEAN OIL FUTR ,BO1 Comdty,1980-06-17,1980-06-18,53.91045,54.01,5324423.999999999,164.0,9795.720000000068
20790a149a_BO1Com_4,SOYBEAN OIL FUTR ,BO1 Comdty,1980-07-01,1980-07-02,55.67415,56.9,4363320.0,130.0,98558.34000000008
20790a149a_BO1Com_5,SOYBEAN OIL FUTR ,BO1 Comdty,1980-07-08,1980-07-09,56.89040000000001,56.89,3985992.0000000005,116.0,-28.08000000043336
20790a149a_BO1Com_6,SOYBEAN OIL FUTR ,BO1 Comdty,1980-07-15,1980-07-16,58.562850000000005,59.64,3368130.0,95.0,60751.259999999784
20790a149a_BO1Com_7,SOYBEAN OIL FUTR ,BO1 Comdty,1980-09-04,1980-09-05,58.054849999999995,58.79,3398880.0,97.0,44550.090000000266
20790a149a_BO1Com_8,SOYBEAN OIL FUTR ,BO1 Comdty,1980-09-09,1980-09-10,58.81395,58.83,3655470.0,103.0,991.8899999999937
20790a149a_BO1Com_9,SOYBEAN OIL FUTR ,BO1 Comdty,1980-10-14,1980-10-15,57.3956,57.18,2911608.0,84.0,-10995.600000000102
20790a149a_BO1Com_10,SOYBEAN OIL FUTR ,BO1 Comdty,1980-11-06,1980-11-07,58.2794,58.2,2820000.0,80.0,-3572.9999999999864
20790a149a_BO1Com_11,SOYBEAN OIL FUTR ,BO1 Comdty,1981-02-09,1981-02-10,53.17145,52.85,3116028.0,97.0,-16779.68999999993
20790a149a_BO1Com_12,SOYBEAN OIL FUTR ,BO1 Comdty,1981-03-20,1981-03-23,53.506299999999996,53.64,4424826.0,137.0,8984.640000000309
20790a149a_BO1Com_13,SOYBEAN OIL FUTR ,BO1 Comdty,1981-10-06,1981-10-07,47.33175,47.92,4049556.0,142.0,49413.00000000018
20790a149a_RS1Com_1,CANOLA FUTR (WCE),RS1 Comdty,1982-01-28,1982-01-29,492.1605,485.5,5109684.0600000005,619.0,-56879.551036000106
20790a149a_SB1Com_5,SUGAR #11 (WORLD),SB1 Comdty,1982-01-28,1982-01-29,29.252850000000002,28.98,4312100.8,131.0,-35143.080000000235
20790a149a_BO1Com_14,SOYBEAN OIL FUTR ,BO1 Comdty,1982-03-23,1982-03-24,42.722500000000004,42.86,4509750.000000001,175.0,14684.999999999545
20790a149a_BO1Com_15,SOYBEAN OIL FUTR ,BO1 Comdty,1982-04-07,1982-04-08,43.445,43.67,5027328.000000001,192.0,25110.00000000016
20790a149a_BO1Com_16,SOYBEAN OIL FUTR ,BO1 Comdty,1982-05-20,1982-05-21,44.1111,44.46,5955264.0,224.0,49194.90000000006
20790a149a_SB1Com_6,SUGAR #11 (WORLD),SB1 Comdty,1982-06-23,1982-06-24,22.79255,22.59,2469734.4,96.0,-22005.031999999857
20790a149a_SB1Com_7,SUGAR #11 (WORLD),SB1 Comdty,1982-07-01,1982-07-02,23.096700000000002,23.55,2294476.8000000003,88.0,45692.63999999987
20790a149a_SB1Com_8,SUGAR #11 (WORLD),SB1 Comdty,1982-07-07,1982-07-08,23.5386,23.41,2582372.8000000003,97.0,-13394.975999999866
20790a149a_TY1Com_1,US 10YR NOTE,TY1 Comdty,1982-07-13,1982-07-14,-41.63375,-42.171875,-11289656.25,274.0,-132916.87500000023
20790a149a_SB1Com_9,SUGAR #11 (WORLD),SB1 Comdty,1982-07-14,1982-07-15,24.638550000000002,24.52,1842086.4000000001,66.0,-7701.008000000169
20790a149a_TY1Com_2,US 10YR NOTE,TY1 Comdty,1982-08-03,1982-08-04,-40.0478125,-40.140625,-7784578.125,197.0,-18191.250000000167
20790a149a_TY1Com_3,US 10YR NOTE,TY1 Comdty,1982-08-19,1982-08-20,-36.47328125,-34.921875,-6658218.75,186.0,294767.18749999994
20790a149a_BO1Com_17,SOYBEAN OIL FUTR ,BO1 Comdty,1982-10-14,1982-10-15,39.8232,39.44,4536000.0,189.0,-42535.200000000244
20790a149a_BO1Com_18,SOYBEAN OIL FUTR ,BO1 Comdty,1982-11-08,1982-11-09,39.62645,39.4,4704360.0,197.0,-24456.59999999998
20790a149a_SB1Com_10,SUGAR #11 (WORLD),SB1 Comdty,1982-12-01,1982-12-02,22.1401,21.75,2922192.0,117.0,-48060.32000000004
20790a149a_TY1Com_4,US 10YR NOTE,TY1 Comdty,1983-01-04,1983-01-05,-27.20515625,-27.078125,-6833203.125,255.0,32774.06250000044
20790a149a_BO1Com_19,SOYBEAN OIL FUTR ,BO1 Comdty,1983-01-18,1983-01-19,38.727,38.59,6670092.0,286.0,-24413.399999998815
20790a149a_SB1Com_11,SUGAR #11 (WORLD),SB1 Comdty,1983-01-26,1983-01-27,20.53,20.57,2799843.2,121.0,5689.5999999998785
20790a149a_G1Comd_1,LONG GILT FUTURE ,G 1 Comdty,1983-02-14,1983-02-15,-3.9818500000000006,-2.49,-560094.9900000001,106.0,255182.43435000005
20790a149a_G1Comd_2,LONG GILT FUTURE ,G 1 Comdty,1983-03-11,1983-03-14,-0.5608000000000003,-0.05,-3809.484,126.0,90954.06960000005
20790a149a_SB1Com_12,SUGAR #11 (WORLD),SB1 Comdty,1983-03-15,1983-03-16,20.46625,20.15,3342192.0,145.0,-46400.20000000002
20790a149a_G1Comd_3,LONG GILT FUTURE ,G 1 Comdty,1983-03-16,1983-03-17,0.19469999999999976,0.26,148977.59999999998,120.0,10889.12109000004
20790a149a_BO1Com_20,SOYBEAN OIL FUTR ,BO1 Comdty,1983-03-22,1983-03-23,38.78295,39.25,4954440.000000001,212.0,56886.69000000005
20790a149a_G1Comd_4,LONG GILT FUTURE ,G 1 Comdty,1983-04-12,1983-04-13,1.9019499999999998,1.67,417381.99799999996,113.0,-40272.202774999976
20790a149a_TY1Com_5,US 10YR NOTE,TY1 Comdty,1983-04-15,1983-04-18,-24.675,-24.328125,-8683062.5,356.0,124528.12500000025
20790a149a_SB1Com_13,SUGAR #11 (WORLD),SB1 Comdty,1983-05-04,1983-05-05,21.295299999999997,21.54,3099095.9999999995,129.0,36450.51200000025
20790a149a_TY1Com_6,US 10YR NOTE,TY1 Comdty,1983-05-05,1983-05-06,-23.81828125,-23.703125,-9500312.5,404.0,44219.999999999345
20790a149a_SB1Com_14,SUGAR #11 (WORLD),SB1 Comdty,1983-05-10,1983-05-11,21.842950000000002,22.06,3377214.4000000004,137.0,29414.615999999573
20790a149a_SB1Com_15,SUGAR #11 (WORLD),SB1 Comdty,1983-05-18,1983-05-19,22.74405,22.89,2702448.0,105.0,17981.03999999989
20790a149a_G1Comd_5,LONG GILT FUTURE ,G 1 Comdty,1983-05-31,1983-06-01,1.5475499999999995,0.89,455167.48799999995,148.0,-149507.1434999999
20790a149a_BO1Com_21,SOYBEAN OIL FUTR ,BO1 Comdty,1983-06-07,1983-06-08,40.13345,40.02,4862592.0,201.0,-13614.000000000033
20790a149a_G1Comd_6,LONG GILT FUTURE ,G 1 Comdty,1983-06-14,1983-06-15,3.1755499999999994,2.51,746872.074,129.0,-124594.95329999994
20790a149a_CL1Com_1,WTI CRUDE FUTURE ,CL1 Comdty,1983-06-16,1983-06-17,62.9996,63.23,17868620.0,283.0,68428.7999999988
20790a149a_TY1Com_7,US 10YR NOTE,TY1 Comdty,1983-06-17,1983-06-20,-26.56671875,-27.046875,-7756125.0,296.0,-145487.3437500001
20790a149a_CL1Com_2,WTI CRUDE FUTURE ,CL1 Comdty,1983-06-21,1983-06-22,63.1806,62.89,20338560.0,321.0,-81367.99999999937
20790a149a_BO1Com_22,SOYBEAN OIL FUTR ,BO1 Comdty,1983-07-01,1983-07-05,39.87965,39.91,2694720.0,112.0,2130.569999999898
20790a149a_BO1Com_23,SOYBEAN OIL FUTR ,BO1 Comdty,1983-07-25,1983-07-26,43.2616,43.57,2956758.0,113.0,21649.679999999924
20790a149a_SB1Com_16,SUGAR #11 (WORLD),SB1 Comdty,1983-07-26,1983-07-27,24.19735,24.15,1372560.0,50.0,-2704.6320000000887
20790a149a_BO1Com_24,SOYBEAN OIL FUTR ,BO1 Comdty,1983-07-29,1983-08-01,43.9194,44.82,3355884.0,126.0,57278.15999999982
20790a149a_SB1Com_17,SUGAR #11 (WORLD),SB1 Comdty,1983-08-03,1983-08-04,24.565,24.31,1672608.0,60.0,-17136.00000000017
20790a149a_TY1Com_8,US 10YR NOTE,TY1 Comdty,1983-08-18,1983-08-19,-30.0440625,-30.296875,-7609609.375,257.0,-64467.187500000255
20790a149a_BO1Com_25,SOYBEAN OIL FUTR ,BO1 Comdty,1983-08-26,1983-08-29,53.654900000000005,55.08,1988844.0000000002,61.0,50448.53999999977
20790a149a_G1Comd_7,LONG GILT FUTURE ,G 1 Comdty,1983-09-13,1983-09-14,0.6567999999999995,0.73,230733.72,122.0,13306.296000000088
20790a149a_BO1Com_26,SOYBEAN OIL FUTR ,BO1 Comdty,1983-09-14,1983-09-15,55.747550000000004,54.38,2097336.0,62.0,-45129.150000000045
20790a149a_G1Comd_8,LONG GILT FUTURE ,G 1 Comdty,1983-11-02,1983-11-03,2.6486999999999994,2.85,678101.04,144.0,44301.29880000015
20790a149a_G1Comd_9,LONG GILT FUTURE ,G 1 Comdty,1983-11-14,1983-11-15,4.98665,4.73,964140.2400000001,118.0,-44213.50613999993
20790a149a_TY1Com_9,US 10YR NOTE,TY1 Comdty,1983-11-14,1983-11-15,-29.056875,-29.328125,-9301390.625,323.0,-86528.74999999949
20790a149a_FC1Com_2,CATTLE FEEDER FUT,FC1 Comdty,1983-11-29,1983-11-30,170.65275,170.425,8728650.0,102.0,-11956.874999999272
20790a149a_TY1Com_10,US 10YR NOTE,TY1 Comdty,1983-12-23,1983-12-27,-29.60390625,-29.203125,-13313953.125,453.0,188767.96875000067
20790a149a_US1Com_2,US LONG BOND(CBT),US1 Comdty,1983-12-28,1983-12-29,-55.7028125,-55.59375,-20389500.0,368.0,39371.5625000001
20790a149a_FC1Com_3,CATTLE FEEDER FUT,FC1 Comdty,1983-12-28,1983-12-29,173.43275,172.925,10601800.000000002,122.0,-29195.62499999927
20790a149a_G1Comd_10,LONG GILT FUTURE ,G 1 Comdty,1984-01-10,1984-01-11,5.0496,3.48,1636085.64,214.0,-431751.5985600001
20790a149a_FC1Com_4,CATTLE FEEDER FUT,FC1 Comdty,1984-01-13,1984-01-16,174.78900000000002,175.125,6752900.000000001,77.0,13439.999999999372
20790a149a_CL1Com_3,WTI CRUDE FUTURE ,CL1 Comdty,1984-01-30,1984-01-31,63.0307,63.08,15999720.000000002,253.0,11634.799999998875
20790a149a_CL1Com_4,WTI CRUDE FUTURE ,CL1 Comdty,1984-02-28,1984-02-29,63.9269,63.93,12513150.0,195.0,551.7999999993464
20790a149a_SB1Com_18,SUGAR #11 (WORLD),SB1 Comdty,1984-03-12,1984-03-13,17.472450000000002,17.41,1795830.4000000001,91.0,-6364.904000000193
20790a149a_BO1Com_27,SOYBEAN OIL FUTR ,BO1 Comdty,1984-04-05,1984-04-06,50.29965,50.55,2589780.0,85.0,11866.589999999876
20790a149a_BO1Com_28,SOYBEAN OIL FUTR ,BO1 Comdty,1984-05-03,1984-05-04,52.357,53.31,2506986.0000000005,79.0,46887.600000000144
20790a149a_BO1Com_29,SOYBEAN OIL FUTR ,BO1 Comdty,1984-05-15,1984-05-16,56.796499999999995,58.09,2929440.0,85.0,66744.60000000046
20790a149a_CL1Com_5,WTI CRUDE FUTURE ,CL1 Comdty,1984-05-17,1984-05-18,64.69815,64.75,17252760.0,266.0,12858.800000000429
20790a149a_BO1Com_30,SOYBEAN OIL FUTR ,BO1 Comdty,1984-05-21,1984-05-22,58.0914,57.29,3138318.0000000005,89.0,-37986.360000000044
20790a149a_SB1Com_19,SUGAR #11 (WORLD),SB1 Comdty,1984-05-22,1984-05-23,15.819999999999999,15.5,2715328.0,152.0,-51609.59999999976
20790a149a_G1Comd_11,LONG GILT FUTURE ,G 1 Comdty,1984-06-05,1984-06-06,-0.28795000000000026,-0.24,57330.00000000001,105.0,7325.009825000041
20790a149a_TY1Com_11,US 10YR NOTE,TY1 Comdty,1984-06-18,1984-06-19,-33.78390625,-33.953125,-8072968.75,242.0,-42643.124999999716
20790a149a_US1Com_3,US LONG BOND(CBT),US1 Comdty,1984-06-18,1984-06-19,-62.20015625,-62.40625,-13146093.75,213.0,-45340.62500000019
20790a149a_FC1Com_5,CATTLE FEEDER FUT,FC1 Comdty,1984-07-10,1984-07-11,170.077375,170.25,7592812.5,89.0,7854.437500000487
20790a149a_CL1Com_6,WTI CRUDE FUTURE ,CL1 Comdty,1984-08-03,1984-08-06,62.21335,62.55,8250000.0,132.0,44774.44999999984
20790a149a_TY1Com_12,US 10YR NOTE,TY1 Comdty,1984-08-06,1984-08-07,-30.99625,-30.890625,-8291750.0,272.0,26194.999999999964
20790a149a_US1Com_4,US LONG BOND(CBT),US1 Comdty,1984-08-06,1984-08-07,-59.20515625,-59.125,-12949218.75,221.0,16191.562500000344
20790a149a_FC1Com_6,CATTLE FEEDER FUT,FC1 Comdty,1984-08-10,1984-08-13,169.265375,168.825,7301400.000000001,86.0,-18495.750000000728
20790a149a_BO1Com_31,SOYBEAN OIL FUTR ,BO1 Comdty,1984-08-15,1984-08-16,49.1088,49.33,2109978.0,71.0,9821.279999999826
20790a149a_US1Com_5,US LONG BOND(CBT),US1 Comdty,1984-09-10,1984-09-11,-58.29421875,-57.09375,-15982125.0,276.0,334930.7812499997
20790a149a_G1Comd_12,LONG GILT FUTURE ,G 1 Comdty,1984-09-12,1984-09-13,2.4501500000000003,3.1,481440.0,128.0,109550.08837499998
20790a149a_TY1Com_13,US 10YR NOTE,TY1 Comdty,1984-09-20,1984-09-21,-28.923125,-29.359375,-10966484.375,385.0,-167520.00000000044
20790a149a_G1Comd_13,LONG GILT FUTURE ,G 1 Comdty,1984-09-28,1984-10-01,4.153549999999999,4.23,1008263.2,170.0,14474.851875000235
20790a149a_SB1Com_20,SUGAR #11 (WORLD),SB1 Comdty,1984-10-04,1984-10-05,13.9704,14.13,2067284.8,131.0,23416.51200000016
20790a149a_TY1Com_14,US 10YR NOTE,TY1 Comdty,1984-11-02,1984-11-05,-26.58953125,-25.765625,-7162531.25,274.0,233165.46875000006
20790a149a_BO1Com_32,SOYBEAN OIL FUTR ,BO1 Comdty,1984-11-02,1984-11-05,50.2106,50.39,2552759.9999999995,84.0,9149.400000000056
20790a149a_G1Comd_14,LONG GILT FUTURE ,G 1 Comdty,1984-11-06,1984-11-07,6.3077,6.82,1464229.55,170.0,106218.23280000014
20790a149a_G1Comd_15,LONG GILT FUTURE ,G 1 Comdty,1984-11-13,1984-11-14,6.93355,6.6,1634717.2400000002,172.0,-66429.48445000013
20790a149a_TY1Com_15,US 10YR NOTE,TY1 Comdty,1984-12-19,1984-12-20,-25.110625,-25.078125,-5970593.75,242.0,7897.4999999997235
