Trade_ID,Descr,AssetClass,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
4f2a369bcb_GC1Com_1,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-01-17,1980-01-21,1933.3200000000002,2057.1,10925040.0,56.0,671611.9999999986
4f2a369bcb_SM1Com_1,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-01-18,1980-01-22,-416.056,-419.8,-2313920.0,56.0,-21440.80000000016
4f2a369bcb_SB1Com_1,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-01-22,1980-01-24,40.735,42.89,2486332.8000000003,54.0,126246.40000000005
4f2a369bcb_SB1Com_2,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-02-05,1980-02-07,44.671,44.85,1373803.2,27.0,5372.640000000054
4f2a369bcb_BO1Com_1,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-02-05,1980-02-07,57.6208,57.9,4720560.0,136.0,24221.27999999965
4f2a369bcb_SB1Com_3,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-02-14,1980-02-19,50.5424,47.7,1099112.0,19.0,-47752.31999999996
4f2a369bcb_SB1Com_4,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-03-04,1980-03-06,48.150800000000004,46.35,930865.6,17.0,-35821.63200000004
4f2a369bcb_US1Com_1,US LONG BOND(CBT),fi-us,US1 Comdty,1980-04-18,1980-04-22,-48.650625,-47.3125,-5344500.0,112.0,156534.99999999977
4f2a369bcb_FC1Com_1,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-05-13,1980-05-15,187.238,185.35,4139300.0,44.0,-42286.00000000012
4f2a369bcb_BO1Com_2,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-05-23,1980-05-28,53.9352,53.99,4616136.0,142.0,4065.3600000000188
4f2a369bcb_BO1Com_3,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-06-17,1980-06-19,53.9258,53.88,5227025.999999999,161.0,-4814.279999999971
4f2a369bcb_BO1Com_4,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-07-01,1980-07-03,55.6946,56.9,4531140.0,135.0,99807.11999999978
4f2a369bcb_BO1Com_5,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-07-08,1980-07-10,56.9196,57.21,4123440.0000000005,120.0,20681.27999999987
4f2a369bcb_BO1Com_6,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-07-15,1980-07-17,58.6034,59.95,3545400.0,100.0,80424.00000000013
4f2a369bcb_BO1Com_7,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-09-04,1980-09-08,58.081399999999995,59.15,3223680.0,92.0,60910.2000000002
4f2a369bcb_BO1Com_8,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-10-14,1980-10-16,57.424400000000006,56.44,3015594.0000000005,87.0,-52717.680000000415
4f2a369bcb_BO1Com_9,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-11-06,1980-11-10,58.315599999999996,57.95,2855250.0,81.0,-17560.079999999696
4f2a369bcb_BO1Com_10,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-11-20,1980-11-24,59.1124,58.62,2997287.9999999995,84.0,-27503.280000000184
4f2a369bcb_BO1Com_11,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-02-09,1981-02-11,53.199799999999996,52.96,3083904.0,96.0,-12817.199999999748
4f2a369bcb_BO1Com_12,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-10-06,1981-10-08,47.347,47.57,4106592.0,144.0,17815.79999999991
4f2a369bcb_SB1Com_5,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1981-12-23,1981-12-29,29.224999999999998,28.62,2836624.0,86.0,-59102.3999999997
4f2a369bcb_RS1Com_1,CANOLA FUTR (WCE),comm-soft,RS1 Comdty,1982-01-28,1982-02-01,492.302,489.4,5258269.38,637.0,-27597.865712000385
4f2a369bcb_BO1Com_13,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1982-03-23,1982-03-25,42.74,42.72,4612830.0,179.0,-2676.000000000342
4f2a369bcb_BO1Com_14,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1982-04-07,1982-04-12,43.46,43.52,4948776.000000001,189.0,6642.000000000255
4f2a369bcb_SB1Com_6,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-07-01,1982-07-06,23.1108,23.77,2398771.2,92.0,69401.47199999983
4f2a369bcb_TY1Com_1,US 10YR NOTE,fi-us,TY1 Comdty,1982-07-13,1982-07-15,-41.600625,-41.671875,-11372062.5,276.0,-15382.499999999767
4f2a369bcb_SB1Com_7,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-07-14,1982-07-16,24.660200000000003,24.13,1953728.0,70.0,-38878.3360000003
4f2a369bcb_TY1Com_2,US 10YR NOTE,fi-us,TY1 Comdty,1982-08-03,1982-08-05,-40.006875,-40.296875,-8219250.0,208.0,-60967.499999999825
4f2a369bcb_TY1Com_3,US 10YR NOTE,fi-us,TY1 Comdty,1982-08-19,1982-08-23,-36.42125,-35.796875,-6801406.25,190.0,122628.12500000012
4f2a369bcb_BO1Com_15,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1982-10-14,1982-10-18,39.8368,39.36,4608000.0,192.0,-54067.19999999969
4f2a369bcb_BO1Com_16,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1982-11-08,1982-11-10,39.639799999999994,39.35,4752120.0,199.0,-32869.439999999144
4f2a369bcb_SB1Com_8,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-12-01,1982-12-03,22.1524,21.65,2847264.0000000005,114.0,-61335.680000000175
4f2a369bcb_TY1Com_4,US 10YR NOTE,fi-us,TY1 Comdty,1983-01-04,1983-01-06,-27.17375,-27.203125,-6538437.5,244.0,-8380.625000000422
4f2a369bcb_BO1Com_17,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1983-01-18,1983-01-20,38.738,38.57,6716736.0,288.0,-29649.599999999824
4f2a369bcb_SB1Com_9,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-01-26,1983-01-28,20.54,20.37,2822982.4,122.0,-24438.39999999974
4f2a369bcb_G1Comd_1,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-02-14,1983-02-16,-3.9394000000000005,-2.65,-528391.5,100.0,204492.6362000001
4f2a369bcb_FC1Com_2,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1983-02-25,1983-03-01,179.013,178.025,7630875.000000001,85.0,-38290.49999999998
4f2a369bcb_G1Comd_2,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-03-11,1983-03-15,-0.5192000000000002,0.82,-3628.08,120.0,234923.52480000004
4f2a369bcb_SB1Com_10,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-03-15,1983-03-17,20.474999999999998,20.29,3249993.5999999996,141.0,-27193.599999999813
4f2a369bcb_BO1Com_18,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1983-03-22,1983-03-24,38.7958,39.28,4931070.0,211.0,59325.12000000014
4f2a369bcb_BO1Com_19,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1983-04-11,1983-04-13,40.218599999999995,40.19,4630986.0,191.0,-3130.079999999698
4f2a369bcb_G1Comd_3,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-04-12,1983-04-14,1.9417999999999997,1.48,417381.99799999996,113.0,-80844.50909999997
4f2a369bcb_TY1Com_5,US 10YR NOTE,fi-us,TY1 Comdty,1983-04-15,1983-04-19,-24.653125,-25.078125,-8609890.625,353.0,-159225.00000000023
4f2a369bcb_SB1Com_11,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-05-04,1983-05-06,21.307199999999998,21.79,3195192.0,133.0,74380.09600000015
4f2a369bcb_TY1Com_6,US 10YR NOTE,fi-us,TY1 Comdty,1983-05-05,1983-05-09,-23.795,-24.296875,-9124062.5,388.0,-196833.74999999936
4f2a369bcb_SB1Com_12,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-05-10,1983-05-12,21.855800000000002,21.92,3377214.4000000004,137.0,9759.007999999925
4f2a369bcb_SB1Com_13,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-05-18,1983-05-20,22.7622,23.36,2805398.4000000004,109.0,70776.83199999994
4f2a369bcb_G1Comd_4,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-05-31,1983-06-02,1.5761999999999996,1.45,452092.032,147.0,-28686.431999999913
4f2a369bcb_BO1Com_20,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1983-06-07,1983-06-09,40.147800000000004,40.18,4959360.0,205.0,4344.5999999995
4f2a369bcb_G1Comd_5,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-06-14,1983-06-16,3.2181999999999995,2.54,764241.192,132.0,-133137.0815999999
4f2a369bcb_CL1Com_1,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1983-06-16,1983-06-20,63.0104,63.36,17300360.0,274.0,100106.80000000069
4f2a369bcb_TY1Com_7,US 10YR NOTE,fi-us,TY1 Comdty,1983-06-17,1983-06-21,-26.53875,-26.890625,-7991953.125,305.0,-110683.12499999991
4f2a369bcb_BO1Com_21,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1983-07-25,1983-07-27,43.2884,43.93,3035256.0,116.0,46242.23999999977
4f2a369bcb_SB1Com_14,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-07-26,1983-07-28,24.221400000000003,24.28,1345108.8,49.0,3427.199999999915
4f2a369bcb_BO1Com_22,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1983-07-29,1983-08-02,43.955600000000004,45.56,3329250.0,125.0,101525.03999999988
4f2a369bcb_SB1Com_15,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-08-03,1983-08-05,24.59,24.37,1561100.8000000003,56.0,-13731.199999999926
4f2a369bcb_TY1Com_8,US 10YR NOTE,fi-us,TY1 Comdty,1983-08-18,1983-08-22,-30.010625,-29.140625,-7639218.75,258.0,232553.75000000026
4f2a369bcb_BO1Com_23,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1983-08-26,1983-08-30,53.707600000000006,54.08,2119260.0,65.0,15653.279999999693
4f2a369bcb_G1Comd_6,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-09-13,1983-09-15,0.7031999999999995,0.92,242081.28,128.0,42656.0560000001
4f2a369bcb_G1Comd_7,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-11-02,1983-11-04,2.6887999999999996,2.39,682810.075,145.0,-69009.48439999988
4f2a369bcb_G1Comd_8,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-11-14,1983-11-16,5.0246,4.98,1013164.3200000002,124.0,-7099.28658
4f2a369bcb_TY1Com_9,US 10YR NOTE,fi-us,TY1 Comdty,1983-11-14,1983-11-16,-29.036875,-29.359375,-9272593.75,322.0,-103512.50000000051
4f2a369bcb_FC1Com_3,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1983-11-29,1983-12-01,170.691,170.625,8129625.0,95.0,-3734.0000000000946
4f2a369bcb_TY1Com_10,US 10YR NOTE,fi-us,TY1 Comdty,1983-12-23,1983-12-28,-29.5875,-29.578125,-12549796.875,427.0,3365.624999999389
4f2a369bcb_FC1Com_4,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1983-12-28,1983-12-30,173.461,173.075,9906600.0,114.0,-21498.000000001328
4f2a369bcb_US1Com_2,US LONG BOND(CBT),fi-us,US1 Comdty,1983-12-28,1983-12-30,-55.68,-55.78125,-19447593.75,351.0,-37023.7500000001
4f2a369bcb_G1Comd_9,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1984-01-10,1984-01-12,5.0804,3.92,1452599.4,190.0,-316049.08516000013
4f2a369bcb_FC1Com_5,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1984-01-13,1984-01-17,174.836,176.275,7191400.000000001,82.0,61587.99999999971
4f2a369bcb_CL1Com_2,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1984-01-30,1984-02-01,63.046800000000005,63.4,15430560.000000002,244.0,85208.79999999859
4f2a369bcb_BO1Com_24,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1984-02-24,1984-02-28,46.878,46.3,1988280.0,70.0,-25233.60000000013
4f2a369bcb_CL1Com_3,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1984-02-28,1984-03-01,63.9456,64.11,13283190.0,207.0,32809.2000000001
4f2a369bcb_SB1Com_16,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1984-03-12,1984-03-14,17.483800000000002,17.04,1914236.8,97.0,-49954.68800000034
4f2a369bcb_BO1Com_25,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1984-03-16,1984-03-20,48.653800000000004,49.74,2444682.0,83.0,55944.4799999999
4f2a369bcb_BO1Com_26,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1984-04-05,1984-04-09,50.336600000000004,49.92,2559312.0000000005,84.0,-20752.800000000112
4f2a369bcb_BO1Com_27,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1984-05-03,1984-05-07,52.398,53.99,2570454.0,81.0,80097.59999999993
4f2a369bcb_BO1Com_28,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1984-05-15,1984-05-17,56.846,57.99,2860511.9999999995,83.0,57597.60000000028
4f2a369bcb_CL1Com_4,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1984-05-17,1984-05-21,64.7106,64.57,18809400.0,290.0,-39784.40000000176
4f2a369bcb_BO1Com_29,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1984-05-21,1984-05-23,58.1436,57.59,3032532.0,86.0,-28192.79999999982
4f2a369bcb_SB1Com_17,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1984-05-22,1984-05-24,15.829999999999998,15.64,2679600.0,150.0,-31695.999999999633
