Trade_ID,Descr,AssetClass,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
7a44151016_GC1Com_1,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-01-17,1980-01-18,1930.39,2041.1,10925040.0,56.0,597833.9999999991
7a44151016_SM1Com_1,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-01-18,1980-01-21,-416.532,-419.3,-2313920.0,56.0,-15777.600000000166
7a44151016_SB1Com_1,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-02-05,1980-02-06,44.5445,44.17,1373803.2,27.0,-9647.119999999939
7a44151016_SB1Com_2,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-02-14,1980-02-15,50.3578,47.7,1099112.0,19.0,-44651.039999999906
7a44151016_SB1Com_3,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-03-04,1980-03-05,48.0276,47.72,930865.6,17.0,-5856.704000000014
7a44151016_BO1Com_1,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-05-12,1980-05-13,53.092,53.18,4581720.0,143.0,7180.800000000079
7a44151016_BO1Com_2,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-06-17,1980-06-18,53.8951,54.01,5227025.999999999,161.0,11099.339999999871
7a44151016_BO1Com_3,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-07-03,1980-07-07,56.5535,57.27,3891959.9999999995,114.0,50298.30000000024
7a44151016_BO1Com_4,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-07-15,1980-07-16,58.5223,59.64,3545400.0,100.0,67061.99999999996
7a44151016_BO1Com_5,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-09-04,1980-09-05,58.028299999999994,58.79,3223680.0,92.0,43416.90000000027
7a44151016_BO1Com_6,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-09-09,1980-09-10,58.7881,58.83,3442530.0,97.0,2438.5799999998994
7a44151016_BO1Com_7,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-10-14,1980-10-15,57.366800000000005,57.18,3015594.0000000005,87.0,-9750.96000000027
7a44151016_BO1Com_8,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-11-06,1980-11-07,58.2432,58.2,2855250.0,81.0,-2021.7599999999436
7a44151016_BO1Com_9,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-02-09,1981-02-10,53.1431,52.85,3083904.0,96.0,-15827.399999999756
7a44151016_BO1Com_10,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-03-20,1981-03-23,53.4814,53.64,4134144.0,128.0,10848.23999999999
7a44151016_BO1Com_11,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1981-07-14,1981-07-15,51.7417,51.03,3409956.0,109.0,-40566.90000000002
7a44151016_SB1Com_4,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1981-12-23,1981-12-28,29.1875,29.27,2836624.0,86.0,7761.59999999996
7a44151016_RS1Com_1,CANOLA FUTR (WCE),comm-soft,RS1 Comdty,1982-01-28,1982-01-29,492.019,485.5,5258269.38,637.0,-58612.694064000054
7a44151016_SB1Com_5,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-01-28,1982-01-29,29.2423,28.98,3818348.8000000003,116.0,-31727.80799999997
7a44151016_BO1Com_12,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1982-04-07,1982-04-08,43.43,43.67,4948776.000000001,189.0,26928.000000000222
7a44151016_BO1Com_13,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1982-05-20,1982-05-21,44.095800000000004,44.46,5822334.000000001,219.0,49385.51999999956
7a44151016_SB1Com_6,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-06-23,1982-06-24,22.7789,22.59,2572640.0,100.0,-21368.36800000003
7a44151016_SB1Com_7,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-07-01,1982-07-02,23.0826,23.55,2398771.2,92.0,48684.384000000144
7a44151016_SB1Com_8,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-07-07,1982-07-08,23.520799999999998,23.41,2582372.8000000003,97.0,-11789.11999999974
7a44151016_TY1Com_1,US 10YR NOTE,fi-us,TY1 Comdty,1982-07-13,1982-07-14,-41.666875,-42.171875,-11372062.5,276.0,-130290.00000000065
7a44151016_SB1Com_9,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-07-14,1982-07-15,24.6169,24.52,1953728.0,70.0,-6945.79200000011
7a44151016_TY1Com_2,US 10YR NOTE,fi-us,TY1 Comdty,1982-08-23,1982-08-24,-35.775,-35.140625,-6774843.75,194.0,114821.87499999975
7a44151016_BO1Com_14,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1982-10-14,1982-10-15,39.8096,39.44,4608000.0,192.0,-42134.40000000063
7a44151016_BO1Com_15,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1982-11-08,1982-11-09,39.613099999999996,39.4,4752120.0,199.0,-24037.67999999968
7a44151016_SB1Com_10,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1982-12-01,1982-12-02,22.1278,21.75,2847264.0000000005,114.0,-46544.96000000007
7a44151016_TY1Com_3,US 10YR NOTE,fi-us,TY1 Comdty,1983-01-04,1983-01-05,-27.2365625,-27.078125,-6538437.5,244.0,39134.062500000386
7a44151016_BO1Com_16,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1983-01-18,1983-01-19,38.716,38.59,6716736.0,288.0,-22453.199999999586
7a44151016_G1Comd_1,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-02-16,1983-02-17,-3.0885000000000007,-3.18,-395220.27,103.0,-14970.406499999914
7a44151016_G1Comd_2,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-03-11,1983-03-14,-0.6024000000000003,-0.05,-3628.08,120.0,96694.30560000004
7a44151016_SB1Com_11,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-03-15,1983-03-16,20.4575,20.15,3249993.5999999996,141.0,-45460.80000000015
7a44151016_G1Comd_3,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-03-16,1983-03-17,0.14659999999999973,0.26,144011.68,116.0,18910.051020000046
7a44151016_BO1Com_17,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1983-03-22,1983-03-23,38.7701,39.25,4931070.0,211.0,59315.64000000008
7a44151016_TY1Com_4,US 10YR NOTE,fi-us,TY1 Comdty,1983-04-15,1983-04-18,-24.696875,-24.328125,-8609890.625,353.0,131643.7499999995
7a44151016_SB1Com_12,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-05-04,1983-05-05,21.2834,21.54,3195192.0,133.0,39085.31199999982
7a44151016_TY1Com_5,US 10YR NOTE,fi-us,TY1 Comdty,1983-05-05,1983-05-06,-23.8415625,-23.703125,-9124062.5,388.0,52329.37499999941
7a44151016_SB1Com_13,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-05-10,1983-05-11,21.8301,22.06,3377214.4000000004,137.0,32700.975999999588
7a44151016_G1Comd_4,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-05-31,1983-06-01,1.5188999999999995,0.89,452092.032,147.0,-143992.94399999987
7a44151016_BO1Com_18,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1983-06-07,1983-06-08,40.1191,40.02,4959360.0,205.0,-12189.299999999996
7a44151016_G1Comd_5,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-06-14,1983-06-15,3.1328999999999994,2.51,764241.192,132.0,-122298.94019999991
7a44151016_CL1Com_1,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1983-06-16,1983-06-17,62.9888,63.23,17300360.0,274.0,68259.59999999977
7a44151016_TY1Com_6,US 10YR NOTE,fi-us,TY1 Comdty,1983-06-17,1983-06-20,-26.5946875,-27.046875,-7991953.125,305.0,-140630.31250000026
7a44151016_CL1Com_2,WTI CRUDE FUTURE ,comm-enrgy,CL1 Comdty,1983-06-21,1983-06-22,63.1668,62.89,19008000.0,300.0,-76673.60000000041
7a44151016_BO1Com_19,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1983-07-01,1983-07-05,39.862700000000004,39.91,3007500.0,125.0,3661.019999999442
7a44151016_BO1Com_20,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1983-07-25,1983-07-26,43.2348,43.57,3035256.0,116.0,23933.280000000028
7a44151016_BO1Com_21,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1983-07-29,1983-08-01,43.8832,44.82,3329250.0,125.0,62390.87999999987
7a44151016_SB1Com_14,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1983-08-03,1983-08-04,24.54,24.31,1561100.8000000003,56.0,-14425.600000000028
7a44151016_BO1Com_22,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1983-08-26,1983-08-29,53.6022,55.08,2119260.0,65.0,54974.15999999981
7a44151016_G1Comd_6,LONG GILT FUTURE ,fi-eu,G 1 Comdty,1983-09-13,1983-09-14,0.6103999999999995,0.73,242081.28,128.0,22810.112000000092
