Trade_ID,Descr,AssetClass,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
f3153cc62f_US1Com_1,US LONG BOND(CBT),fi-us,US1 Comdty,1980-01-22,1980-01-25,,,4725000.0,-100.0,-64562.5
f3153cc62f_FC1Com_1,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-01-22,1980-02-25,,,-2961375.0,-30.0,57712.499999999774
f3153cc62f_KC1Com_1,COFFEE 'C' FUTURE,comm-soft,KC1 Comdty,1980-01-25,1980-03-31,,,-1178010.0,-9.0,94537.49999999971
f3153cc62f_US1Com_2,US LONG BOND(CBT),fi-us,US1 Comdty,1980-01-29,1980-01-30,,,4374906.25,-89.0,-66750.0
f3153cc62f_US1Com_3,US LONG BOND(CBT),fi-us,US1 Comdty,1980-02-01,1980-02-05,,,4597687.5,-93.0,-138937.5
f3153cc62f_US1Com_4,US LONG BOND(CBT),fi-us,US1 Comdty,1980-02-07,1980-02-20,,,4719000.0,-88.0,-274968.75
f3153cc62f_SM1Com_1,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-02-15,1980-02-20,,,2342450.0,-55.0,-18160.000000000255
f3153cc62f_W1Comd_1,WHEAT FUTURE(CBT),comm-soft,W 1 Comdty,1980-02-19,1980-03-11,,,-4529600.0,-38.0,-42612.5
f3153cc62f_S1Comd_1,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-02-20,1980-03-10,,,-416271.875,-31.0,-26537.5
f3153cc62f_BO1Com_1,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-02-20,1980-03-10,,,-2354520.0,-70.0,-25818.000000000175
f3153cc62f_SM1Com_2,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-02-22,1980-03-03,,,2523430.0,-59.0,-26749.999999999913
f3153cc62f_GC1Com_1,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-02-22,1980-02-25,,,-4656500.0,-25.0,-62500.0
f3153cc62f_US1Com_5,US LONG BOND(CBT),fi-us,US1 Comdty,1980-02-22,1980-03-25,,,4109812.5,-69.0,108625.0
f3153cc62f_C1Comd_1,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-02-22,1980-02-25,,,-5634421.875,-103.0,-10300.0
f3153cc62f_GC1Com_2,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-02-27,1980-03-07,,,-4762160.0,-26.0,-59100.0
f3153cc62f_FC1Com_2,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-02-27,1980-03-10,,,-2695275.0,-27.0,-18987.500000000226
f3153cc62f_C1Comd_2,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-02-27,1980-02-28,,,-6063721.875,-111.0,-12487.5
f3153cc62f_C1Comd_3,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-03-03,1980-03-04,,,-6415143.75,-118.0,-11800.0
f3153cc62f_SM1Com_3,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-03-05,1980-03-10,,,3053710.0,-71.0,-22270.000000000007
