Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
f3153cc62f_US1Com_1,US LONG BOND(CBT),US1 Comdty,1980-01-22,1980-01-25,,,4677750.0,-99.0,-60468.75
f3153cc62f_FC1Com_1,CATTLE FEEDER FUT,FC1 Comdty,1980-01-22,1980-02-25,,,-2961375.0,-30.0,57674.99999999977
f3153cc62f_KC1Com_1,COFFEE 'C' FUTURE,KC1 Comdty,1980-01-25,1980-03-31,,,-1178010.0,-9.0,103064.99999999971
f3153cc62f_US1Com_2,US LONG BOND(CBT),US1 Comdty,1980-01-29,1980-01-30,,,4276593.75,-87.0,-65250.0
f3153cc62f_US1Com_3,US LONG BOND(CBT),US1 Comdty,1980-02-01,1980-02-05,,,4597687.5,-93.0,-139718.75
f3153cc62f_US1Com_4,US LONG BOND(CBT),US1 Comdty,1980-02-07,1980-02-20,,,4665375.0,-87.0,-260343.75
f3153cc62f_SM1Com_1,SOYBEAN MEAL FUTR,SM1 Comdty,1980-02-15,1980-02-20,,,2597990.0,-61.0,-20360.00000000028
f3153cc62f_W1Comd_1,WHEAT FUTURE(CBT),W 1 Comdty,1980-02-19,1980-03-11,,,-4768000.0,-40.0,-43775.0
f3153cc62f_S1Comd_1,SOYBEAN FUTURE   ,S 1 Comdty,1980-02-20,1980-03-10,,,-429700.0,-32.0,-28187.5
f3153cc62f_BO1Com_1,SOYBEAN OIL FUTR ,BO1 Comdty,1980-02-20,1980-03-10,,,-2388156.0,-71.0,-26982.000000000175
f3153cc62f_SM1Com_2,SOYBEAN MEAL FUTR,SM1 Comdty,1980-02-22,1980-03-03,,,2822820.0,-66.0,-30349.999999999898
f3153cc62f_GC1Com_1,GOLD 100 OZ FUTR ,GC1 Comdty,1980-02-22,1980-02-25,,,-5029020.0,-27.0,-67500.0
f3153cc62f_US1Com_5,US LONG BOND(CBT),US1 Comdty,1980-02-22,1980-03-25,,,3990687.5,-67.0,97625.0
f3153cc62f_C1Comd_1,CORN FUTURE      ,C 1 Comdty,1980-02-22,1980-02-25,,,-6454968.75,-118.0,-11800.0
f3153cc62f_GC1Com_2,GOLD 100 OZ FUTR ,GC1 Comdty,1980-02-27,1980-03-07,,,-5128480.0,-28.0,-67200.0
f3153cc62f_FC1Com_2,CATTLE FEEDER FUT,FC1 Comdty,1980-02-27,1980-03-10,,,-2695275.0,-27.0,-20175.000000000226
f3153cc62f_C1Comd_2,CORN FUTURE      ,C 1 Comdty,1980-02-27,1980-02-28,,,-6992400.0,-128.0,-14400.0
f3153cc62f_C1Comd_3,CORN FUTURE      ,C 1 Comdty,1980-03-03,1980-03-04,,,-7502456.25,-138.0,-13800.0
f3153cc62f_SM1Com_3,SOYBEAN MEAL FUTR,SM1 Comdty,1980-03-05,1980-03-10,,,3483810.0,-81.0,-25780.000000000022
f3153cc62f_C1Comd_4,CORN FUTURE      ,C 1 Comdty,1980-03-06,1980-03-11,,,-7075656.25,-130.0,-39075.0
f3153cc62f_GC1Com_3,GOLD 100 OZ FUTR ,GC1 Comdty,1980-03-11,1980-03-14,,,-5643520.0,-32.0,-77850.0
f3153cc62f_SM1Com_4,SOYBEAN MEAL FUTR,SM1 Comdty,1980-03-12,1980-03-18,,,4224350.0,-97.0,-22970.000000000116
f3153cc62f_SB1Com_1,SUGAR #11 (WORLD),SB1 Comdty,1980-03-12,1980-07-07,,,-343313.6,-7.0,124992.00000000004
f3153cc62f_BO1Com_2,SOYBEAN OIL FUTR ,BO1 Comdty,1980-03-12,1980-03-14,,,-3450096.0,-104.0,-13500.0
f3153cc62f_S1Comd_2,SOYBEAN FUTURE   ,S 1 Comdty,1980-03-12,1980-03-14,,,-539687.5,-44.0,-9450.0
