Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL
20790a149a_US1Com_1,US LONG BOND(CBT),US1 Comdty,1980-01-23,1980-02-07,,,3918153.7500000005,-84.0,-633814.9999999998
20790a149a_US1Com_2,US LONG BOND(CBT),US1 Comdty,1980-02-08,1980-02-22,,,4008501.25,-76.0,-466092.5000000001
20790a149a_GC1Com_1,GOLD 100 OZ FUTR ,GC1 Comdty,1980-02-21,2024-10-22,,,-4850157.0,-26.0,2827963.0000000047
20790a149a_US1Com_3,US LONG BOND(CBT),US1 Comdty,1980-02-25,1980-05-20,,,3035459.375,-52.0,617584.3749999999
20790a149a_C1Comd_1,CORN FUTURE      ,C 1 Comdty,1980-02-26,2024-10-22,,,-6670304.250000001,-122.0,-2006063.6250000005
20790a149a_SB1Com_1,SUGAR #11 (WORLD),SB1 Comdty,1980-03-12,1980-07-10,,,-336708.008,-7.0,87917.59200000006
20790a149a_BO1Com_1,SOYBEAN OIL FUTR ,BO1 Comdty,1980-03-17,1980-04-03,,,-2817548.55,-85.0,-137864.5499999998
20790a149a_BO1Com_2,SOYBEAN OIL FUTR ,BO1 Comdty,1980-04-07,1980-09-29,,,-3162138.21,-99.0,184127.78999999983
20790a149a_US1Com_4,US LONG BOND(CBT),US1 Comdty,1980-05-21,1984-02-14,,,2487881.25,-54.0,-1085775.0
20790a149a_SB1Com_2,SUGAR #11 (WORLD),SB1 Comdty,1980-07-11,1980-08-20,,,-538483.12,-10.0,20161.679999999935
20790a149a_SB1Com_3,SUGAR #11 (WORLD),SB1 Comdty,1980-08-21,1980-08-26,,,-573049.6799999999,-10.0,-32537.680000000008
20790a149a_SB1Com_4,SUGAR #11 (WORLD),SB1 Comdty,1980-08-27,1981-09-02,,,-497322.504,-9.0,-393509.704
20790a149a_BO1Com_3,SOYBEAN OIL FUTR ,BO1 Comdty,1980-09-30,1980-12-12,,,-1532629.3499999999,-45.0,-76477.3499999999
20790a149a_BO1Com_4,SOYBEAN OIL FUTR ,BO1 Comdty,1980-12-15,1981-01-30,,,-1065890.43,-33.0,-69686.43000000002
20790a149a_BO1Com_5,SOYBEAN OIL FUTR ,BO1 Comdty,1981-02-02,1981-04-30,,,-1821238.8599999999,-58.0,-16246.860000000022
20790a149a_BO1Com_6,SOYBEAN OIL FUTR ,BO1 Comdty,1981-05-01,1981-06-30,,,-2541592.89,-81.0,-193192.89000000007
20790a149a_BO1Com_7,SOYBEAN OIL FUTR ,BO1 Comdty,1981-07-01,1981-07-31,,,-2712933.72,-92.0,43496.28000000031
20790a149a_BO1Com_8,SOYBEAN OIL FUTR ,BO1 Comdty,1981-08-03,1981-11-11,,,-1590960.36,-53.0,-142986.36000000016
20790a149a_SB1Com_5,SUGAR #11 (WORLD),SB1 Comdty,1981-09-03,1981-10-21,,,-875872.872,-27.0,-66023.27199999998
20790a149a_SB1Com_6,SUGAR #11 (WORLD),SB1 Comdty,1981-10-22,1982-02-25,,,-1291226.8319999997,-42.0,-27374.031999999992
20790a149a_BO1Com_9,SOYBEAN OIL FUTR ,BO1 Comdty,1981-11-12,1981-12-09,,,-2349878.55,-85.0,-62636.55000000029
20790a149a_BO1Com_10,SOYBEAN OIL FUTR ,BO1 Comdty,1981-12-10,1982-03-04,,,-2274143.76,-84.0,-160253.75999999972
20790a149a_SB1Com_7,SUGAR #11 (WORLD),SB1 Comdty,1982-02-26,1982-03-29,,,-1359048.7680000002,-44.0,-96629.56799999997
20790a149a_BO1Com_11,SOYBEAN OIL FUTR ,BO1 Comdty,1982-03-05,1982-03-09,,,-2115255.0,-83.0,-19748.999999999887
20790a149a_BO1Com_12,SOYBEAN OIL FUTR ,BO1 Comdty,1982-03-10,1982-06-02,,,-2257602.48,-89.0,2027.520000000044
20790a149a_SB1Com_8,SUGAR #11 (WORLD),SB1 Comdty,1982-03-30,1982-04-19,,,-1491071.904,-51.0,-82671.90399999979
20790a149a_SB1Com_9,SUGAR #11 (WORLD),SB1 Comdty,1982-04-20,1982-04-23,,,-2195889.6960000005,-78.0,-53217.696000000215
20790a149a_SB1Com_10,SUGAR #11 (WORLD),SB1 Comdty,1982-04-26,1982-06-07,,,-1630471.136,-59.0,-130611.93599999993
20790a149a_TY1Com_1,US 10YR NOTE,TY1 Comdty,1982-06-03,1982-10-26,,,6530115.3125,-158.0,1066740.3125000005
20790a149a_BO1Com_13,SOYBEAN OIL FUTR ,BO1 Comdty,1982-06-03,1982-07-01,,,-1648155.6000000003,-65.0,-34455.600000000326
20790a149a_SB1Com_11,SUGAR #11 (WORLD),SB1 Comdty,1982-06-08,1982-08-18,,,-1436632.9600000002,-56.0,5837.440000000004
20790a149a_BO1Com_14,SOYBEAN OIL FUTR ,BO1 Comdty,1982-07-02,1982-08-02,,,-2207362.0799999996,-88.0,-58096.07999999968
20790a149a_BO1Com_15,SOYBEAN OIL FUTR ,BO1 Comdty,1982-08-03,1982-08-13,,,-3332319.75,-135.0,-129363.74999999971
20790a149a_BO1Com_16,SOYBEAN OIL FUTR ,BO1 Comdty,1982-08-16,1982-11-30,,,-2122679.37,-89.0,-46139.37000000003
20790a149a_SB1Com_12,SUGAR #11 (WORLD),SB1 Comdty,1982-08-19,1982-08-26,,,-1122763.3199999998,-45.0,-18857.719999999907
20790a149a_SB1Com_13,SUGAR #11 (WORLD),SB1 Comdty,1982-08-27,1983-01-05,,,-1141894.432,-46.0,-121361.63200000004
20790a149a_TY1Com_2,US 10YR NOTE,TY1 Comdty,1982-10-27,1982-11-17,,,2168145.0,-72.0,44582.5
20790a149a_TY1Com_3,US 10YR NOTE,TY1 Comdty,1982-11-18,1982-11-30,,,2894012.96875,-101.0,-128158.90625000012
20790a149a_BO1Com_17,SOYBEAN OIL FUTR ,BO1 Comdty,1982-12-01,1983-01-05,,,-2751528.7199999997,-118.0,-86052.7200000003
20790a149a_TY1Com_4,US 10YR NOTE,TY1 Comdty,1982-12-01,1983-01-25,,,3297746.09375,-113.0,18511.71875
20790a149a_SB1Com_14,SUGAR #11 (WORLD),SB1 Comdty,1983-01-06,1983-03-02,,,-1471002.6239999998,-64.0,-45298.62399999995
20790a149a_BO1Com_18,SOYBEAN OIL FUTR ,BO1 Comdty,1983-01-06,1983-05-26,,,-4725511.919999999,-207.0,131680.0800000004
20790a149a_G1Comd_1,LONG GILT FUTURE ,G 1 Comdty,1983-01-14,1983-04-25,,,310717.668,-40.0,436517.16300000006
20790a149a_TY1Com_5,US 10YR NOTE,TY1 Comdty,1983-01-26,1983-06-01,,,3962342.34375,-141.0,186545.46875
